gene	DEG_up	DEG_down	Promoter_peak	Conserved
GENE0195	1	0	1	1
GENE0196	1	1	1	0
GENE0197	0	1	0	0
GENE0198	0	0	0	0
GENE0199	1	0	1	1
GENE0200	1	1	1	0
GENE0201	1	0	1	1
GENE0202	1	0	1	1
GENE0203	1	0	0	0
GENE0204	1	0	1	0
GENE0205	0	0	0	0
GENE0206	0	1	0	1
GENE0207	0	0	0	0
GENE0208	0	1	1	0
GENE0209	0	0	0	0
GENE0210	1	0	1	0
GENE0211	0	1	1	0
GENE0212	1	1	0	1
GENE0213	1	0	1	1
GENE0214	0	0	1	1
GENE0215	0	1	0	1
GENE0216	1	0	0	1
GENE0217	1	0	1	1
GENE0218	1	1	1	0
GENE0219	0	0	0	0
GENE0220	1	0	1	1
GENE0221	0	0	0	1
GENE0222	0	0	0	1
GENE0223	0	0	1	0
GENE0224	0	1	0	0
GENE0225	0	1	0	0
GENE0226	0	0	1	1
GENE0227	1	0	1	1
GENE0228	0	1	0	0
GENE0229	0	0	1	0
GENE0230	0	0	1	0
GENE0231	1	1	1	0
GENE0232	1	0	0	1
GENE0233	1	0	1	0
GENE0234	1	1	1	1
GENE0235	0	1	1	1
GENE0236	0	0	1	0
GENE0237	1	0	1	1
GENE0238	0	1	0	1
GENE0239	0	0	1	0
GENE0240	1	0	1	1
GENE0241	0	0	1	0
GENE0242	0	1	1	0
GENE0243	1	0	1	0
GENE0244	0	0	1	0
GENE0245	1	1	0	0
GENE0246	0	0	0	0
GENE0247	0	0	1	1
GENE0248	0	0	0	0
GENE0249	1	1	1	0
GENE0250	0	0	0	0
GENE0251	0	0	0	0
GENE0252	0	0	0	1
GENE0253	1	1	0	0
GENE0254	1	1	1	1
GENE0255	1	0	0	0
GENE0256	1	0	1	0
GENE0257	0	0	0	1
GENE0258	0	0	0	1
GENE0259	1	1	0	0
GENE0260	0	0	0	0
GENE0261	1	1	0	1
GENE0262	0	1	1	0
GENE0263	1	0	1	0
GENE0264	0	1	0	0
GENE0265	1	1	1	0
GENE0266	0	0	0	1
GENE0267	0	0	1	0
GENE0268	0	1	0	0
GENE0269	1	0	0	0
GENE0270	1	0	0	0
GENE0271	1	0	0	0
GENE0272	0	0	1	1
GENE0273	0	0	0	0
GENE0274	0	1	1	1
GENE0275	1	1	0	0
GENE0276	0	1	0	0
GENE0277	1	0	1	0
GENE0278	0	1	0	0
GENE0279	0	1	0	1
