gene,log2_fold_change,p_value,adjusted_p_value,gene_class,label
GENE0106,2.9146,0.0036509,0.018255,metabolic,
GENE0107,0.2124,0.59633,1.0,metabolic,
GENE0108,-1.0984,0.28912,1.0,other,
GENE0109,0.0456,0.75367,1.0,immune,
GENE0110,1.2085,0.065834,0.32917,immune,
GENE0111,0.5069,0.10455,0.52276,other,
GENE0112,-2.3167,0.046123,0.23062,metabolic,
GENE0113,2.8533,0.010316,0.051578,other,
GENE0114,0.6336,0.39482,1.0,immune,
GENE0115,-0.4991,0.49457,1.0,other,
GENE0116,-0.7606,0.41047,1.0,other,
GENE0117,-0.6284,0.15724,0.78622,other,
GENE0118,-0.1509,0.38411,1.0,other,
GENE0119,0.8579,0.25124,1.0,metabolic,
GENE0120,0.8911,0.3996,1.0,other,
GENE0121,0.4132,0.14644,0.73218,other,
GENE0122,-0.5455,0.38978,1.0,other,
GENE0123,1.3639,0.17273,0.86365,other,
GENE0124,0.3541,0.52943,1.0,other,
GENE0125,-0.0915,0.35353,1.0,other,
GENE0126,-2.7244,0.039549,0.19774,other,
GENE0127,0.3794,0.20527,1.0,metabolic,
GENE0128,0.8548,0.30561,1.0,other,
GENE0129,1.0957,0.1825,0.9125,other,
GENE0130,-1.4474,0.23473,1.0,other,
GENE0131,0.3343,0.18388,0.91941,other,
GENE0132,-0.1067,0.0046865,0.023432,other,
GENE0133,0.0299,0.076237,0.38119,other,
GENE0134,-0.0721,0.67311,1.0,immune,
GENE0135,0.0027,0.099963,0.49981,other,
GENE0136,-0.5651,0.11178,0.5589,other,
GENE0137,-0.5215,0.28546,1.0,metabolic,
GENE0138,-1.5306,0.018581,0.092907,other,
GENE0139,-0.0342,0.065059,0.32529,other,
GENE0140,0.0763,0.51523,1.0,other,
GENE0141,-1.1542,0.19357,0.96784,immune,
GENE0142,0.0166,0.0061932,0.030966,metabolic,
GENE0143,1.259,0.1279,0.63949,other,
GENE0144,-1.0065,0.19746,0.98731,immune,
GENE0145,-1.6021,0.090501,0.4525,other,
GENE0146,2.1697,0.072185,0.36093,other,
GENE0147,-0.7828,0.32593,1.0,other,
GENE0148,-2.0716,0.025786,0.12893,other,
GENE0149,-0.9264,0.21916,1.0,immune,
GENE0150,0.8542,0.016929,0.084647,other,
GENE0151,-1.1032,0.13086,0.6543,other,
GENE0152,-0.7936,0.43579,1.0,other,
GENE0153,-1.8889,0.11117,0.55586,immune,
GENE0154,0.7995,0.14354,0.71772,other,
GENE0155,-1.156,0.18693,0.93467,other,
GENE0156,-1.2948,0.14621,0.73103,other,
GENE0157,0.5135,0.45489,1.0,other,
GENE0158,-1.6812,0.048974,0.24487,immune,
GENE0159,1.6435,0.15648,0.78238,other,
GENE0160,0.2152,0.69011,1.0,immune,
GENE0161,-0.1308,0.6298,1.0,other,
GENE0162,0.8041,0.0071491,0.035745,metabolic,
GENE0163,-1.1355,0.018698,0.093491,metabolic,
GENE0164,-0.9249,0.17059,0.85295,other,
GENE0165,1.3325,0.00050361,0.002518,metabolic,GENE0165
GENE0166,0.2416,0.43816,1.0,immune,
GENE0167,-2.0144,0.10416,0.52078,immune,
GENE0168,1.8205,0.02614,0.1307,immune,
GENE0169,-0.2467,0.049678,0.24839,other,
GENE0170,0.3475,0.6398,1.0,immune,
GENE0171,0.214,0.5803,1.0,immune,
GENE0172,0.9482,0.096736,0.48368,other,
GENE0173,0.331,0.11873,0.59364,other,
GENE0174,-1.3459,0.24192,1.0,other,
GENE0175,0.9072,0.11307,0.56536,metabolic,
GENE0176,-1.5795,0.11048,0.55239,other,
GENE0177,0.395,0.48647,1.0,other,
GENE0178,-0.0971,0.49765,1.0,immune,
GENE0179,-0.6034,0.034238,0.17119,other,
GENE0180,-0.7599,0.41938,1.0,other,
GENE0181,-0.5313,0.14767,0.73833,other,
GENE0182,-1.1629,0.25387,1.0,other,
GENE0183,0.8259,0.21944,1.0,other,
GENE0184,0.8528,0.26102,1.0,other,
GENE0185,0.3735,0.43926,1.0,immune,
GENE0186,-1.343,0.23373,1.0,metabolic,
GENE0187,0.9412,0.083567,0.41783,immune,
GENE0188,-2.1695,0.027187,0.13594,immune,
GENE0189,0.8738,0.27963,1.0,other,
GENE0190,1.371,0.065872,0.32936,other,
GENE0191,-0.4021,0.0019042,0.0095211,metabolic,
GENE0192,0.2572,0.17147,0.85734,metabolic,
GENE0193,0.7997,0.43494,1.0,other,
GENE0194,0.6545,0.47808,1.0,other,
GENE0195,-1.5277,0.15328,0.76639,other,
GENE0196,0.4892,0.40299,1.0,other,
GENE0197,-0.2463,0.046983,0.23491,other,
GENE0198,0.1075,0.4799,1.0,metabolic,
GENE0199,-1.4813,0.057365,0.28683,other,
GENE0200,0.3859,0.66034,1.0,immune,
GENE0201,1.7733,0.12924,0.64618,immune,
GENE0202,2.7582,0.051562,0.25781,metabolic,
GENE0203,-0.0045,0.10443,0.52214,other,
GENE0204,-0.6729,0.47486,1.0,metabolic,
GENE0205,0.6825,0.17472,0.87358,other,
GENE0206,1.422,0.1028,0.514,other,
GENE0207,-0.6494,0.34592,1.0,metabolic,
GENE0208,-2.0962,0.083693,0.41847,metabolic,
GENE0209,0.2495,0.34497,1.0,immune,
GENE0210,-0.2077,0.51908,1.0,immune,
GENE0211,-0.6876,0.46482,1.0,metabolic,
GENE0212,0.6391,0.17934,0.89671,other,
GENE0213,0.4742,0.40461,1.0,other,
GENE0214,0.2173,0.4411,1.0,metabolic,
GENE0215,-1.0014,0.15524,0.77618,metabolic,
GENE0216,-0.4671,0.59576,1.0,other,
GENE0217,1.9176,0.021135,0.10567,other,
GENE0218,-1.1206,0.10239,0.51193,immune,
GENE0219,-0.1789,0.23145,1.0,other,
GENE0220,-0.4371,0.49648,1.0,other,
GENE0221,0.1904,0.695,1.0,metabolic,
GENE0222,-1.4865,0.038751,0.19375,other,
GENE0223,0.262,0.62364,1.0,other,
GENE0224,0.3031,0.030026,0.15013,immune,
GENE0225,1.3182,0.053717,0.26859,other,
GENE0226,1.5195,0.096186,0.48093,metabolic,
GENE0227,-1.3804,0.12184,0.60922,other,
GENE0228,-2.1743,0.068107,0.34053,immune,
GENE0229,0.0468,0.89574,1.0,immune,
GENE0230,-0.5591,0.0046886,0.023443,other,
GENE0231,-0.9554,0.19883,0.99415,other,
GENE0232,-1.2889,0.1242,0.621,other,
GENE0233,-0.7897,0.17863,0.89317,other,
GENE0234,1.4099,0.23165,1.0,other,
GENE0235,-0.4269,0.073727,0.36863,immune,
GENE0236,2.3252,0.015048,0.075242,metabolic,
GENE0237,-0.9986,0.12528,0.62642,other,
GENE0238,0.5239,0.17937,0.89685,other,
GENE0239,0.1235,0.35494,1.0,other,
GENE0240,0.6823,0.18542,0.9271,other,
GENE0241,2.0108,0.030712,0.15356,metabolic,
GENE0242,0.5075,0.16541,0.82704,metabolic,
GENE0243,1.3668,0.098888,0.49444,other,
GENE0244,0.3845,0.12304,0.61522,other,
GENE0245,-0.3286,0.67915,1.0,metabolic,
GENE0246,0.1475,0.27705,1.0,immune,
GENE0247,-0.8753,0.078077,0.39038,other,
GENE0248,0.1168,0.19031,0.95156,other,
GENE0249,1.067,0.28433,1.0,other,
GENE0250,-0.6403,0.05919,0.29595,other,
GENE0251,2.1694,0.045288,0.22644,metabolic,
GENE0252,-2.7329,0.034221,0.17111,metabolic,
GENE0253,0.6961,0.15011,0.75057,metabolic,
GENE0254,-0.0435,0.83408,1.0,other,
GENE0255,-0.6285,0.46582,1.0,immune,
GENE0256,-0.6066,0.50421,1.0,other,
GENE0257,0.8979,0.29277,1.0,immune,
GENE0258,0.2155,0.68094,1.0,other,
GENE0259,0.9456,0.2215,1.0,other,
GENE0260,1.8466,0.077337,0.38668,immune,
GENE0261,-2.2852,0.085137,0.42568,metabolic,
GENE0262,-2.6113,0.062232,0.31116,other,
GENE0263,-1.0558,0.29932,1.0,other,
GENE0264,0.1738,0.36254,1.0,other,
GENE0265,-0.1734,0.34342,1.0,other,
GENE0266,-1.5609,0.065189,0.32594,other,
GENE0267,-0.592,0.067918,0.33959,other,
GENE0268,-0.3,0.64979,1.0,other,
GENE0269,-0.1589,0.26615,1.0,other,
GENE0270,-0.8567,0.2162,1.0,immune,
GENE0271,1.5631,0.18343,0.91713,other,
GENE0272,-2.4203,0.041497,0.20748,immune,
GENE0273,-0.1808,0.19612,0.98062,metabolic,
GENE0274,-0.5627,0.1125,0.56251,other,
GENE0275,-1.0564,0.060149,0.30074,immune,
GENE0276,-1.534,0.025327,0.12663,immune,
GENE0277,-1.9442,0.040831,0.20416,other,
GENE0278,-0.1556,0.7079,1.0,other,
GENE0279,-1.2742,0.16995,0.84973,other,
GENE0280,-1.3451,0.095934,0.47967,other,
GENE0281,-1.8195,0.082973,0.41486,other,
GENE0282,-0.6746,0.41133,1.0,metabolic,
GENE0283,-1.2623,0.16606,0.83031,other,
GENE0284,1.3716,0.20142,1.0,immune,
GENE0285,-0.6679,0.28689,1.0,other,
GENE0286,-0.8534,0.23321,1.0,other,
GENE0287,0.235,0.38732,1.0,other,
GENE0288,-1.3992,0.16056,0.8028,other,
GENE0289,0.2715,0.44869,1.0,other,
GENE0290,0.1796,0.43135,1.0,immune,
GENE0291,-0.5484,0.024846,0.12423,metabolic,
GENE0292,-0.771,0.39833,1.0,other,
GENE0293,-0.3106,0.076615,0.38308,other,
GENE0294,0.4803,0.14909,0.74545,metabolic,
GENE0295,1.102,0.056748,0.28374,metabolic,
GENE0296,-1.664,0.049281,0.24641,other,
GENE0297,-0.1447,0.5043,1.0,metabolic,
GENE0298,0.2465,0.30024,1.0,metabolic,
GENE0299,-0.566,0.53032,1.0,other,
GENE0300,0.9495,0.06084,0.3042,other,
GENE0301,-0.648,0.2384,1.0,other,
GENE0302,-1.0133,0.22604,1.0,other,
GENE0303,-1.2312,0.20716,1.0,immune,
GENE0304,-2.4492,0.025308,0.12654,other,
GENE0305,1.24,0.20377,1.0,immune,
GENE0306,-0.9337,0.070063,0.35032,immune,
GENE0307,1.2792,0.10263,0.51316,other,
GENE0308,0.8312,0.1013,0.50651,other,
GENE0309,-0.8478,0.17335,0.86673,other,
GENE0310,0.5918,0.037501,0.18751,other,
GENE0311,-1.7571,0.09183,0.45915,other,
GENE0312,-1.8898,0.11477,0.57387,other,
GENE0313,0.7151,0.023013,0.11506,other,
GENE0314,-0.7662,0.13256,0.6628,other,
GENE0315,0.0272,0.50043,1.0,immune,
GENE0316,-0.8018,0.063339,0.3167,other,
GENE0317,0.518,0.47982,1.0,other,
GENE0318,-0.8187,0.095315,0.47657,other,
GENE0319,0.5852,0.28075,1.0,other,
GENE0320,1.7539,0.05769,0.28845,immune,
GENE0321,0.6082,0.37128,1.0,other,
GENE0322,0.6254,0.21327,1.0,other,
GENE0323,-0.552,0.25591,1.0,other,
GENE0324,-1.751,0.1018,0.50898,other,
GENE0325,-0.7848,0.43791,1.0,immune,
GENE0326,-1.7043,0.037462,0.18731,other,
GENE0327,-0.503,0.10142,0.50711,other,
GENE0328,1.6229,0.18178,0.90892,other,
GENE0329,1.4034,0.021715,0.10857,metabolic,
GENE0330,0.1659,0.47602,1.0,metabolic,
GENE0331,-0.1161,0.11246,0.56229,other,
GENE0332,0.1017,0.14753,0.73764,metabolic,
GENE0333,0.1342,0.074764,0.37382,other,
GENE0334,0.1482,0.13144,0.65722,other,
GENE0335,0.6201,0.41433,1.0,other,
GENE0336,1.6529,0.01446,0.072301,other,
GENE0337,-1.6406,0.14918,0.74591,metabolic,
GENE0338,-2.5371,0.060833,0.30416,other,
GENE0339,0.0214,0.24894,1.0,other,
GENE0340,-1.5865,0.088166,0.44083,other,
GENE0341,-0.6472,0.091653,0.45827,immune,
GENE0342,0.5059,0.14057,0.70284,other,
GENE0343,-0.1244,0.35863,1.0,immune,
GENE0344,0.5503,0.41115,1.0,metabolic,
GENE0345,-0.1727,0.56594,1.0,other,
GENE0346,-1.637,0.12979,0.64897,other,
GENE0347,-0.0261,0.1352,0.67601,other,
GENE0348,0.9617,0.042792,0.21396,immune,
GENE0349,0.1093,0.25605,1.0,immune,
GENE0350,-2.0472,0.028871,0.14435,other,
GENE0351,0.7705,0.20555,1.0,metabolic,
GENE0352,0.5757,0.32755,1.0,metabolic,
GENE0353,0.2945,0.29565,1.0,immune,
GENE0354,0.3236,0.32353,1.0,other,
GENE0355,-1.0743,0.15898,0.79492,immune,
GENE0356,-0.1228,0.39881,1.0,other,
GENE0357,0.3467,0.45414,1.0,other,
GENE0358,0.4875,0.015053,0.075263,immune,
GENE0359,0.381,0.38549,1.0,other,
GENE0360,0.2603,0.16621,0.83103,other,
GENE0361,-0.9651,0.032913,0.16457,other,
GENE0362,-1.2538,0.17514,0.87571,other,
GENE0363,0.1853,0.25139,1.0,immune,
GENE0364,-0.5136,0.3753,1.0,other,
GENE0365,0.1206,0.32445,1.0,immune,
GENE0366,-1.5835,0.077236,0.38618,other,
GENE0367,-0.9948,0.28515,1.0,other,
GENE0368,0.7863,0.36139,1.0,immune,
GENE0369,1.2705,0.25607,1.0,other,
GENE0370,-0.1303,0.41295,1.0,metabolic,
GENE0371,-0.3947,0.20739,1.0,other,
GENE0372,-1.5655,0.1003,0.50149,other,
GENE0373,0.3625,0.61342,1.0,metabolic,
GENE0374,1.7816,0.012634,0.06317,other,
GENE0375,-0.5858,0.23034,1.0,metabolic,
GENE0376,2.1388,0.0065142,0.032571,metabolic,GENE0376
GENE0377,0.0925,0.027238,0.13619,other,
GENE0378,-1.1467,0.11846,0.59228,immune,
GENE0379,-0.1084,0.67678,1.0,metabolic,
GENE0380,0.4333,0.39999,1.0,other,
GENE0381,-1.8633,0.12707,0.63533,other,
GENE0382,-0.8216,0.36669,1.0,other,
GENE0383,-0.3197,0.70081,1.0,other,
GENE0384,0.6729,0.30077,1.0,metabolic,
GENE0385,0.4585,0.28333,1.0,other,
GENE0386,0.555,0.046567,0.23283,metabolic,
GENE0387,0.344,0.42732,1.0,metabolic,
GENE0388,1.0327,0.21689,1.0,immune,
GENE0389,0.4137,0.18895,0.94477,other,
GENE0390,0.9235,0.032912,0.16456,metabolic,
GENE0391,0.4651,0.22374,1.0,other,
GENE0392,0.783,0.42088,1.0,other,
GENE0393,-0.2395,0.67685,1.0,immune,
GENE0394,0.3402,0.39774,1.0,other,
GENE0395,-0.7311,0.17045,0.85227,other,
GENE0396,0.798,0.12481,0.62404,immune,
GENE0397,0.3285,0.63178,1.0,other,
GENE0398,-0.1167,0.36427,1.0,immune,
GENE0399,0.257,0.24202,1.0,immune,
GENE0400,0.9332,0.054108,0.27054,immune,
GENE0401,0.5704,0.48945,1.0,immune,
GENE0402,0.047,0.58462,1.0,other,
GENE0403,2.1519,0.0038227,0.019114,other,
GENE0404,-0.0014,0.023038,0.11519,other,
GENE0405,-0.0903,0.095177,0.47588,immune,
GENE0406,-1.5474,0.05276,0.2638,immune,
GENE0407,0.3078,0.45598,1.0,immune,
GENE0408,-0.69,0.4539,1.0,other,
GENE0409,0.0002,0.91183,1.0,other,
GENE0410,0.6732,0.2734,1.0,other,
GENE0411,-0.4318,0.43487,1.0,other,
GENE0412,0.1323,0.41854,1.0,immune,
GENE0413,0.2558,0.61626,1.0,other,
GENE0414,0.1911,0.34816,1.0,other,
GENE0415,2.6791,0.046565,0.23282,other,
GENE0416,-1.1526,0.13119,0.65597,other,
GENE0417,1.1496,0.1129,0.56451,other,
GENE0418,1.4325,0.23037,1.0,metabolic,
GENE0419,0.1561,0.73692,1.0,immune,
GENE0420,0.4088,0.30205,1.0,immune,
GENE0421,0.9981,0.27832,1.0,metabolic,
GENE0422,-0.2694,0.21417,1.0,metabolic,
GENE0423,0.4246,0.23132,1.0,other,
GENE0424,-1.86,0.15286,0.76429,metabolic,
GENE0425,-0.5075,0.033602,0.16801,immune,
GENE0426,0.082,0.76159,1.0,other,
GENE0427,0.7255,0.16147,0.80733,other,
GENE0428,1.3341,0.22648,1.0,immune,
GENE0429,-0.6652,0.43091,1.0,other,
GENE0430,1.5791,0.13674,0.6837,immune,
GENE0431,-1.3486,0.14065,0.70325,other,
GENE0432,-2.9482,0.018765,0.093826,metabolic,
GENE0433,0.9561,0.12938,0.64691,other,
GENE0434,0.2293,0.15322,0.76608,other,
GENE0435,0.6242,0.40088,1.0,immune,
GENE0436,-0.2239,0.6357,1.0,immune,
GENE0437,-0.7716,0.11478,0.5739,immune,
GENE0438,0.4556,0.60103,1.0,other,
GENE0439,0.7481,0.31266,1.0,other,
GENE0440,1.4885,0.047834,0.23917,other,
GENE0441,0.8951,0.2389,1.0,immune,
GENE0442,0.2233,0.78577,1.0,other,
GENE0443,-2.1642,0.10609,0.53046,metabolic,
GENE0444,1.4063,0.18215,0.91077,other,
GENE0445,0.3379,0.50154,1.0,other,
GENE0446,-1.3457,0.17723,0.88616,other,
GENE0447,-1.6169,0.024578,0.12289,metabolic,
GENE0448,3.4646,0.015366,0.076832,other,
GENE0449,0.5887,0.033787,0.16894,other,
GENE0450,0.2538,0.38207,1.0,other,
GENE0451,1.3683,0.22111,1.0,other,
GENE0452,-1.0913,0.089235,0.44617,other,
GENE0453,0.9815,0.035683,0.17841,immune,
GENE0454,0.2004,0.66089,1.0,other,
GENE0455,-2.331,0.067212,0.33606,metabolic,
GENE0456,0.4995,0.1766,0.88301,other,
GENE0457,-1.1869,0.26595,1.0,metabolic,
GENE0458,-0.7338,0.096481,0.4824,immune,
GENE0459,0.7545,0.32466,1.0,immune,
GENE0460,0.8147,0.35017,1.0,other,
GENE0461,-1.2514,0.010791,0.053953,other,
GENE0462,-0.8325,0.13483,0.67413,other,
GENE0463,0.2545,0.13523,0.67613,metabolic,
GENE0464,0.6473,0.43124,1.0,metabolic,
GENE0465,-0.4118,0.14171,0.70857,other,
GENE0466,-1.9257,0.075891,0.37945,other,
GENE0467,0.6121,0.015807,0.079037,other,
GENE0468,0.9898,0.09903,0.49515,other,
GENE0469,1.5487,0.20025,1.0,other,
GENE0470,0.4253,0.45595,1.0,metabolic,
GENE0471,-0.4519,0.0061668,0.030834,other,
GENE0472,-0.8781,0.38601,1.0,immune,
GENE0473,0.3644,0.45674,1.0,metabolic,
GENE0474,2.5381,0.071356,0.35678,immune,
GENE0475,0.3288,0.62965,1.0,other,
GENE0476,0.9062,0.30218,1.0,immune,
GENE0477,-0.454,0.5712,1.0,immune,
GENE0478,3.5718,0.023528,0.11764,other,
GENE0479,0.4869,0.36606,1.0,metabolic,
GENE0480,1.9223,0.10011,0.50053,metabolic,
GENE0481,-0.2575,0.060595,0.30297,other,
GENE0482,-1.2703,0.057778,0.28889,other,
GENE0483,1.6588,0.096076,0.48038,other,
GENE0484,0.9447,0.21083,1.0,other,
GENE0485,-0.1539,0.74229,1.0,immune,
GENE0486,0.0914,0.28602,1.0,metabolic,
GENE0487,1.1968,0.045472,0.22736,other,
GENE0488,0.4979,0.49137,1.0,other,
GENE0489,3.1181,0.0059503,0.029751,other,
GENE0490,1.1527,0.13649,0.68243,other,
GENE0491,0.6892,0.20319,1.0,other,
GENE0492,-1.5661,0.10201,0.51004,immune,
GENE0493,0.3329,0.27582,1.0,immune,
GENE0494,-0.1301,0.10485,0.52427,other,
GENE0495,0.5842,0.041522,0.20761,immune,
GENE0496,-0.2397,0.19986,0.99932,other,
GENE0497,1.2342,0.11809,0.59044,other,
GENE0498,1.2704,0.083786,0.41893,immune,
GENE0499,1.8602,0.10532,0.52661,other,
GENE0500,0.1739,0.031795,0.15898,other,
