cell_id,sample_id,condition,pseudotime,score
Con_2_052,Con_S2,Control,0.5786,3.759
Con_2_053,Con_S2,Control,0.5594,3.423
Con_2_054,Con_S2,Control,0.2445,2.406
Con_2_055,Con_S2,Control,0.6214,3.555
Con_2_056,Con_S2,Control,0.6013,4.399
Con_2_057,Con_S2,Control,0.3863,1.837
Con_2_058,Con_S2,Control,0.5732,3.851
Con_2_059,Con_S2,Control,0.4806,3.652
Con_2_060,Con_S2,Control,0.2672,3.105
Con_2_061,Con_S2,Control,0.6606,3.713
Con_2_062,Con_S2,Control,0.5844,4.155
Con_2_063,Con_S2,Control,0.6232,3.85
Con_2_064,Con_S2,Control,0.6851,4.097
Con_2_065,Con_S2,Control,0.1555,2.214
Con_2_066,Con_S2,Control,0.5221,3.44
Con_2_067,Con_S2,Control,0.7909,4.192
Con_2_068,Con_S2,Control,0.6891,4.541
Con_2_069,Con_S2,Control,0.3869,2.833
Con_2_070,Con_S2,Control,0.4181,3.23
Con_2_071,Con_S2,Control,0.4581,3.525
Con_2_072,Con_S2,Control,0.7002,3.949
Con_2_073,Con_S2,Control,0.6699,4.998
Con_2_074,Con_S2,Control,0.179,1.451
Con_2_075,Con_S2,Control,0.3012,3.113
Con_2_076,Con_S2,Control,0.7578,4.517
Con_2_077,Con_S2,Control,0.6189,4.142
Con_2_078,Con_S2,Control,0.5882,3.276
Con_2_079,Con_S2,Control,0.7857,4.543
Con_2_080,Con_S2,Control,0.5752,3.719
Con_2_081,Con_S2,Control,0.4254,2.624
Con_2_082,Con_S2,Control,0.2792,2.786
Con_2_083,Con_S2,Control,0.4836,2.298
Con_2_084,Con_S2,Control,0.6494,3.731
Con_2_085,Con_S2,Control,0.3714,2.946
Con_2_086,Con_S2,Control,0.8051,4.027
Con_2_087,Con_S2,Control,0.4727,3.615
Con_2_088,Con_S2,Control,0.3979,3.07
Con_2_089,Con_S2,Control,0.5079,2.726
Con_2_090,Con_S2,Control,0.478,3.169
Con_2_091,Con_S2,Control,0.1966,1.896
Con_2_092,Con_S2,Control,0.7765,3.841
Con_2_093,Con_S2,Control,0.504,3.698
Con_2_094,Con_S2,Control,0.0965,2.477
Con_2_095,Con_S2,Control,0.0648,2.429
Con_2_096,Con_S2,Control,0.2377,2.805
Con_2_097,Con_S2,Control,0.7774,4.518
Con_2_098,Con_S2,Control,0.0502,2.577
Con_2_099,Con_S2,Control,0.3667,3.133
Con_2_100,Con_S2,Control,0.674,4.671
Con_2_101,Con_S2,Control,0.4143,3.117
Con_2_102,Con_S2,Control,0.5825,3.287
Con_2_103,Con_S2,Control,0.5313,3.766
Con_2_104,Con_S2,Control,0.1549,2.634
Con_2_105,Con_S2,Control,0.2759,2.478
Con_2_106,Con_S2,Control,0.7812,4.089
Con_2_107,Con_S2,Control,0.6322,3.661
Con_2_108,Con_S2,Control,0.7095,4.141
Con_2_109,Con_S2,Control,0.6687,4.187
Con_2_110,Con_S2,Control,0.7405,4.196
Con_2_111,Con_S2,Control,0.4775,3.305
Con_2_112,Con_S2,Control,0.5521,4.53
Con_2_113,Con_S2,Control,0.5204,3.857
Con_2_114,Con_S2,Control,0.6826,4.286
Con_2_115,Con_S2,Control,0.6209,4.263
Con_2_116,Con_S2,Control,0.1148,2.916
Con_2_117,Con_S2,Control,0.6766,4.43
Con_2_118,Con_S2,Control,0.4748,2.939
Con_2_119,Con_S2,Control,0.7792,4.609
Con_2_120,Con_S2,Control,0.7822,4.02
Con_3_001,Con_S3,Control,0.3575,2.815
Con_3_002,Con_S3,Control,0.4374,2.714
Con_3_003,Con_S3,Control,0.392,3.611
Con_3_004,Con_S3,Control,0.2374,2.651
Con_3_005,Con_S3,Control,0.4727,3.574
Con_3_006,Con_S3,Control,0.7935,4.282
Con_3_007,Con_S3,Control,0.3981,3.114
Con_3_008,Con_S3,Control,0.5693,4.475
Con_3_009,Con_S3,Control,0.7527,3.954
Con_3_010,Con_S3,Control,0.5644,4.2
Con_3_011,Con_S3,Control,0.2297,3.022
Con_3_012,Con_S3,Control,0.4813,2.922
Con_3_013,Con_S3,Control,0.4142,4.062
Con_3_014,Con_S3,Control,0.2815,3.213
Con_3_015,Con_S3,Control,0.371,3.27
Con_3_016,Con_S3,Control,0.8954,5.169
Con_3_017,Con_S3,Control,0.1855,3.126
Con_3_018,Con_S3,Control,0.5556,3.43
Con_3_019,Con_S3,Control,0.5993,4.243
Con_3_020,Con_S3,Control,0.4302,3.907
Con_3_021,Con_S3,Control,0.1757,2.293
Con_3_022,Con_S3,Control,0.7519,3.95
Con_3_023,Con_S3,Control,0.3194,2.294
Con_3_024,Con_S3,Control,0.2465,3.021
Con_3_025,Con_S3,Control,0.8058,4.979
Con_3_026,Con_S3,Control,0.2304,2.561
Con_3_027,Con_S3,Control,0.7491,4.128
Con_3_028,Con_S3,Control,0.1481,2.263
Con_3_029,Con_S3,Control,0.6052,3.835
Con_3_030,Con_S3,Control,0.3671,3.356
Con_3_031,Con_S3,Control,0.6066,3.464
Con_3_032,Con_S3,Control,0.5718,3.858
Con_3_033,Con_S3,Control,0.265,3.649
Con_3_034,Con_S3,Control,0.2037,1.803
Con_3_035,Con_S3,Control,0.2647,1.956
Con_3_036,Con_S3,Control,0.5288,4.293
Con_3_037,Con_S3,Control,0.1229,2.259
Con_3_038,Con_S3,Control,0.7461,4.311
Con_3_039,Con_S3,Control,0.3957,2.998
Con_3_040,Con_S3,Control,0.2158,2.084
Con_3_041,Con_S3,Control,0.7681,3.699
Con_3_042,Con_S3,Control,0.1797,1.893
Con_3_043,Con_S3,Control,0.1668,2.912
Con_3_044,Con_S3,Control,0.5294,2.846
Con_3_045,Con_S3,Control,0.575,4.141
Con_3_046,Con_S3,Control,0.4462,2.544
Con_3_047,Con_S3,Control,0.238,3.042
Con_3_048,Con_S3,Control,0.6262,3.825
Con_3_049,Con_S3,Control,0.3756,3.716
Con_3_050,Con_S3,Control,0.4409,3.858
Con_3_051,Con_S3,Control,0.3546,3.146
Con_3_052,Con_S3,Control,0.2476,2.339
Con_3_053,Con_S3,Control,0.6071,3.724
Con_3_054,Con_S3,Control,0.5911,4.15
Con_3_055,Con_S3,Control,0.6641,3.725
Con_3_056,Con_S3,Control,0.4546,2.65
Con_3_057,Con_S3,Control,0.1468,3.654
Con_3_058,Con_S3,Control,0.8332,4.013
Con_3_059,Con_S3,Control,0.579,4.365
Con_3_060,Con_S3,Control,0.4994,3.37
Con_3_061,Con_S3,Control,0.5742,3.974
Con_3_062,Con_S3,Control,0.5905,3.843
Con_3_063,Con_S3,Control,0.2779,2.796
Con_3_064,Con_S3,Control,0.1806,2.973
Con_3_065,Con_S3,Control,0.2272,2.631
Con_3_066,Con_S3,Control,0.4932,4.26
Con_3_067,Con_S3,Control,0.2517,2.913
Con_3_068,Con_S3,Control,0.3539,3.217
Con_3_069,Con_S3,Control,0.4679,4.161
Con_3_070,Con_S3,Control,0.8913,5.071
Con_3_071,Con_S3,Control,0.5168,3.7
Con_3_072,Con_S3,Control,0.1275,2.136
Con_3_073,Con_S3,Control,0.0298,1.722
Con_3_074,Con_S3,Control,0.5651,4.418
Con_3_075,Con_S3,Control,0.1796,3.651
Con_3_076,Con_S3,Control,0.5801,4.27
Con_3_077,Con_S3,Control,0.494,3.904
Con_3_078,Con_S3,Control,0.5177,3.952
Con_3_079,Con_S3,Control,0.1097,1.29
Con_3_080,Con_S3,Control,0.4806,3.51
Con_3_081,Con_S3,Control,0.6888,4.509
Con_3_082,Con_S3,Control,0.3389,3.132
Con_3_083,Con_S3,Control,0.4393,2.311
Con_3_084,Con_S3,Control,0.6794,4.456
Con_3_085,Con_S3,Control,0.7734,4.455
Con_3_086,Con_S3,Control,0.4393,3.388
Con_3_087,Con_S3,Control,0.6288,3.641
Con_3_088,Con_S3,Control,0.7261,4.173
Con_3_089,Con_S3,Control,0.2448,2.019
Con_3_090,Con_S3,Control,0.7033,4.318
Con_3_091,Con_S3,Control,0.592,4.004
Con_3_092,Con_S3,Control,0.2306,2.897
Con_3_093,Con_S3,Control,0.4523,2.877
Con_3_094,Con_S3,Control,0.6701,4.585
Con_3_095,Con_S3,Control,0.0532,1.515
Con_3_096,Con_S3,Control,0.3508,3.328
Con_3_097,Con_S3,Control,0.1744,1.548
Con_3_098,Con_S3,Control,0.4683,3.582
Con_3_099,Con_S3,Control,0.4006,2.811
Con_3_100,Con_S3,Control,0.4013,3.065
Con_3_101,Con_S3,Control,0.5681,3.189
Con_3_102,Con_S3,Control,0.3604,2.988
Con_3_103,Con_S3,Control,0.4077,3.43
Con_3_104,Con_S3,Control,0.1935,3.656
Con_3_105,Con_S3,Control,0.1497,2.822
Con_3_106,Con_S3,Control,0.4243,2.625
Con_3_107,Con_S3,Control,0.3878,3.393
Con_3_108,Con_S3,Control,0.5596,3.921
Con_3_109,Con_S3,Control,0.5485,3.746
Con_3_110,Con_S3,Control,0.1213,2.285
Con_3_111,Con_S3,Control,0.3636,4.072
Con_3_112,Con_S3,Control,0.236,3.004
Con_3_113,Con_S3,Control,0.5777,3.915
Con_3_114,Con_S3,Control,0.8432,4.681
Con_3_115,Con_S3,Control,0.6408,3.111
Con_3_116,Con_S3,Control,0.2492,2.718
Con_3_117,Con_S3,Control,0.5493,3.326
Con_3_118,Con_S3,Control,0.1063,2.817
Con_3_119,Con_S3,Control,0.411,3.356
Con_3_120,Con_S3,Control,0.4257,4.168
Sti_1_001,Sti_S1,Stimulated,0.9466,5.924
Sti_1_002,Sti_S1,Stimulated,0.6815,4.281
Sti_1_003,Sti_S1,Stimulated,0.6121,4.677
Sti_1_004,Sti_S1,Stimulated,0.6515,4.385
Sti_1_005,Sti_S1,Stimulated,0.475,3.555
Sti_1_006,Sti_S1,Stimulated,0.0965,1.375
Sti_1_007,Sti_S1,Stimulated,0.804,4.765
Sti_1_008,Sti_S1,Stimulated,0.4766,2.904
Sti_1_009,Sti_S1,Stimulated,0.7993,4.45
Sti_1_010,Sti_S1,Stimulated,0.4471,2.71
Sti_1_011,Sti_S1,Stimulated,0.9126,4.607
Sti_1_012,Sti_S1,Stimulated,0.9166,4.726
Sti_1_013,Sti_S1,Stimulated,0.8986,5.174
Sti_1_014,Sti_S1,Stimulated,0.6577,4.45
Sti_1_015,Sti_S1,Stimulated,0.305,2.724
Sti_1_016,Sti_S1,Stimulated,0.6609,3.463
Sti_1_017,Sti_S1,Stimulated,0.9042,4.99
Sti_1_018,Sti_S1,Stimulated,0.2554,2.764
Sti_1_019,Sti_S1,Stimulated,0.4381,3.185
Sti_1_020,Sti_S1,Stimulated,0.5876,4.183
Sti_1_021,Sti_S1,Stimulated,0.7852,5.072
Sti_1_022,Sti_S1,Stimulated,0.2603,3.528
Sti_1_023,Sti_S1,Stimulated,0.4303,3.943
Sti_1_024,Sti_S1,Stimulated,0.2591,3.406
Sti_1_025,Sti_S1,Stimulated,0.4015,4.21
Sti_1_026,Sti_S1,Stimulated,0.4026,2.741
Sti_1_027,Sti_S1,Stimulated,0.5248,2.771
Sti_1_028,Sti_S1,Stimulated,0.5772,3.481
Sti_1_029,Sti_S1,Stimulated,0.7077,3.351
Sti_1_030,Sti_S1,Stimulated,0.3702,3.606
Sti_1_031,Sti_S1,Stimulated,0.3859,3.966
Sti_1_032,Sti_S1,Stimulated,0.5036,3.171
Sti_1_033,Sti_S1,Stimulated,0.68,3.916
Sti_1_034,Sti_S1,Stimulated,0.8912,4.734
Sti_1_035,Sti_S1,Stimulated,0.8516,4.758
Sti_1_036,Sti_S1,Stimulated,0.7602,5.242
Sti_1_037,Sti_S1,Stimulated,0.6678,4.43
Sti_1_038,Sti_S1,Stimulated,0.6588,4.334
Sti_1_039,Sti_S1,Stimulated,0.4422,3.678
Sti_1_040,Sti_S1,Stimulated,0.5494,3.858
Sti_1_041,Sti_S1,Stimulated,0.7498,4.438
Sti_1_042,Sti_S1,Stimulated,0.6159,3.364
Sti_1_043,Sti_S1,Stimulated,0.2843,2.728
Sti_1_044,Sti_S1,Stimulated,0.2548,3.145
Sti_1_045,Sti_S1,Stimulated,0.4292,3.941
Sti_1_046,Sti_S1,Stimulated,0.9856,5.04
Sti_1_047,Sti_S1,Stimulated,0.6669,3.733
Sti_1_048,Sti_S1,Stimulated,0.4124,2.928
Sti_1_049,Sti_S1,Stimulated,0.7152,3.946
Sti_1_050,Sti_S1,Stimulated,0.413,3.278
Sti_1_051,Sti_S1,Stimulated,0.4534,3.995
Sti_1_052,Sti_S1,Stimulated,0.9235,4.902
Sti_1_053,Sti_S1,Stimulated,0.4408,4.119
Sti_1_054,Sti_S1,Stimulated,0.5127,3.241
Sti_1_055,Sti_S1,Stimulated,0.6462,4.479
Sti_1_056,Sti_S1,Stimulated,0.3204,2.276
Sti_1_057,Sti_S1,Stimulated,0.1671,2.545
Sti_1_058,Sti_S1,Stimulated,0.479,3.786
Sti_1_059,Sti_S1,Stimulated,0.6776,4.121
Sti_1_060,Sti_S1,Stimulated,0.4405,3.172
Sti_1_061,Sti_S1,Stimulated,0.5593,3.164
Sti_1_062,Sti_S1,Stimulated,0.7203,4.037
Sti_1_063,Sti_S1,Stimulated,0.3081,2.888
Sti_1_064,Sti_S1,Stimulated,0.4473,2.944
Sti_1_065,Sti_S1,Stimulated,0.8968,3.384
Sti_1_066,Sti_S1,Stimulated,0.4534,4.211
Sti_1_067,Sti_S1,Stimulated,0.8166,4.151
Sti_1_068,Sti_S1,Stimulated,0.7504,4.694
Sti_1_069,Sti_S1,Stimulated,0.4744,3.445
Sti_1_070,Sti_S1,Stimulated,0.4915,3.494
Sti_1_071,Sti_S1,Stimulated,0.7469,4.33
Sti_1_072,Sti_S1,Stimulated,0.401,3.524
Sti_1_073,Sti_S1,Stimulated,0.9162,5.034
Sti_1_074,Sti_S1,Stimulated,0.3544,3.093
Sti_1_075,Sti_S1,Stimulated,0.5129,3.582
Sti_1_076,Sti_S1,Stimulated,0.4468,3.991
Sti_1_077,Sti_S1,Stimulated,0.59,4.063
Sti_1_078,Sti_S1,Stimulated,0.7502,3.892
Sti_1_079,Sti_S1,Stimulated,0.4335,3.23
Sti_1_080,Sti_S1,Stimulated,0.5469,3.528
Sti_1_081,Sti_S1,Stimulated,0.5695,3.933
Sti_1_082,Sti_S1,Stimulated,0.4064,3.12
Sti_1_083,Sti_S1,Stimulated,0.1099,2.219
Sti_1_084,Sti_S1,Stimulated,0.2306,3.027
Sti_1_085,Sti_S1,Stimulated,0.7242,5.026
Sti_1_086,Sti_S1,Stimulated,0.5402,3.642
Sti_1_087,Sti_S1,Stimulated,0.3455,3.273
Sti_1_088,Sti_S1,Stimulated,0.8299,5.482
Sti_1_089,Sti_S1,Stimulated,0.6104,3.28
Sti_1_090,Sti_S1,Stimulated,0.1626,2.231
Sti_1_091,Sti_S1,Stimulated,0.256,3.694
Sti_1_092,Sti_S1,Stimulated,0.7614,4.563
Sti_1_093,Sti_S1,Stimulated,0.2665,4.261
Sti_1_094,Sti_S1,Stimulated,0.4066,2.903
Sti_1_095,Sti_S1,Stimulated,0.743,4.168
Sti_1_096,Sti_S1,Stimulated,0.668,3.968
Sti_1_097,Sti_S1,Stimulated,0.4743,3.861
Sti_1_098,Sti_S1,Stimulated,0.203,2.564
Sti_1_099,Sti_S1,Stimulated,0.474,3.043
Sti_1_100,Sti_S1,Stimulated,0.3503,3.236
Sti_1_101,Sti_S1,Stimulated,0.6077,3.885
Sti_1_102,Sti_S1,Stimulated,0.5145,3.655
Sti_1_103,Sti_S1,Stimulated,0.6581,4.293
Sti_1_104,Sti_S1,Stimulated,0.4789,3.773
Sti_1_105,Sti_S1,Stimulated,0.6313,4.221
Sti_1_106,Sti_S1,Stimulated,0.6589,3.745
Sti_1_107,Sti_S1,Stimulated,0.2643,2.429
Sti_1_108,Sti_S1,Stimulated,0.4848,2.945
Sti_1_109,Sti_S1,Stimulated,0.8189,6.431
Sti_1_110,Sti_S1,Stimulated,0.7779,4.491
Sti_1_111,Sti_S1,Stimulated,0.745,4.098
Sti_1_112,Sti_S1,Stimulated,0.7748,4.037
Sti_1_113,Sti_S1,Stimulated,0.4184,3.624
Sti_1_114,Sti_S1,Stimulated,0.4829,2.808
Sti_1_115,Sti_S1,Stimulated,0.2723,2.389
Sti_1_116,Sti_S1,Stimulated,0.7422,4.604
Sti_1_117,Sti_S1,Stimulated,0.1317,1.862
Sti_1_118,Sti_S1,Stimulated,0.9186,5.431
Sti_1_119,Sti_S1,Stimulated,0.5579,4.189
Sti_1_120,Sti_S1,Stimulated,0.6967,4.228
Sti_2_001,Sti_S2,Stimulated,0.8296,5.418
Sti_2_002,Sti_S2,Stimulated,0.8422,4.86
Sti_2_003,Sti_S2,Stimulated,0.3507,3.798
Sti_2_004,Sti_S2,Stimulated,0.4124,3.631
Sti_2_005,Sti_S2,Stimulated,0.3181,4.097
Sti_2_006,Sti_S2,Stimulated,0.362,2.987
Sti_2_007,Sti_S2,Stimulated,0.5408,3.793
Sti_2_008,Sti_S2,Stimulated,0.3928,3.419
Sti_2_009,Sti_S2,Stimulated,0.5239,3.508
Sti_2_010,Sti_S2,Stimulated,0.4056,4.399
Sti_2_011,Sti_S2,Stimulated,0.7908,5.21
Sti_2_012,Sti_S2,Stimulated,0.7284,3.887
Sti_2_013,Sti_S2,Stimulated,0.6599,4.055
Sti_2_014,Sti_S2,Stimulated,0.3325,3.873
Sti_2_015,Sti_S2,Stimulated,0.6909,4.001
Sti_2_016,Sti_S2,Stimulated,0.4425,3.994
Sti_2_017,Sti_S2,Stimulated,0.7113,4.624
Sti_2_018,Sti_S2,Stimulated,0.9046,4.498
Sti_2_019,Sti_S2,Stimulated,0.6655,4.343
Sti_2_020,Sti_S2,Stimulated,0.5097,3.452
Sti_2_021,Sti_S2,Stimulated,0.8548,4.772
Sti_2_022,Sti_S2,Stimulated,0.5268,3.89
Sti_2_023,Sti_S2,Stimulated,0.602,3.654
Sti_2_024,Sti_S2,Stimulated,0.8154,4.899
Sti_2_025,Sti_S2,Stimulated,0.6102,3.838
Sti_2_026,Sti_S2,Stimulated,0.894,4.554
Sti_2_027,Sti_S2,Stimulated,0.2749,3.171
Sti_2_028,Sti_S2,Stimulated,0.6138,4.624
Sti_2_029,Sti_S2,Stimulated,0.4829,3.917
Sti_2_030,Sti_S2,Stimulated,0.6636,3.506
Sti_2_031,Sti_S2,Stimulated,0.84,5.673
Sti_2_032,Sti_S2,Stimulated,0.3119,3.058
Sti_2_033,Sti_S2,Stimulated,0.7366,4.716
Sti_2_034,Sti_S2,Stimulated,0.8137,4.33
Sti_2_035,Sti_S2,Stimulated,0.515,2.452
Sti_2_036,Sti_S2,Stimulated,0.2766,2.23
Sti_2_037,Sti_S2,Stimulated,0.6799,4.416
Sti_2_038,Sti_S2,Stimulated,0.1668,2.956
Sti_2_039,Sti_S2,Stimulated,0.7822,4.567
Sti_2_040,Sti_S2,Stimulated,0.604,3.387
Sti_2_041,Sti_S2,Stimulated,0.2961,2.744
Sti_2_042,Sti_S2,Stimulated,0.7154,4.625
Sti_2_043,Sti_S2,Stimulated,0.6532,4.705
Sti_2_044,Sti_S2,Stimulated,0.2862,2.028
Sti_2_045,Sti_S2,Stimulated,0.8276,4.543
Sti_2_046,Sti_S2,Stimulated,0.8033,5.122
