gene,log2_fold_change,p_value,adjusted_p_value,gene_class,label
GENE0074,-1.326,6.449e-03,4.483e-02,other,
GENE0075,-1.6274,1.497e-03,1.867e-03,other,
GENE0076,0.4759,3.393e-02,6.680e-02,other,
GENE0077,-0.3984,4.096e-02,1.061e-01,other,
GENE0078,-0.1711,1.546e-01,3.275e-01,metabolic,
GENE0079,0.0703,1.070e-01,2.136e-01,other,
GENE0080,-0.0507,1.551e-01,8.779e-01,other,
GENE0081,0.1964,1.055e-01,3.517e-01,immune,
GENE0082,0.0321,4.975e-02,3.094e-01,other,
GENE0083,-1.8775,2.114e-03,9.812e-03,other,
GENE0084,-0.3105,2.741e-01,1.000e+00,other,
GENE0085,1.9368,1.026e-04,4.370e-04,other,
GENE0086,0.5412,4.803e-03,2.116e-02,other,
GENE0087,-1.4267,9.573e-03,1.538e-02,other,
GENE0088,1.0145,9.109e-02,1.415e-01,other,
GENE0089,-0.2549,1.377e-01,1.000e+00,other,
GENE0090,1.6084,2.172e-03,1.146e-02,immune,
GENE0091,1.4527,1.155e-03,7.398e-03,metabolic,
GENE0092,1.044,3.545e-03,1.495e-02,other,
GENE0093,0.141,2.701e-01,4.743e-01,other,
GENE0094,1.0368,3.006e-02,1.107e-01,other,
GENE0095,1.4955,5.404e-02,9.420e-02,other,
GENE0096,2.1318,1.225e-02,8.210e-02,other,
GENE0097,-1.4334,2.447e-03,4.755e-03,other,
GENE0098,-0.53,1.548e-01,9.718e-01,other,
GENE0099,1.2418,1.682e-03,5.932e-03,immune,
GENE0100,-1.3546,1.929e-03,1.086e-02,other,
GENE0101,0.0887,2.506e-01,1.000e+00,other,
GENE0102,0.5432,1.231e-01,8.533e-01,other,
GENE0103,2.0972,3.457e-04,4.429e-04,other,
GENE0104,-0.3383,1.746e-01,5.143e-01,metabolic,
GENE0105,0.7584,4.711e-02,5.381e-02,other,
GENE0106,1.6227,4.379e-04,1.693e-03,other,
GENE0107,1.0233,1.296e-01,3.350e-01,other,
GENE0108,1.2671,7.976e-03,2.914e-02,immune,
GENE0109,-0.3536,2.543e-02,3.721e-02,other,
GENE0110,-1.9601,9.707e-03,5.582e-02,other,
GENE0111,-0.2345,2.101e-01,6.272e-01,other,
GENE0112,1.6774,1.296e-04,5.269e-04,other,
GENE0113,-0.3593,2.129e-01,3.009e-01,other,
GENE0114,1.6948,4.506e-03,5.195e-03,other,
GENE0115,-0.2515,1.529e-01,5.142e-01,other,
GENE0116,0.7512,2.185e-01,5.053e-01,other,
GENE0117,-1.3091,1.224e-02,8.154e-02,immune,
GENE0118,1.2261,8.984e-02,1.250e-01,other,
GENE0119,2.5742,7.107e-06,3.594e-05,other,
GENE0120,0.3045,1.276e-01,2.417e-01,other,
GENE0121,1.0104,8.923e-03,6.104e-02,other,
GENE0122,0.1332,4.840e-02,3.353e-01,other,
GENE0123,0.0644,3.205e-01,1.000e+00,other,
GENE0124,1.5319,5.283e-03,1.194e-02,other,
GENE0125,-0.5647,1.441e-01,5.060e-01,other,
GENE0126,-0.0372,7.069e-01,1.000e+00,immune,
GENE0127,0.0558,5.318e-01,1.000e+00,other,
GENE0128,0.6448,1.612e-02,1.037e-01,other,
GENE0129,-1.9259,1.802e-04,1.347e-03,other,
GENE0130,0.0712,4.978e-01,1.000e+00,metabolic,
GENE0131,1.0626,7.444e-03,3.090e-02,other,
GENE0132,-1.2169,1.181e-02,1.757e-02,other,
GENE0133,-0.9904,2.769e-03,1.893e-02,other,
GENE0134,-0.0457,7.940e-01,1.000e+00,other,
GENE0135,-1.026,2.298e-02,1.508e-01,immune,
GENE0136,-0.9046,7.685e-03,5.139e-02,other,
GENE0137,-0.5859,2.403e-02,3.669e-02,other,
GENE0138,-0.8263,1.802e-01,6.252e-01,other,
GENE0139,-0.303,1.288e-01,5.308e-01,other,
GENE0140,-1.3288,9.355e-03,2.054e-02,other,
GENE0141,-0.6541,4.989e-02,2.607e-01,other,
GENE0142,0.672,3.966e-02,6.166e-02,other,
GENE0143,1.4357,1.922e-02,1.082e-01,metabolic,
GENE0144,0.9692,1.079e-02,3.669e-02,immune,
GENE0145,-0.5512,2.138e-01,1.000e+00,other,
GENE0146,-0.3155,2.404e-01,1.000e+00,other,
GENE0147,-0.4089,1.482e-01,8.483e-01,other,
GENE0148,1.0407,8.558e-03,4.989e-02,other,
GENE0149,-1.6346,2.793e-03,1.006e-02,other,
GENE0150,-0.2736,1.180e-01,9.013e-01,other,
GENE0151,-0.8212,1.444e-02,1.000e-01,other,
GENE0152,0.071,6.720e-01,1.000e+00,other,
GENE0153,0.2375,4.039e-01,8.095e-01,immune,
GENE0154,-0.2129,8.934e-02,6.107e-01,other,
GENE0155,0.2766,2.421e-01,9.526e-01,other,
GENE0156,-2.0743,9.139e-05,3.806e-04,metabolic,
GENE0157,-0.416,1.497e-01,4.844e-01,other,
GENE0158,1.865,1.798e-04,1.234e-03,other,
GENE0159,-1.8812,5.694e-05,1.733e-04,other,
GENE0160,2.0585,1.518e-03,1.179e-02,other,
GENE0161,0.8435,4.419e-02,2.441e-01,other,
GENE0162,-1.8874,1.298e-04,2.347e-04,immune,
GENE0163,1.2721,3.052e-02,9.102e-02,other,
GENE0164,-1.8494,3.406e-05,1.403e-04,other,
GENE0165,0.7692,3.312e-02,4.253e-02,other,
GENE0166,-0.2692,3.109e-01,8.478e-01,other,
GENE0167,1.1141,1.396e-01,9.622e-01,other,
GENE0168,-0.0383,6.867e-01,1.000e+00,other,
GENE0169,-0.497,2.055e-02,1.227e-01,metabolic,
GENE0170,2.1062,9.965e-06,1.641e-05,other,
GENE0171,-0.0812,5.528e-01,1.000e+00,immune,
GENE0172,2.1814,3.927e-03,1.248e-02,other,
GENE0173,1.1464,3.836e-03,7.154e-03,other,
GENE0174,0.3546,1.198e-01,1.454e-01,other,
GENE0175,-0.852,7.339e-02,3.921e-01,other,
GENE0176,-0.0826,3.425e-01,1.000e+00,other,
GENE0177,2.6775,3.922e-03,1.804e-02,other,
GENE0178,1.5974,2.603e-04,9.876e-04,other,
GENE0179,-1.6055,1.193e-04,1.446e-04,other,
GENE0180,0.3049,9.738e-02,5.996e-01,immune,
GENE0181,-1.3684,1.434e-03,2.016e-03,other,
GENE0182,-1.4255,6.651e-03,1.535e-02,metabolic,
GENE0183,0.2341,2.565e-01,1.000e+00,other,
GENE0184,-1.264,7.827e-02,3.333e-01,other,
GENE0185,-0.0928,3.477e-02,2.622e-01,other,
GENE0186,0.3315,3.342e-01,1.000e+00,other,
GENE0187,-0.0401,3.271e-01,1.000e+00,other,
GENE0188,1.9236,6.979e-05,1.367e-04,other,
GENE0189,-1.6303,1.300e-03,4.899e-03,immune,
GENE0190,1.7799,1.056e-04,4.787e-04,other,
GENE0191,1.2374,4.052e-03,6.663e-03,other,
GENE0192,-0.6373,8.542e-02,4.155e-01,other,
GENE0193,-0.2033,1.436e-01,7.548e-01,other,
GENE0194,0.4236,1.948e-01,6.870e-01,other,
GENE0195,2.2414,2.108e-03,6.313e-03,metabolic,
GENE0196,0.611,5.138e-02,8.312e-02,other,
GENE0197,-0.7096,3.465e-02,2.659e-01,other,
GENE0198,-0.831,1.087e-01,7.053e-01,immune,
GENE0199,0.4188,6.530e-02,2.443e-01,other,
GENE0200,0.0931,4.396e-01,1.000e+00,other,
GENE0201,1.0524,7.909e-03,3.759e-02,other,
GENE0202,-0.3506,2.356e-01,6.648e-01,other,
GENE0203,1.4192,4.012e-03,1.996e-02,other,
GENE0204,1.2268,1.283e-02,5.363e-02,other,
GENE0205,0.9429,6.636e-03,1.292e-02,other,
GENE0206,-0.0215,4.120e-01,1.000e+00,other,
GENE0207,-0.464,1.444e-01,4.772e-01,immune,
GENE0208,0.1667,4.178e-02,2.023e-01,metabolic,
GENE0209,1.7421,1.028e-03,5.652e-03,other,
GENE0210,-1.4168,1.383e-03,2.680e-03,other,
GENE0211,0.1906,1.233e-02,6.072e-02,other,
GENE0212,0.5993,1.500e-01,7.361e-01,other,
GENE0213,-0.3724,3.783e-01,1.000e+00,other,
GENE0214,-0.3159,2.708e-01,1.000e+00,other,
GENE0215,2.7562,1.761e-05,1.020e-04,other,
GENE0216,1.3772,2.066e-02,1.340e-01,immune,
GENE0217,-0.4653,4.803e-02,3.546e-01,other,
GENE0218,-0.561,4.580e-02,9.873e-02,other,
GENE0219,0.5186,4.591e-02,3.485e-01,other,
GENE0220,0.8726,1.672e-02,4.731e-02,other,
GENE0221,-0.9618,4.369e-02,2.089e-01,metabolic,
GENE0222,-1.0918,4.974e-03,3.779e-02,other,
GENE0223,0.9549,1.414e-02,9.773e-02,other,
GENE0224,1.3899,7.031e-03,9.111e-03,other,
GENE0225,1.5804,2.701e-03,1.726e-02,immune,
GENE0226,0.4641,1.622e-01,7.360e-01,other,
GENE0227,-0.6633,2.146e-02,1.427e-01,other,
GENE0228,-0.6816,2.206e-02,3.537e-02,other,
GENE0229,1.151,5.313e-03,2.809e-02,other,
GENE0230,0.455,2.182e-01,1.000e+00,other,
GENE0231,2.0069,6.271e-03,3.120e-02,other,
GENE0232,-2.4019,8.220e-04,2.421e-03,other,
GENE0233,0.0068,3.782e-01,1.000e+00,other,
GENE0234,0.5189,2.475e-01,5.450e-01,immune,
GENE0235,-0.706,1.201e-01,5.449e-01,other,
GENE0236,1.3347,6.341e-03,2.048e-02,other,
GENE0237,2.7425,1.333e-04,3.446e-04,other,
GENE0238,0.4022,1.704e-02,7.693e-02,other,
GENE0239,1.2385,1.115e-02,7.742e-02,other,
GENE0240,-1.1293,2.978e-02,1.823e-01,other,
GENE0241,0.0955,4.326e-01,1.000e+00,other,
GENE0242,-1.0936,1.817e-03,8.321e-03,other,
GENE0243,0.0842,4.544e-01,8.724e-01,immune,
GENE0244,-0.9278,4.787e-03,3.152e-02,other,
GENE0245,-1.4439,5.805e-04,2.678e-03,other,
GENE0246,2.3045,2.746e-05,5.617e-05,other,
GENE0247,-0.6495,8.181e-02,3.810e-01,metabolic,
GENE0248,1.1297,3.008e-02,6.682e-02,other,
GENE0249,1.8825,2.638e-03,1.798e-02,other,
GENE0250,-0.1111,4.898e-01,1.000e+00,other,
GENE0251,0.4426,1.836e-01,9.415e-01,other,
GENE0252,-1.0096,1.066e-02,6.234e-02,immune,
GENE0253,1.2865,1.785e-03,1.152e-02,other,
GENE0254,0.2174,3.391e-01,1.000e+00,other,
GENE0255,0.7756,5.117e-02,1.085e-01,other,
GENE0256,1.4217,1.453e-04,1.111e-03,other,
GENE0257,0.1734,9.664e-02,5.667e-01,other,
GENE0258,0.1432,5.092e-01,1.000e+00,other,
GENE0259,1.3085,1.297e-02,3.281e-02,other,
GENE0260,-1.3449,1.853e-02,8.755e-02,metabolic,
GENE0261,-0.2766,9.739e-02,3.452e-01,immune,
GENE0262,0.6531,4.955e-02,2.745e-01,other,
GENE0263,-0.5503,7.241e-02,3.585e-01,other,
GENE0264,-1.4793,3.068e-02,9.676e-02,other,
GENE0265,-0.1902,1.518e-01,5.323e-01,other,
GENE0266,0.7604,2.368e-02,7.074e-02,other,
GENE0267,1.2457,2.865e-02,1.933e-01,other,
GENE0268,1.1977,2.929e-03,9.092e-03,other,
GENE0269,-0.4263,1.384e-01,3.972e-01,other,
GENE0270,1.7693,7.621e-04,3.670e-03,immune,
GENE0271,1.6202,2.208e-02,1.137e-01,other,
GENE0272,-0.7251,1.181e-01,5.629e-01,other,
GENE0273,-0.2445,3.494e-01,6.268e-01,metabolic,
GENE0274,-0.2878,1.899e-03,9.302e-03,other,
GENE0275,1.0608,6.496e-03,2.855e-02,other,
GENE0276,-0.5065,3.077e-01,1.000e+00,other,
GENE0277,-1.5283,3.149e-02,1.509e-01,other,
GENE0278,-1.9934,3.616e-04,2.677e-03,other,
GENE0279,1.079,8.766e-02,6.995e-01,immune,
GENE0280,2.1198,1.080e-03,8.165e-03,other,
GENE0281,2.5506,1.244e-07,6.245e-07,other,
GENE0282,-0.6186,2.928e-01,8.971e-01,other,
GENE0283,1.4364,9.414e-03,6.564e-02,other,
GENE0284,-0.0985,1.424e-01,2.673e-01,other,
GENE0285,0.666,3.680e-02,2.275e-01,other,
GENE0286,1.0867,6.176e-03,3.907e-02,metabolic,
GENE0287,1.0218,8.299e-03,3.863e-02,other,
GENE0288,2.021,1.465e-02,3.478e-02,immune,
GENE0289,0.6452,5.519e-02,1.504e-01,other,
GENE0290,0.786,3.980e-02,1.267e-01,other,
GENE0291,-0.0296,6.209e-01,9.491e-01,other,
GENE0292,-0.1719,2.183e-01,8.508e-01,other,
GENE0293,-2.4419,2.394e-05,4.573e-05,other,
GENE0294,-0.0387,2.479e-01,1.000e+00,other,
GENE0295,0.1187,5.826e-01,1.000e+00,other,
GENE0296,0.6043,9.233e-02,4.015e-01,other,
GENE0297,-1.6517,5.415e-03,3.416e-02,immune,
GENE0298,-0.3967,1.430e-02,5.981e-02,other,
GENE0299,-0.1328,3.975e-02,1.939e-01,metabolic,
GENE0300,-0.4444,1.358e-01,2.897e-01,other,
GENE0301,-0.6571,5.590e-02,2.864e-01,other,
GENE0302,1.2294,4.911e-02,3.281e-01,other,
GENE0303,-1.3213,9.966e-04,4.276e-03,other,
GENE0304,0.398,1.353e-01,5.183e-01,other,
GENE0305,0.7718,3.161e-03,1.099e-02,other,
GENE0306,-1.7398,4.210e-02,3.178e-01,immune,
GENE0307,2.4316,6.340e-03,4.061e-02,other,
GENE0308,1.126,9.888e-03,5.494e-02,other,
GENE0309,-3.1721,1.048e-04,7.710e-04,other,
GENE0310,1.7345,5.107e-03,2.894e-02,other,
GENE0311,-1.6236,2.121e-03,1.020e-02,other,
GENE0312,-0.4093,1.874e-01,4.940e-01,metabolic,
GENE0313,0.2466,3.572e-01,1.000e+00,other,
GENE0314,0.0054,8.089e-01,1.000e+00,other,
GENE0315,-0.5247,6.378e-02,1.198e-01,immune,
GENE0316,0.7601,1.697e-02,1.084e-01,other,
GENE0317,0.1521,7.200e-02,9.588e-02,other,
GENE0318,-0.1363,4.344e-01,6.238e-01,other,
GENE0319,-0.0693,1.851e-01,1.000e+00,other,
GENE0320,-1.1646,6.245e-02,1.933e-01,other,
GENE0321,0.7491,8.281e-02,4.754e-01,other,
GENE0322,-1.7079,3.299e-03,6.890e-03,other,
GENE0323,-0.4346,2.016e-02,1.542e-01,other,
GENE0324,-0.6869,4.296e-02,2.328e-01,immune,
GENE0325,-1.2072,3.060e-03,1.754e-02,metabolic,
GENE0326,0.5942,2.721e-02,1.081e-01,other,
GENE0327,0.6614,3.268e-02,2.274e-01,other,
GENE0328,0.901,6.916e-02,4.606e-01,other,
GENE0329,1.2714,1.361e-03,2.757e-03,other,
GENE0330,-0.7547,3.350e-02,1.863e-01,other,
GENE0331,1.968,1.690e-02,4.080e-02,other,
GENE0332,-1.0463,5.046e-02,2.654e-01,other,
GENE0333,0.5205,8.724e-02,4.324e-01,immune,
GENE0334,-0.5296,1.634e-01,5.550e-01,other,
GENE0335,0.1948,3.901e-01,7.449e-01,other,
GENE0336,-0.0539,3.694e-01,1.000e+00,other,
GENE0337,-0.6165,3.319e-02,2.141e-01,other,
GENE0338,-0.4745,1.389e-01,4.970e-01,metabolic,
GENE0339,-0.1001,7.213e-02,5.677e-01,other,
GENE0340,1.3755,1.141e-02,8.453e-02,other,
GENE0341,-0.8176,1.350e-02,2.843e-02,other,
GENE0342,0.863,1.126e-01,5.739e-01,immune,
GENE0343,-0.5746,8.179e-02,5.603e-01,other,
GENE0344,0.3274,2.281e-01,1.000e+00,other,
GENE0345,-0.0983,4.035e-01,1.000e+00,other,
GENE0346,2.133,8.036e-03,1.822e-02,other,
GENE0347,-0.2469,1.757e-01,9.713e-01,other,
GENE0348,-1.3082,3.297e-03,2.289e-02,other,
GENE0349,1.608,5.885e-04,4.069e-03,other,
GENE0350,-0.5768,1.816e-01,2.112e-01,other,
GENE0351,-1.1108,1.218e-02,6.523e-02,immune,
GENE0352,-0.04,4.302e-01,4.928e-01,other,
GENE0353,-0.1683,1.576e-01,1.000e+00,other,
GENE0354,-0.0566,7.401e-01,1.000e+00,other,
GENE0355,0.8718,1.765e-02,3.756e-02,other,
GENE0356,-2.3669,2.685e-03,1.805e-02,other,
GENE0357,-0.1256,2.855e-01,1.000e+00,other,
GENE0358,1.1497,9.053e-04,5.268e-03,other,
GENE0359,0.9662,1.105e-02,1.929e-02,other,
GENE0360,-1.3681,1.145e-02,1.703e-02,immune,
GENE0361,0.7039,4.494e-02,2.926e-01,other,
GENE0362,0.0418,7.432e-01,1.000e+00,other,
GENE0363,-0.3338,4.038e-01,1.000e+00,other,
GENE0364,-0.0597,3.938e-02,6.353e-02,metabolic,
GENE0365,2.1997,1.797e-05,1.350e-04,other,
GENE0366,-1.1106,5.206e-02,2.681e-01,other,
GENE0367,0.0257,7.227e-02,1.605e-01,other,
GENE0368,-1.8161,1.094e-02,4.140e-02,other,
GENE0369,0.8219,5.057e-03,4.005e-02,immune,
GENE0370,-0.625,4.256e-02,3.329e-01,other,
GENE0371,1.1633,2.253e-03,1.443e-02,other,
GENE0372,0.4081,5.860e-02,3.773e-01,other,
GENE0373,0.9031,6.369e-03,2.264e-02,other,
GENE0374,0.1701,1.962e-01,1.000e+00,other,
GENE0375,-0.2591,3.136e-01,1.000e+00,other,
GENE0376,-0.4121,7.157e-02,4.302e-01,other,
GENE0377,-1.2574,3.922e-03,4.455e-03,metabolic,
GENE0378,-1.4066,9.233e-03,2.734e-02,immune,
GENE0379,0.4986,1.208e-01,4.731e-01,other,
GENE0380,0.548,1.399e-01,2.438e-01,other,
GENE0381,-0.8313,2.729e-02,1.030e-01,other,
GENE0382,-0.5885,2.972e-01,1.000e+00,other,
GENE0383,1.4841,1.549e-02,3.189e-02,other,
GENE0384,-0.2048,2.909e-01,4.469e-01,other,
GENE0385,-1.1026,2.355e-03,6.680e-03,other,
GENE0386,0.4798,1.971e-01,1.000e+00,other,
GENE0387,0.1835,5.895e-01,1.000e+00,immune,
GENE0388,0.5153,1.251e-01,4.220e-01,other,
GENE0389,-1.0732,8.831e-03,1.801e-02,other,
GENE0390,1.8216,7.649e-03,1.902e-02,metabolic,
GENE0391,-1.1665,1.167e-03,6.880e-03,other,
GENE0392,2.734,9.280e-05,2.573e-04,other,
GENE0393,-1.5073,1.498e-03,7.476e-03,other,
GENE0394,1.4875,2.902e-03,1.684e-02,other,
GENE0395,-2.7041,1.622e-04,6.689e-04,other,
GENE0396,-0.8805,7.334e-02,4.951e-01,immune,
GENE0397,0.3338,2.162e-01,5.989e-01,other,
GENE0398,-1.1315,1.045e-02,6.840e-02,other,
GENE0399,3.1444,1.962e-05,9.019e-05,other,
GENE0400,1.5765,5.072e-04,2.460e-03,other,
GENE0401,0.2747,1.561e-01,8.593e-01,other,
GENE0402,-1.0502,1.061e-01,5.984e-01,other,
GENE0403,-1.0172,1.651e-01,9.532e-01,metabolic,
GENE0404,1.3113,1.680e-02,1.304e-01,other,
GENE0405,-0.1517,3.527e-01,1.000e+00,immune,
GENE0406,0.0709,4.497e-01,1.000e+00,other,
GENE0407,-1.5334,2.306e-03,8.026e-03,other,
GENE0408,1.2502,1.273e-02,5.055e-02,other,
GENE0409,0.5548,1.084e-02,3.524e-02,other,
GENE0410,-0.136,1.366e-01,6.054e-01,other,
GENE0411,-1.2211,2.876e-03,9.121e-03,other,
GENE0412,0.1843,5.325e-02,3.706e-01,other,
GENE0413,-1.0342,1.074e-01,2.989e-01,other,
GENE0414,-1.3859,7.909e-03,3.925e-02,immune,
GENE0415,0.807,1.759e-02,9.709e-02,other,
GENE0416,-0.2155,1.578e-02,8.424e-02,metabolic,
GENE0417,0.5005,1.680e-01,4.234e-01,other,
GENE0418,1.4567,2.259e-03,3.460e-03,other,
GENE0419,1.8712,5.182e-03,2.206e-02,other,
GENE0420,1.3912,2.825e-02,1.339e-01,other,
GENE0421,-0.9949,1.664e-02,5.823e-02,other,
GENE0422,-1.189,3.556e-03,2.388e-02,other,
GENE0423,-0.2638,3.320e-02,6.721e-02,immune,
GENE0424,-0.9296,4.805e-02,1.135e-01,other,
GENE0425,-0.4785,3.365e-02,1.261e-01,other,
GENE0426,-1.2893,3.678e-02,2.164e-01,other,
GENE0427,-3.018,1.710e-05,3.537e-05,other,
GENE0428,-3.904,1.594e-05,2.343e-05,other,
GENE0429,-0.101,6.628e-01,1.000e+00,metabolic,
GENE0430,0.1236,3.319e-01,1.000e+00,other,
GENE0431,-1.8991,1.965e-04,2.580e-04,other,
GENE0432,1.113,3.174e-03,9.510e-03,immune,
GENE0433,-0.6786,9.150e-02,5.842e-01,other,
GENE0434,-0.1634,6.564e-02,1.239e-01,other,
GENE0435,0.3364,3.213e-01,4.457e-01,other,
GENE0436,-2.1145,1.347e-04,1.068e-03,other,
GENE0437,1.7321,2.756e-04,2.204e-03,other,
GENE0438,1.2991,6.543e-03,4.407e-02,other,
GENE0439,-3.4099,1.933e-07,1.294e-06,other,
GENE0440,1.3732,2.846e-03,1.708e-02,other,
GENE0441,-0.4654,7.949e-02,2.009e-01,immune,
GENE0442,-0.5133,1.393e-01,4.234e-01,metabolic,
GENE0443,-0.987,6.291e-03,1.852e-02,other,
GENE0444,-0.2453,3.367e-01,1.000e+00,other,
GENE0445,2.4377,3.762e-05,2.990e-04,other,
GENE0446,1.6617,8.435e-05,5.968e-04,other,
GENE0447,0.0037,7.498e-01,1.000e+00,other,
GENE0448,1.813,1.780e-03,5.258e-03,other,
GENE0449,-1.0825,1.685e-02,2.936e-02,other,
GENE0450,0.6473,3.350e-02,2.533e-01,immune,
GENE0451,-1.9166,2.092e-05,1.348e-04,other,
GENE0452,2.0649,1.997e-04,8.513e-04,other,
GENE0453,-0.5563,1.948e-01,5.070e-01,other,
GENE0454,-0.9293,1.313e-02,3.876e-02,other,
GENE0455,0.4934,1.020e-01,4.538e-01,metabolic,
GENE0456,-0.9201,5.591e-02,8.018e-02,other,
GENE0457,1.6317,8.040e-04,5.643e-03,other,
GENE0458,1.1788,4.684e-05,3.611e-04,other,
GENE0459,0.5184,2.262e-01,4.969e-01,immune,
GENE0460,1.6784,1.181e-04,6.635e-04,other,
GENE0461,-0.0027,1.643e-01,6.302e-01,other,
GENE0462,1.109,3.929e-02,1.067e-01,other,
GENE0463,-1.0037,9.435e-02,1.902e-01,other,
GENE0464,-1.4866,2.096e-02,2.440e-02,other,
GENE0465,-0.7106,1.399e-02,2.815e-02,other,
GENE0466,-1.9971,9.726e-03,5.974e-02,other,
GENE0467,0.7977,3.959e-03,2.548e-02,other,
GENE0468,0.5984,1.195e-02,9.502e-02,immune,
GENE0469,0.8818,1.533e-01,6.341e-01,other,
GENE0470,1.1056,8.056e-03,1.728e-02,other,
GENE0471,-1.4891,1.281e-04,2.296e-04,other,
GENE0472,0.9227,1.422e-02,5.333e-02,other,
GENE0473,0.9729,3.733e-02,6.277e-02,other,
GENE0474,-0.2287,2.761e-01,1.000e+00,other,
GENE0475,0.3188,1.649e-01,5.245e-01,other,
GENE0476,-1.7321,1.736e-03,1.087e-02,other,
GENE0477,-0.1087,5.849e-01,1.000e+00,immune,
GENE0478,0.3696,2.410e-01,1.000e+00,other,
GENE0479,-3.1216,2.966e-07,5.965e-07,other,
GENE0480,-0.5607,4.861e-02,1.760e-01,other,
GENE0481,-0.7978,1.830e-02,2.223e-02,metabolic,
GENE0482,-1.78,1.013e-02,1.392e-02,other,
GENE0483,1.8848,1.388e-03,6.326e-03,other,
