cell_id,group,replicate,measurement
MUT0039,Mutant,R1,10.9811
WIL0570,Wildtype,R1,37.9663
WIL0479,Wildtype,R3,28.3248
MUT0118,Mutant,R2,10.7425
WIL0279,Wildtype,R1,30.8232
MUT0301,Mutant,R2,31.5105
MUT0146,Mutant,R3,15.3977
WIL0003,Wildtype,R1,8.862
WIL0230,Wildtype,R3,34.5815
WIL0586,Wildtype,R2,26.8384
MUT0443,Mutant,R3,34.0184
MUT0340,Mutant,R2,23.1901
MUT0391,Mutant,R2,18.4619
WIL0372,Wildtype,R1,26.1436
MUT0394,Mutant,R2,37.6329
MUT0206,Mutant,R3,27.2441
MUT0398,Mutant,R3,21.5034
MUT0251,Mutant,R3,19.3505
MUT0378,Mutant,R1,34.9051
MUT0081,Mutant,R1,10.2922
MUT0164,Mutant,R3,11.4051
MUT0197,Mutant,R3,8.2316
MUT0136,Mutant,R2,8.3288
WIL0038,Wildtype,R3,13.2539
WIL0354,Wildtype,R1,32.6355
MUT0294,Mutant,R1,22.9498
WIL0237,Wildtype,R1,31.0964
MUT0174,Mutant,R1,13.4132
WIL0500,Wildtype,R3,25.8325
WIL0056,Wildtype,R3,11.7333
WIL0303,Wildtype,R1,37.799
WIL0287,Wildtype,R3,33.411
WIL0220,Wildtype,R2,30.852
WIL0388,Wildtype,R2,24.8039
MUT0451,Mutant,R2,32.0122
WIL0391,Wildtype,R2,30.4292
WIL0353,Wildtype,R3,34.9422
WIL0194,Wildtype,R3,14.503
WIL0236,Wildtype,R3,37.2312
MUT0223,Mutant,R2,27.3674
WIL0481,Wildtype,R2,36.0354
WIL0117,Wildtype,R1,14.0565
MUT0198,Mutant,R1,16.5012
MUT0395,Mutant,R3,22.039
MUT0034,Mutant,R2,13.4359
MUT0045,Mutant,R1,15.39
WIL0121,Wildtype,R2,18.6253
MUT0335,Mutant,R3,41.4002
MUT0226,Mutant,R2,34.8559
MUT0041,Mutant,R3,11.6377
WIL0063,Wildtype,R1,15.7282
WIL0572,Wildtype,R3,32.6966
WIL0454,Wildtype,R2,30.1822
WIL0516,Wildtype,R1,36.0304
WIL0224,Wildtype,R3,32.6977
WIL0222,Wildtype,R1,30.266
MUT0060,Mutant,R1,7.4464
WIL0466,Wildtype,R2,32.9177
WIL0053,Wildtype,R3,13.5194
MUT0372,Mutant,R1,37.6087
WIL0486,Wildtype,R1,24.4075
MUT0432,Mutant,R1,33.1879
MUT0160,Mutant,R2,8.6739
WIL0156,Wildtype,R1,13.8428
MUT0158,Mutant,R3,9.2416
MUT0131,Mutant,R3,14.8409
WIL0249,Wildtype,R1,37.1866
WIL0442,Wildtype,R2,25.3403
MUT0379,Mutant,R2,32.7108
WIL0543,Wildtype,R1,39.8386
WIL0118,Wildtype,R2,11.3547
MUT0220,Mutant,R2,32.4695
MUT0162,Mutant,R1,13.1631
WIL0292,Wildtype,R2,27.986
MUT0284,Mutant,R3,26.162
WIL0382,Wildtype,R2,36.036
MUT0075,Mutant,R1,20.1684
WIL0201,Wildtype,R1,9.9061
MUT0215,Mutant,R3,23.9293
MUT0429,Mutant,R1,24.8406
MUT0472,Mutant,R2,23.6884
WIL0506,Wildtype,R3,29.6529
MUT0274,Mutant,R2,20.6132
MUT0475,Mutant,R2,24.4739
WIL0341,Wildtype,R3,35.0648
WIL0155,Wildtype,R3,14.6022
MUT0392,Mutant,R3,29.2508
MUT0031,Mutant,R2,10.7305
MUT0230,Mutant,R3,28.5427
MUT0299,Mutant,R3,21.9379
WIL0323,Wildtype,R3,36.0505
MUT0082,Mutant,R2,11.4081
MUT0062,Mutant,R3,15.8538
WIL0083,Wildtype,R3,12.7276
MUT0406,Mutant,R2,39.422
WIL0465,Wildtype,R1,32.2741
MUT0025,Mutant,R2,16.1363
MUT0457,Mutant,R2,39.1573
WIL0334,Wildtype,R2,34.3809
WIL0011,Wildtype,R3,13.5745
WIL0471,Wildtype,R1,32.6212
WIL0033,Wildtype,R1,15.7242
MUT0049,Mutant,R2,8.3155
WIL0414,Wildtype,R1,32.9484
WIL0581,Wildtype,R3,35.4416
WIL0383,Wildtype,R3,35.883
MUT0086,Mutant,R3,12.5085
MUT0029,Mutant,R3,7.4001
MUT0425,Mutant,R3,31.6381
MUT0431,Mutant,R3,31.0712
WIL0379,Wildtype,R2,34.6096
WIL0090,Wildtype,R1,14.8567
WIL0602,Wildtype,R3,32.6422
WIL0214,Wildtype,R2,18.2092
MUT0367,Mutant,R2,18.2063
WIL0134,Wildtype,R3,15.776
WIL0347,Wildtype,R3,35.4274
MUT0114,Mutant,R1,12.387
WIL0008,Wildtype,R3,6.7586
MUT0101,Mutant,R3,14.2094
WIL0321,Wildtype,R1,23.0214
MUT0332,Mutant,R3,25.6816
WIL0188,Wildtype,R3,16.7696
WIL0553,Wildtype,R2,27.8163
WIL0305,Wildtype,R3,28.85
WIL0032,Wildtype,R3,16.7702
MUT0094,Mutant,R2,16.6088
WIL0241,Wildtype,R2,32.6769
MUT0433,Mutant,R2,20.4549
WIL0175,Wildtype,R2,19.9707
WIL0246,Wildtype,R1,31.8889
WIL0057,Wildtype,R1,5.6688
MUT0011,Mutant,R3,12.5044
WIL0584,Wildtype,R3,36.2299
MUT0257,Mutant,R3,27.3317
WIL0146,Wildtype,R3,13.5433
WIL0091,Wildtype,R2,15.1021
WIL0393,Wildtype,R1,42.3599
WIL0311,Wildtype,R3,31.9343
WIL0360,Wildtype,R1,29.2283
WIL0094,Wildtype,R2,15.8333
MUT0253,Mutant,R2,34.6403
MUT0348,Mutant,R1,23.2247
WIL0377,Wildtype,R3,31.3479
WIL0244,Wildtype,R2,32.9115
MUT0347,Mutant,R3,40.8846
WIL0088,Wildtype,R2,18.477
WIL0215,Wildtype,R3,12.1199
WIL0445,Wildtype,R2,31.7222
WIL0174,Wildtype,R1,9.802
WIL0426,Wildtype,R1,18.8169
MUT0283,Mutant,R2,23.4141
WIL0119,Wildtype,R3,17.1277
WIL0120,Wildtype,R1,17.7239
MUT0124,Mutant,R2,8.0008
WIL0001,Wildtype,R2,15.5482
WIL0395,Wildtype,R3,29.3055
WIL0402,Wildtype,R1,22.5274
WIL0405,Wildtype,R1,36.4534
MUT0099,Mutant,R1,11.969
MUT0320,Mutant,R3,29.0581
WIL0163,Wildtype,R2,13.5503
WIL0115,Wildtype,R2,11.5598
WIL0151,Wildtype,R2,11.5761
MUT0141,Mutant,R1,12.8333
MUT0456,Mutant,R1,29.304
MUT0236,Mutant,R3,35.9594
WIL0369,Wildtype,R1,27.547
WIL0544,Wildtype,R2,21.5822
WIL0478,Wildtype,R2,38.5758
MUT0420,Mutant,R1,39.4754
WIL0533,Wildtype,R3,29.3295
MUT0006,Mutant,R1,10.3056
WIL0513,Wildtype,R1,33.3759
MUT0083,Mutant,R3,16.1457
WIL0073,Wildtype,R2,11.6568
WIL0259,Wildtype,R2,36.9577
MUT0005,Mutant,R3,10.0441
MUT0373,Mutant,R2,33.051
WIL0136,Wildtype,R2,9.9958
WIL0617,Wildtype,R3,35.6374
WIL0517,Wildtype,R2,34.2225
MUT0123,Mutant,R1,11.6045
WIL0593,Wildtype,R3,27.6199
MUT0309,Mutant,R1,33.1153
WIL0502,Wildtype,R2,25.2835
WIL0539,Wildtype,R3,35.0941
MUT0277,Mutant,R2,14.3452
WIL0582,Wildtype,R1,32.1766
WIL0344,Wildtype,R3,29.1555
MUT0171,Mutant,R1,11.3057
MUT0386,Mutant,R3,31.3827
WIL0294,Wildtype,R1,28.147
WIL0365,Wildtype,R3,26.6327
MUT0113,Mutant,R3,10.6042
MUT0040,Mutant,R2,12.2133
WIL0015,Wildtype,R1,15.7455
MUT0067,Mutant,R2,12.0943
WIL0087,Wildtype,R1,15.9983
WIL0371,Wildtype,R3,15.9867
WIL0166,Wildtype,R2,14.9141
WIL0132,Wildtype,R1,16.0674
WIL0336,Wildtype,R1,32.7515
WIL0060,Wildtype,R1,10.9946
MUT0090,Mutant,R1,13.4049
MUT0057,Mutant,R1,13.826
WIL0355,Wildtype,R2,22.4352
WIL0425,Wildtype,R3,24.9053
WIL0293,Wildtype,R3,30.4544
WIL0042,Wildtype,R1,17.0468
WIL0330,Wildtype,R1,35.7757
WIL0615,Wildtype,R1,28.505
