sample_id	true_label	score_model_a	score_model_b	cohort
S083	1	0.824	0.7329	Discovery
S084	0	0.5082	0.0922	Validation
S085	0	0.4703	0.141	Discovery
S086	1	0.9444	0.5772	Validation
S087	1	0.9441	0.8136	Discovery
S088	1	0.9417	0.6235	Validation
S089	0	0.6743	0.9063	Validation
S090	0	0.1649	0.2142	Discovery
S091	1	0.8884	0.1561	Validation
S092	0	0.532	0.3048	Discovery
S093	0	0.636	0.8984	Discovery
S094	0	0.6968	0.68	Discovery
S095	1	0.9591	0.657	Validation
S096	1	0.7843	0.6173	Validation
S097	0	0.1984	0.9155	Discovery
S098	0	0.3314	0.0676	Validation
S099	1	0.848	0.8608	Validation
S100	1	0.9606	0.8951	Validation
S101	0	0.3422	0.2713	Discovery
S102	0	0.4935	0.2201	Discovery
S103	1	0.8683	0.9572	Validation
S104	0	0.2617	0.3376	Validation
S105	0	0.1924	0.7772	Validation
S106	0	0.6771	0.5008	Validation
S107	0	0.8133	0.3189	Validation
S108	0	0.6414	0.4263	Discovery
S109	1	0.6245	0.6043	Discovery
S110	0	0.2918	0.7346	Discovery
S111	0	0.3753	0.7163	Discovery
S112	1	0.7537	0.4003	Discovery
S113	0	0.4139	0.2732	Validation
S114	1	0.8995	0.8819	Discovery
S115	1	0.7125	0.9307	Validation
S116	0	0.5157	0.5005	Discovery
S117	0	0.5191	0.914	Validation
S118	1	0.9073	0.7643	Discovery
S119	0	0.5683	0.4537	Discovery
S120	1	0.6349	0.781	Validation
S121	0	0.5157	0.402	Validation
S122	0	0.1966	0.4051	Discovery
S123	0	0.6387	0.1746	Validation
S124	1	0.8728	0.6063	Discovery
S125	0	0.5585	0.3524	Validation
S126	1	0.8142	0.8834	Validation
S127	1	0.9458	0.5696	Validation
S128	0	0.8319	0.1927	Validation
S129	0	0.4145	0.7343	Discovery
S130	0	0.2981	0.1675	Validation
S131	1	0.8642	0.7749	Discovery
S132	0	0.9585	0.2802	Discovery
S133	1	0.7913	0.967	Validation
S134	0	0.5765	0.7957	Discovery
S135	0	0.7461	0.6297	Validation
S136	0	0.7012	0.1936	Discovery
S137	0	0.4864	0.7837	Validation
S138	0	0.8824	0.1055	Validation
S139	0	0.6206	0.649	Discovery
S140	0	0.6983	0.7884	Discovery
S141	1	0.7809	0.76	Discovery
S142	1	0.7564	0.2266	Discovery
S143	0	0.6044	0.873	Discovery
S144	0	0.5969	0.1965	Discovery
S145	0	0.6558	0.917	Discovery
S146	1	0.9193	0.6849	Discovery
S147	0	0.6248	0.218	Discovery
S148	0	0.7524	0.2285	Validation
S149	0	0.535	0.6302	Validation
S150	1	0.7587	0.9172	Validation
S151	0	0.5829	0.7588	Discovery
S152	1	0.525	0.3957	Discovery
S153	1	0.9434	0.9841	Validation
S154	1	0.7793	0.4943	Validation
S155	0	0.2529	0.3692	Validation
S156	0	0.8447	0.8534	Discovery
S157	0	0.317	0.8043	Validation
S158	0	0.3937	0.4856	Validation
S159	1	0.9307	0.8768	Validation
S160	0	0.6265	0.7942	Validation
S161	0	0.3813	0.2998	Validation
S162	1	0.6769	0.2699	Discovery
S163	0	0.2199	0.1682	Validation
S164	0	0.4351	0.3337	Discovery
S165	0	0.3668	0.7196	Validation
S166	0	0.4777	0.8003	Discovery
S167	1	0.8046	0.8622	Validation
S168	0	0.4933	0.5447	Validation
S169	1	0.5692	0.8178	Discovery
S170	1	0.6425	0.7333	Validation
S171	1	0.8932	0.7156	Validation
S172	0	0.3163	0.3808	Validation
S173	0	0.5226	0.0766	Discovery
S174	0	0.5766	0.5897	Discovery
S175	1	0.5814	0.1989	Discovery
S176	0	0.3483	0.8674	Discovery
S177	0	0.8784	0.1595	Validation
S178	1	0.94	0.959	Discovery
S179	0	0.8781	0.2784	Discovery
