UMAP_1	UMAP_2	cell_type	batch	n_genes
6.745	1.409	B_cell	batch_2	1605
8.117	1.5	B_cell	batch_1	3317
6.682	0.621	B_cell	batch_1	3113
6.535	0.707	B_cell	batch_2	3753
6.882	0.645	B_cell	batch_2	3390
6.235	0.303	B_cell	batch_2	1743
8.181	1.302	B_cell	batch_1	1532
5.774	1.445	B_cell	batch_2	3239
6.223	0.715	B_cell	batch_1	3349
5.145	-1.42	B_cell	batch_2	1056
7.585	-0.207	B_cell	batch_1	953
2.826	6.814	Myeloid	batch_2	2549
1.714	6.696	Myeloid	batch_1	3214
2.989	5.768	Myeloid	batch_1	2510
4.612	5.389	Myeloid	batch_1	3657
1.705	6.19	Myeloid	batch_1	1121
2.546	6.842	Myeloid	batch_1	2852
1.672	5.142	Myeloid	batch_1	1119
1.784	7.027	Myeloid	batch_1	2654
4.183	7.156	Myeloid	batch_1	1358
2.578	5.431	Myeloid	batch_2	2718
1.458	5.986	Myeloid	batch_2	2451
2.277	5.738	Myeloid	batch_1	3032
3.324	6.429	Myeloid	batch_2	3498
1.804	5.576	Myeloid	batch_1	3823
2.679	7.244	Myeloid	batch_2	2464
1.635	5.865	Myeloid	batch_1	3847
2.996	8.186	Myeloid	batch_2	3786
5.309	5.98	Myeloid	batch_2	1432
2.054	6.116	Myeloid	batch_1	3430
2.302	5.998	Myeloid	batch_2	2150
3.669	6.294	Myeloid	batch_1	1433
2.531	6.05	Myeloid	batch_2	3492
2.02	8.031	Myeloid	batch_2	2593
2.437	6.654	Myeloid	batch_2	2077
2.741	7.468	Myeloid	batch_2	3161
3.641	6.282	Myeloid	batch_2	2350
3.95	5.964	Myeloid	batch_1	1719
2.909	4.951	Myeloid	batch_1	1924
4.86	7.108	Myeloid	batch_2	1374
3.994	5.956	Myeloid	batch_1	2552
2.131	8.325	Myeloid	batch_2	2136
2.624	7.123	Myeloid	batch_1	986
4.466	6.106	Myeloid	batch_1	3003
1.969	7.619	Myeloid	batch_2	1125
2.141	8.783	Myeloid	batch_2	2254
1.223	6.785	Myeloid	batch_1	3621
4.79	7.18	Myeloid	batch_1	2269
1.926	5.997	Myeloid	batch_2	3277
2.304	7.165	Myeloid	batch_2	3304
0.971	7.04	Myeloid	batch_2	1690
2.514	6.228	Myeloid	batch_1	2039
4.324	6.656	Myeloid	batch_1	952
2.41	5.397	Myeloid	batch_1	1685
2.03	7.005	Myeloid	batch_1	3802
3.979	7.106	Myeloid	batch_2	3397
1.551	7.481	Myeloid	batch_1	3831
4.393	5.969	Myeloid	batch_2	1311
1.571	5.984	Myeloid	batch_1	1414
3.496	6.748	Myeloid	batch_2	2717
3.633	5.327	Myeloid	batch_2	1822
3.7	6.904	Myeloid	batch_2	3178
4.197	5.523	Myeloid	batch_2	3328
3.502	6.968	Myeloid	batch_2	3410
3.568	7.431	Myeloid	batch_1	3240
2.904	7.498	Myeloid	batch_2	2944
2.096	6.708	Myeloid	batch_2	880
3.617	7.774	Myeloid	batch_2	2001
3.338	7.378	Myeloid	batch_1	3981
3.821	5.682	Myeloid	batch_1	1165
3.153	5.507	Myeloid	batch_1	2425
4.448	6.57	Myeloid	batch_1	3095
2.831	5.389	Myeloid	batch_2	2058
2.774	6.372	Myeloid	batch_1	1450
1.766	6.125	Myeloid	batch_2	2084
3.503	7.078	Myeloid	batch_1	3759
1.951	6.506	Myeloid	batch_1	1491
2.813	4.556	Myeloid	batch_2	3854
1.966	5.391	Myeloid	batch_1	3435
3.42	6.253	Myeloid	batch_1	3615
3.257	5.973	Myeloid	batch_2	3549
-4.307	4.758	NK	batch_1	3317
-3.367	5.982	NK	batch_2	1011
-5.51	4.548	NK	batch_2	2462
-4.33	2.948	NK	batch_2	1807
-4.702	3.384	NK	batch_2	1411
-4.713	4.876	NK	batch_1	1235
-4.948	4.769	NK	batch_2	3274
-5.293	5.331	NK	batch_1	3556
-3.939	5.324	NK	batch_2	3709
-4.459	4.686	NK	batch_1	2446
-5.666	3.985	NK	batch_1	979
-6.942	5.324	NK	batch_1	3281
-4.8	5.175	NK	batch_2	1020
-5.649	4.022	NK	batch_1	2595
-4.462	3.607	NK	batch_2	1546
-3.244	4.422	NK	batch_1	3540
-5.458	3.285	NK	batch_1	2135
-3.932	3.985	NK	batch_2	1399
-4.634	6.261	NK	batch_2	2138
-5.614	5.642	NK	batch_2	1142
-4.627	3.487	NK	batch_1	1900
-3.256	6.428	NK	batch_1	1723
-4.551	3.51	NK	batch_1	3992
-4.972	4.742	NK	batch_2	3432
-4.196	5.476	NK	batch_1	2616
-3.909	4.268	NK	batch_2	3453
-3.678	5.025	NK	batch_1	1568
-5.73	5.063	NK	batch_2	3745
-4.47	5.729	NK	batch_1	2339
-3.815	4.366	NK	batch_2	1733
-4.182	5.151	NK	batch_1	3503
-4.358	4.079	NK	batch_2	1065
-4.179	4.251	NK	batch_1	2221
-4.807	2.945	NK	batch_1	3066
-5.64	5.063	NK	batch_1	1960
-2.746	4.062	NK	batch_2	2894
-5.874	4.474	NK	batch_1	931
-4.382	4.858	NK	batch_1	2598
-1.707	3.244	NK	batch_2	967
-5.526	2.945	NK	batch_2	2025
-4.294	4.983	NK	batch_2	1368
-5.972	3.484	NK	batch_2	3178
-4.822	5.171	NK	batch_1	2896
-3.129	3.733	NK	batch_1	866
-3.303	5.572	NK	batch_1	2664
-4.095	5.324	NK	batch_2	1542
-5.378	5.493	NK	batch_2	1000
-4.529	4.321	NK	batch_1	3539
-5.426	4.021	NK	batch_2	2781
-3.614	3.959	NK	batch_2	2828
-5.362	3.133	NK	batch_1	1501
-3.914	3.667	NK	batch_1	2155
-5.616	4.66	NK	batch_1	3684
-5.768	5.505	NK	batch_1	3289
-5.819	4.397	NK	batch_2	3701
-5.837	4.365	NK	batch_1	2088
-6.057	5.468	NK	batch_2	841
-3.199	3.737	NK	batch_1	1436
-4.407	4.915	NK	batch_1	3327
-4.754	6.088	NK	batch_1	941
-4.818	3.42	NK	batch_2	2565
-4.378	5.621	NK	batch_1	2963
-3.644	3.517	NK	batch_2	2411
-4.439	4.356	NK	batch_2	2206
-4.442	5.298	NK	batch_1	1918
-5.478	5.517	NK	batch_2	2157
-4.099	3.452	NK	batch_2	3001
-4.771	4.94	NK	batch_2	2442
-3.491	4.783	NK	batch_2	3147
-5.76	5.674	NK	batch_1	1276
5.936	7.016	Dendritic	batch_1	1154
7.219	7.413	Dendritic	batch_2	1921
6.428	7.053	Dendritic	batch_2	1322
6.71	7.232	Dendritic	batch_2	3913
8.378	7.293	Dendritic	batch_1	3154
8.013	7.562	Dendritic	batch_2	963
8.148	8.132	Dendritic	batch_2	3967
7.934	6.785	Dendritic	batch_2	1334
6.387	6.077	Dendritic	batch_1	2242
7.182	8.454	Dendritic	batch_2	3345
7.851	7.387	Dendritic	batch_1	2153
7.238	6.96	Dendritic	batch_2	2017
7.221	6.404	Dendritic	batch_1	1820
8.071	6.796	Dendritic	batch_2	1127
6.421	8.214	Dendritic	batch_1	3202
8.116	4.99	Dendritic	batch_1	2785
6.692	7.034	Dendritic	batch_2	3198
8.221	5.743	Dendritic	batch_1	1402
5.432	8.605	Dendritic	batch_2	3405
7.009	4.968	Dendritic	batch_2	3436
8.28	5.813	Dendritic	batch_1	3489
6.306	6.404	Dendritic	batch_1	2566
7.654	7.689	Dendritic	batch_1	2528
7.87	5.584	Dendritic	batch_2	3029
6.407	8.932	Dendritic	batch_1	3619
5.876	7.836	Dendritic	batch_1	1246
6.729	7.752	Dendritic	batch_2	1501
7.259	6.656	Dendritic	batch_2	3620
7.454	7.503	Dendritic	batch_2	854
7.49	6.756	Dendritic	batch_2	2231
7.08	8.248	Dendritic	batch_2	2177
7.525	6.279	Dendritic	batch_2	1830
6.502	7.399	Dendritic	batch_1	1313
5.166	5.829	Dendritic	batch_1	2331
7.082	7.552	Dendritic	batch_2	2860
6.748	6.768	Dendritic	batch_2	2632
6.423	8.154	Dendritic	batch_2	3739
6.495	8.657	Dendritic	batch_2	1135
6.846	9.184	Dendritic	batch_2	3879
5.677	5.742	Dendritic	batch_2	3509
6.362	6.438	Dendritic	batch_1	1783
4.687	5.067	Dendritic	batch_2	2396
6.155	5.491	Dendritic	batch_2	3060
6.3	6.948	Dendritic	batch_2	2666
6.3	5.912	Dendritic	batch_2	3955
5.443	7.399	Dendritic	batch_2	2517
6.517	7.329	Dendritic	batch_2	2870
6.891	8.677	Dendritic	batch_2	3888
6.778	6.849	Dendritic	batch_2	1904
7.507	7.319	Dendritic	batch_1	2365
8.97	7.057	Dendritic	batch_1	2655
6.132	6.449	Dendritic	batch_2	2629
6.149	6.339	Dendritic	batch_2	2849
7.12	6.29	Dendritic	batch_2	3428
5.395	7.432	Dendritic	batch_1	2091
7.901	6.502	Dendritic	batch_2	3961
8.812	8.063	Dendritic	batch_1	2516
6.472	5.689	Dendritic	batch_1	2558
6.695	7.366	Dendritic	batch_1	1655
8.319	6.07	Dendritic	batch_2	2356
7.572	7.531	Dendritic	batch_2	2039
7.629	7.491	Dendritic	batch_2	3841
8.566	8.393	Dendritic	batch_1	2631
7.332	6.963	Dendritic	batch_1	2082
7.351	7.81	Dendritic	batch_2	3216
6.119	6.069	Dendritic	batch_2	998
6.544	7.899	Dendritic	batch_2	3002
7.232	7.116	Dendritic	batch_1	2873
7.85	8.079	Dendritic	batch_2	2067
6.317	7.877	Dendritic	batch_2	1136
