journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer,journal_family,n_class
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,J_myofibroblasts,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,inside,in_caption,yes,small,medium,red vs blue points with mean and SEM; p and FC text above each pair,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Systems,PMC11922821,2025,10.1016/j.cels.2025.101198,3,J_macrophages,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,multi_categorical,coloured,p_value_only,exact,LB,inside,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC11922821/figures/Fig3.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,A,bar+points,5,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,single_accent,coloured,none,none,LB,none,in_caption,yes,small,high,orange bar with blue points; four near-zero groups,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,B,bar+points,3,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,orange/blue-grey/red bars; italic P over line,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,D,bar+points,2,3/3,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,orange control vs teal CRISPRi,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,F,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,G,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,H,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,I_right,bar+points,2,5/5,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,coloured,line+p_value,exact,LB,none,in_caption,yes,small,high,paired with time trace on the left,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,J,bar+points,2,4/4,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,grey,line+p_value,exact,LB,none,in_caption,yes,small,high,grey control vs pink; red points on pink bar,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,2,K_right,bar+points,2,4/4,yes,mean,caption,SEM,caption,medium,none,filled,jitter,medium,na,multi_categorical,grey,line+p_value,exact,LB,none,in_caption,yes,small,high,non-significant P = 0.083 shown,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig2.jpg,gc_cell,Cell,small
Cell Metabolism,PMC12137002,2025,10.1016/j.cmet.2025.03.009,5,D,bar+points,3x2,7 each,yes,mean,inferred,SEM,inferred,small,none,filled,jitter,medium,na,multi_categorical,coloured,bracket+p_value,exact,LB,outside,in_caption,no,small,medium,dark vs light teal; y axis truncated (0.7-0.85); exact P over brackets incl 0.051/0.056,PRIVATE_REFERENCE_ONLY/corpus/PMC12137002/figures/Fig5.jpg,gc_cell,Cell,small
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,2,N,dot_strip+summary,6,~10-60 each,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,multi_categorical,na,none,none,LB,inside,in_caption,no,small,medium,points coloured by biological replicate; large black circle mean with SD bar; dashed zero line; polar inset,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig2.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,3,K,violin,4,unknown,no,median,inferred,none,none,na,na,na,na,na,medium,greys,grey,none,none,LB,above,none,yes,small,medium,light grey violins; dashed 90th percentile line with value text inside each violin; ggplot,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig3.jpg,gc_cell,Cell,unknown
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,3,L,violin,4,unknown,no,median,inferred,none,none,na,na,na,na,na,medium,greys,grey,none,none,LB,above,none,no,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig3.jpg,gc_cell,Cell,unknown
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,4,H,dot_strip+summary,4,~2000 each,yes,mean,inferred,SD,inferred,small,none,filled,jitter,na,na,multi_categorical,coloured,line+stars,mixed,LB,none,none,no,small,medium,dense coloured jitter clouds with black mean dot and SD bar; dashed zero line; horizontal lines below with ns/*** and test name text,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig4.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,G,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,grey point clouds behind small white boxes; three similar panels G-I,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,H,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,5,I,box+points,2,~1000/~1000,yes,median,inferred,IQR_whiskers,inferred,small,none,filled,jitter,na,narrow,greys,grey,none,none,LB,none,none,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig5.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,I,dot_strip+summary,4,~500 each,yes,mean,caption,SD,caption,small,none,filled,jitter,na,na,greys,grey,line+stars,mixed,LB,none,none,yes,small,medium,grey point clouds with black mean line and SD caps; lines with ns / *** above,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell,Cell,large
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,M,dot_strip+summary,2x2,3-8 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,inside,in_caption,yes,small,medium,black WT vs magenta mutant points with diamond mean and SEM bars; legend as coloured text,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell,Cell,small
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,N,dot_strip+summary,2x2,3-4 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell,Cell,small
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,O,dot_strip+summary,2x2,3-8 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell,Cell,small
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,P,dot_strip+summary,2x2,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,B,bar+points,10,~7 each,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,multi_categorical,na,stars_only,stars,LB,none,in_caption,yes,medium,high,log2 fold-change bars: pink (down) and blue (up) around zero; grey stars above/below bars; rotated metabolite labels,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,C,bar+points,3x2,7 each,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,multi_categorical,coloured,stars_only,stars,LB,inside,in_caption,yes,small,high,PE/PC/PC-PE ratio; WT blue vs KO red; square markers for KO,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,D,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,grey Si Control vs blue Si PEMT,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,E_PC,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,F,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,% of initial weight,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,G,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,H_liver,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,paired serum panel also ns,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,I,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,J,bar+points,2,6/6,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,p-eIF2a quantification next to blot,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,K_AST,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,ALT panel not significant,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,A,bar+points,3x3,~5 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white Fed / dark purple Fast24 / pale pink Refed; open circles with dark edge; stars above individual bars; broken y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,B,bar+points,3x3,~5-8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,blue shades (sucrose refeed),PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,C,bar+points,3x3,~5-8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,salmon shades (leptin),PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,D,bar+points,3x2,~12-18 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white WT vs periwinkle db/db; broken y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,E,bar+points,3x2,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white ad libitum vs orange CR,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,J,bar+points,2,~9/~9,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,brown vehicle vs yellow MLN4924 fasting glucose,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,K,bar+points,2,~9/~9,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,purple shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,L,bar+points,2,~8/~8,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,green shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,M,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,blue vs cyan,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,R,bar+points,2,~8/~8,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,hepatic glucose production; green shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,A_cullins,bar+points,2x2,caption:30/30,yes,mean,caption,SEM,caption,medium,dark,mixed,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white NG vs magenta T2D; grey open circles vs yellow-filled circles; stars above bars,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,large
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,A_NAE1,bar+points,2,caption:30/30,yes,mean,caption,SEM,caption,medium,dark,mixed,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,large
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,D_NAE1,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,men only; large cyan vs blue circles overwhelm the outline bars,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,D_cullins,bar+points,2x2,~12 each,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,E_NAE1,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,women; pink vs dark red,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,E_cullins,bar+points,2x2,~12 each,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell,Cell,medium
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,A,bar+points,3,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,outside,in_caption,yes,small,high,white CM / dark grey / lime bars; open circles; legend to the right,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,B,bar+points,3,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,outside,in_caption,yes,small,high,glucose output,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,D,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,black,none,none,LB,outside,in_caption,yes,small,high,compact letter display (a/b/c) above bars instead of stars; black CM control bar,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,E,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,black,none,none,LB,outside,in_caption,yes,small,high,compact letter display,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,F,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,PCK1 protein levels next to blot,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,G,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,three stacked brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,H,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell,Cell,small
