journal,paper_id,year,DOI,figure_number,panel,representation,number_of_groups,approximate_n_per_group,raw_points_visible,summary,summary_source,error,error_source,marker_size_relative,marker_edge,marker_fill,jitter_style,bar_width,box_width,palette_type,control_color_behavior,statistical_annotation,p_display,axis_style,legend_style,n_label,zero_baseline,physical_panel_size,confidence_of_measurement,notes,image_path,reviewer
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,O,dot_strip+summary,2x2,3-8 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell
Cell Systems,PMC12332847,2025,10.1016/j.cels.2025.101324,7,P,dot_strip+summary,2x2,3 each,yes,mean,caption,SEM,caption,medium,none,filled,jitter,na,na,single_accent,black,none,none,LB,none,in_caption,yes,small,medium,,PRIVATE_REFERENCE_ONLY/corpus/PMC12332847/figures/Fig7.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,B,bar+points,10,~7 each,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,multi_categorical,na,stars_only,stars,LB,none,in_caption,yes,medium,high,log2 fold-change bars: pink (down) and blue (up) around zero; grey stars above/below bars; rotated metabolite labels,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,C,bar+points,3x2,7 each,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,multi_categorical,coloured,stars_only,stars,LB,inside,in_caption,yes,small,high,PE/PC/PC-PE ratio; WT blue vs KO red; square markers for KO,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,D,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,grey Si Control vs blue Si PEMT,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,E_PC,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,F,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,% of initial weight,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,G,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,H_liver,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,none,none,LB,above,in_caption,yes,small,high,paired serum panel also ns,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,I,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,J,bar+points,2,6/6,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,p-eIF2a quantification next to blot,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10432853,2023,10.1016/j.cmet.2023.07.002,5,K_AST,bar+points,2,5/5,yes,mean,caption,SEM,caption,small,none,filled,centered,medium,na,single_accent,grey,stars_only,stars,LB,above,in_caption,yes,small,high,ALT panel not significant,PRIVATE_REFERENCE_ONLY/corpus/PMC10432853/figures/Fig5.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,A,bar+points,3x3,~5 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white Fed / dark purple Fast24 / pale pink Refed; open circles with dark edge; stars above individual bars; broken y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,B,bar+points,3x3,~5-8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,blue shades (sucrose refeed),PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,C,bar+points,3x3,~5-8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,salmon shades (leptin),PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,D,bar+points,3x2,~12-18 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white WT vs periwinkle db/db; broken y axis,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,E,bar+points,3x2,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white ad libitum vs orange CR,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,J,bar+points,2,~9/~9,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,brown vehicle vs yellow MLN4924 fasting glucose,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,K,bar+points,2,~9/~9,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,purple shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,L,bar+points,2,~8/~8,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,green shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,M,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,blue vs cyan,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,1,R,bar+points,2,~8/~8,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,hepatic glucose production; green shades,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig1.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,A_cullins,bar+points,2x2,caption:30/30,yes,mean,caption,SEM,caption,medium,dark,mixed,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,white NG vs magenta T2D; grey open circles vs yellow-filled circles; stars above bars,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,A_NAE1,bar+points,2,caption:30/30,yes,mean,caption,SEM,caption,medium,dark,mixed,jitter,medium,na,single_accent,white_or_open,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,D_NAE1,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,men only; large cyan vs blue circles overwhelm the outline bars,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,D_cullins,bar+points,2x2,~12 each,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,E_NAE1,bar+points,2,~12/~12,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,women; pink vs dark red,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,4,E_cullins,bar+points,2x2,~12 each,yes,mean,caption,SEM,caption,large,dark,filled,jitter,medium,na,multi_categorical,coloured,stars_only,stars,LB,above,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig4.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,A,bar+points,3,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,outside,in_caption,yes,small,high,white CM / dark grey / lime bars; open circles; legend to the right,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,B,bar+points,3,~8 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,white_or_open,stars_only,stars,LB,outside,in_caption,yes,small,high,glucose output,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,D,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,black,none,none,LB,outside,in_caption,yes,small,high,compact letter display (a/b/c) above bars instead of stars; black CM control bar,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,E,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,black,none,none,LB,outside,in_caption,yes,small,high,compact letter display,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,F,bar+points,5,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,PCK1 protein levels next to blot,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,G,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,three stacked brackets,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,H,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,J,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,K,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
Cell Metabolism,PMC10487638,2023,10.1016/j.cmet.2023.07.003,6,M,bar+points,4,~7 each,yes,mean,caption,SEM,caption,medium,dark,open,jitter,medium,na,multi_categorical,coloured,bracket+stars,stars,LB,outside,in_caption,yes,small,high,,PRIVATE_REFERENCE_ONLY/corpus/PMC10487638/figures/Fig6.jpg,gc_cell
