paper_id,journal,journal_family,year,figure_number,image_path,route,image_width_px,image_height_px,figure_aspect,typeset_width_mm,width_evidence,width_assumption,n_panels_detected,n_text_lines,text_size_clusters_pt,smallest_cluster_pt,dominant_cluster_pt,largest_cluster_pt,text_evidence,stroke_pt_inferred,line_widths_pt_observed,coloured_fraction,n_hue_clusters,mean_saturation,dark_fraction,license_url
PMC10659931,Molecular Cell,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10659931/figures/Fig6.gif,web_jpeg,100,98,1.02,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",1,0,[],,,,ESTIMATED,,,0.051,4,0.55,0.2899,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig1.jpg,web_jpeg,754,879,0.858,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",13,149,"[{""pt"": 2.23, ""n_lines"": 39}, {""pt"": 3.12, ""n_lines"": 100}]",2.23,3.12,3.12,ESTIMATED,,,0.0488,3,0.691,0.1521,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig2.jpg,web_jpeg,753,915,0.823,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",12,164,"[{""pt"": 2.23, ""n_lines"": 43}, {""pt"": 3.13, ""n_lines"": 112}]",2.23,3.13,3.13,ESTIMATED,,,0.0348,4,0.791,0.2253,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,3,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig3.jpg,web_jpeg,748,921,0.812,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",16,204,"[{""pt"": 2.25, ""n_lines"": 33}, {""pt"": 3.15, ""n_lines"": 129}]",2.25,3.15,3.15,ESTIMATED,,,0.0336,3,0.692,0.0861,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,4,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig4.jpg,web_jpeg,778,1043,0.746,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",7,247,"[{""pt"": 1.73, ""n_lines"": 43}, {""pt"": 2.6, ""n_lines"": 134}, {""pt"": 3.46, ""n_lines"": 57}]",1.73,2.6,3.46,ESTIMATED,,,0.031,4,0.587,0.0657,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,5,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig5.jpg,web_jpeg,754,690,1.093,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",15,180,"[{""pt"": 2.23, ""n_lines"": 45}, {""pt"": 3.12, ""n_lines"": 108}]",2.23,3.12,3.12,ESTIMATED,0.32,,0.1026,1,0.588,0.0722,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,6,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig6.jpg,web_jpeg,762,1055,0.722,85.0,ESTIMATED,"assumed single column 85.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect <= 1.25",21,234,"[{""pt"": 2.21, ""n_lines"": 38}, {""pt"": 3.09, ""n_lines"": 152}]",2.21,3.09,3.09,ESTIMATED,1.9,,0.0396,4,0.826,0.1628,http://creativecommons.org/licenses/by/4.0/
PMC10722468,Cell Metabolism,Cell,2023,7,PRIVATE_REFERENCE_ONLY/corpus/PMC10722468/figures/Fig7.gif,web_jpeg,155,80,1.938,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",7,0,[],,,,ESTIMATED,,,0.0865,3,0.354,0.0048,http://creativecommons.org/licenses/by/4.0/
PMC10752370,Cell Systems,Cell,2023,1,PRIVATE_REFERENCE_ONLY/corpus/PMC10752370/figures/Fig1.jpg,web_jpeg,740,446,1.659,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",8,99,"[{""pt"": 6.52, ""n_lines"": 66}, {""pt"": 8.38, ""n_lines"": 10}]",6.52,6.52,8.38,ESTIMATED,8.66,,0.0614,6,0.8,0.1106,http://creativecommons.org/licenses/by/4.0/
PMC10752370,Cell Systems,Cell,2023,2,PRIVATE_REFERENCE_ONLY/corpus/PMC10752370/figures/Fig2.gif,web_jpeg,200,66,3.03,174.0,ESTIMATED,"assumed full width 174.0 mm (Cell Press figure guidelines (Wayback 2025-09-11), official_guidelines_audit.csv) because aspect > 1.25",3,0,[],,,,ESTIMATED,,,0.0395,6,0.468,0.0111,http://creativecommons.org/licenses/by/4.0/
