group,journal_family,field,kind,n,median,q1,q3,mode_or_min,share_or_max
all_quantitative,Science,n_stated_in_panel,categorical,559,,,,no,0.939
all_quantitative,Cell,tick_label_density,categorical,603,,,,normal,0.625
all_quantitative,Nature,tick_label_density,categorical,538,,,,normal,0.783
all_quantitative,Science,tick_label_density,categorical,559,,,,normal,0.848
all_quantitative,Cell,x_tick_rotation,categorical,512,,,,0,0.801
all_quantitative,Nature,x_tick_rotation,categorical,492,,,,0,0.807
all_quantitative,Science,x_tick_rotation,categorical,490,,,,0,0.731
all_quantitative,Cell,panel_aspect_class,categorical,603,,,,square,0.418
all_quantitative,Nature,panel_aspect_class,categorical,538,,,,wide,0.448
all_quantitative,Science,panel_aspect_class,categorical,559,,,,square,0.388
bars,Nature,typeset_width_mm,numeric,100,174.21,166.04,181.41,83.61,187.37
bars,Nature,smallest_cluster_pt,numeric,100,5.36,5.02,5.53,2.51,7.04
bars,Nature,dominant_cluster_pt,numeric,100,5.53,5.36,6.03,2.68,7.04
bars,Nature,largest_cluster_pt,numeric,100,6.03,6.03,7.04,5.02,18.77
bars,Nature,stroke_pt_inferred,numeric,52,2.76,0.69,3.6,0.24,8.16
bars,Cell,coloured_fraction,numeric,170,0.043,0.032,0.073,0.0,0.405
bars,Nature,coloured_fraction,numeric,114,0.076,0.051,0.106,0.008,0.415
bars,Science,coloured_fraction,numeric,207,0.048,0.025,0.09,0.0,0.226
bars,Cell,n_hue_clusters,numeric,170,3.0,2.0,4.0,0.0,7.0
bars,Nature,n_hue_clusters,numeric,114,3.0,2.0,4.0,1.0,5.0
bars,Science,n_hue_clusters,numeric,207,3.0,2.0,4.0,1.0,6.0
bars,Cell,mean_saturation,numeric,170,0.615,0.517,0.791,0.0,0.931
bars,Nature,mean_saturation,numeric,114,0.69,0.563,0.778,0.425,0.883
bars,Science,mean_saturation,numeric,207,0.585,0.512,0.669,0.341,0.973
bars,Cell,figure_aspect,numeric,170,0.812,0.731,1.048,0.564,1.964
bars,Nature,figure_aspect,numeric,114,1.175,0.862,1.419,0.614,2.491
bars,Science,figure_aspect,numeric,207,1.006,0.749,1.223,0.522,2.255
bars,Cell,n_panels_detected,numeric,170,8.0,4.0,12.0,1.0,18.0
bars,Nature,n_panels_detected,numeric,114,7.0,3.0,11.0,1.0,18.0
bars,Science,n_panels_detected,numeric,207,4.0,1.0,8.0,1.0,11.0
bars,Cell,legend_entries,numeric,96,2.0,2.0,3.0,2.0,16.0
bars,Nature,legend_entries,numeric,69,2.0,2.0,4.0,1.0,10.0
bars,Science,legend_entries,numeric,72,3.0,2.0,4.0,1.0,14.0
bars,Cell,n_categorical_colours,numeric,184,2.0,2.0,3.0,0.0,16.0
bars,Nature,n_categorical_colours,numeric,131,2.0,2.0,4.0,0.0,10.0
bars,Science,n_categorical_colours,numeric,215,3.0,2.0,3.5,0.0,14.0
bars,Cell,spines,categorical,181,,,,LB,0.834
bars,Nature,spines,categorical,131,,,,LB,0.924
bars,Science,spines,categorical,215,,,,LB,0.884
bars,Cell,tick_direction,categorical,181,,,,out,0.912
bars,Nature,tick_direction,categorical,83,,,,out,1.0
bars,Science,tick_direction,categorical,215,,,,out,0.958
bars,Cell,grid,categorical,184,,,,none,0.951
bars,Nature,grid,categorical,131,,,,none,0.969
bars,Science,grid,categorical,215,,,,none,0.986
bars,Cell,background,categorical,184,,,,white,1.0
bars,Nature,background,categorical,131,,,,white,0.992
bars,Science,background,categorical,215,,,,white,1.0
bars,Cell,error_bar_style,categorical,178,,,,bars_caps,0.534
bars,Nature,error_bar_style,categorical,129,,,,bars_caps,0.527
bars,Science,error_bar_style,categorical,215,,,,bars_caps,0.837
bars,Cell,points_overlaid,categorical,168,,,,yes,0.679
bars,Nature,points_overlaid,categorical,123,,,,no,0.504
bars,Science,points_overlaid,categorical,215,,,,yes,0.749
bars,Cell,marker_fill,categorical,115,,,,filled,0.774
bars,Nature,marker_fill,categorical,62,,,,filled,0.581
bars,Science,marker_fill,categorical,161,,,,filled,0.714
bars,Cell,marker_size_class,categorical,115,,,,small,0.8
bars,Nature,marker_size_class,categorical,62,,,,small,0.758
bars,Science,marker_size_class,categorical,164,,,,small,1.0
bars,Cell,line_weight_class,categorical,17,,,,hairline,1.0
bars,Cell,axis_line_weight_class,categorical,38,,,,regular,0.947
bars,Nature,axis_line_weight_class,categorical,7,,,,regular,0.857
bars,Science,axis_line_weight_class,categorical,83,,,,regular,1.0
bars,Cell,legend_position,categorical,182,,,,none,0.473
bars,Nature,legend_position,categorical,131,,,,none,0.458
bars,Science,legend_position,categorical,215,,,,none,0.66
bars,Cell,legend_frame,categorical,92,,,,no,0.989
bars,Nature,legend_frame,categorical,90,,,,no,0.911
bars,Science,legend_frame,categorical,73,,,,no,0.973
bars,Cell,palette_class,categorical,184,,,,saturated,0.418
bars,Nature,palette_class,categorical,131,,,,saturated,0.397
bars,Science,palette_class,categorical,215,,,,mixed,0.302
bars,Cell,sequential_cmap_class,categorical,2,,,,other,1.0
bars,Nature,sequential_cmap_class,categorical,2,,,,yellow_red,0.5
bars,Science,sequential_cmap_class,categorical,1,,,,blue_red,1.0
bars,Cell,colourbar_position,categorical,6,,,,none,0.667
bars,Nature,colourbar_position,categorical,2,,,,right,1.0
bars,Science,colourbar_position,categorical,1,,,,top,1.0
bars,Cell,panel_label_case,categorical,184,,,,upper,1.0
bars,Nature,panel_label_case,categorical,131,,,,lower,0.847
bars,Science,panel_label_case,categorical,215,,,,upper,1.0
bars,Cell,panel_label_weight,categorical,184,,,,bold,1.0
bars,Nature,panel_label_weight,categorical,123,,,,bold,0.967
bars,Science,panel_label_weight,categorical,215,,,,bold,1.0
bars,Cell,panel_label_size_class,categorical,184,,,,larger,0.967
bars,Nature,panel_label_size_class,categorical,123,,,,larger,0.886
bars,Science,panel_label_size_class,categorical,215,,,,much_larger,1.0
bars,Cell,font_class,categorical,184,,,,sans,1.0
bars,Nature,font_class,categorical,131,,,,sans,1.0
bars,Science,font_class,categorical,215,,,,sans,1.0
bars,Cell,axis_label_weight,categorical,184,,,,regular,0.859
bars,Nature,axis_label_weight,categorical,131,,,,regular,0.855
bars,Science,axis_label_weight,categorical,215,,,,regular,0.94
bars,Cell,title_present,categorical,184,,,,no,0.592
bars,Nature,title_present,categorical,131,,,,no,0.656
bars,Science,title_present,categorical,215,,,,no,0.688
bars,Cell,significance_style,categorical,184,,,,stars,0.37
bars,Nature,significance_style,categorical,124,,,,none,0.645
bars,Science,significance_style,categorical,215,,,,stars,0.507
bars,Cell,brackets,categorical,184,,,,no,0.527
bars,Nature,brackets,categorical,127,,,,no,0.756
bars,Science,brackets,categorical,215,,,,yes,0.619
bars,Cell,n_stated_in_panel,categorical,184,,,,no,0.962
bars,Nature,n_stated_in_panel,categorical,131,,,,no,0.863
bars,Science,n_stated_in_panel,categorical,215,,,,no,0.995
bars,Cell,tick_label_density,categorical,184,,,,normal,0.712
bars,Nature,tick_label_density,categorical,131,,,,normal,0.916
bars,Science,tick_label_density,categorical,215,,,,normal,0.958
bars,Cell,x_tick_rotation,categorical,162,,,,0,0.722
bars,Nature,x_tick_rotation,categorical,127,,,,0,0.677
bars,Science,x_tick_rotation,categorical,191,,,,0,0.492
bars,Cell,panel_aspect_class,categorical,184,,,,square,0.446
bars,Nature,panel_aspect_class,categorical,131,,,,wide,0.42
bars,Science,panel_aspect_class,categorical,215,,,,tall,0.405
distributions,Nature,typeset_width_mm,numeric,54,168.78,152.395,184.173,85.72,187.37
distributions,Nature,smallest_cluster_pt,numeric,53,5.36,4.52,5.53,2.01,6.03
distributions,Nature,dominant_cluster_pt,numeric,53,5.53,5.36,6.03,2.18,9.04
distributions,Nature,largest_cluster_pt,numeric,53,6.7,6.03,7.04,5.03,9.05
distributions,Nature,stroke_pt_inferred,numeric,27,3.36,1.56,3.72,0.24,8.87
distributions,Cell,coloured_fraction,numeric,91,0.049,0.021,0.084,0.006,0.19
distributions,Nature,coloured_fraction,numeric,70,0.07,0.04,0.109,0.004,0.184
distributions,Science,coloured_fraction,numeric,69,0.042,0.018,0.078,0.004,0.177
distributions,Cell,n_hue_clusters,numeric,91,4.0,2.0,4.0,2.0,6.0
distributions,Nature,n_hue_clusters,numeric,70,3.0,2.0,4.0,1.0,6.0
distributions,Science,n_hue_clusters,numeric,69,3.0,2.0,4.0,1.0,6.0
distributions,Cell,mean_saturation,numeric,91,0.566,0.479,0.673,0.367,0.956
distributions,Nature,mean_saturation,numeric,70,0.686,0.636,0.769,0.435,0.896
distributions,Science,mean_saturation,numeric,69,0.644,0.552,0.725,0.341,0.879
distributions,Cell,figure_aspect,numeric,91,0.949,0.817,1.189,0.539,4.36
distributions,Nature,figure_aspect,numeric,70,1.028,0.81,1.487,0.633,2.082
distributions,Science,figure_aspect,numeric,69,0.859,0.754,1.083,0.598,2.173
distributions,Cell,n_panels_detected,numeric,91,7.0,5.0,9.0,1.0,15.0
distributions,Nature,n_panels_detected,numeric,70,5.0,1.0,9.0,1.0,22.0
distributions,Science,n_panels_detected,numeric,69,6.0,3.0,9.0,1.0,14.0
distributions,Cell,legend_entries,numeric,40,2.0,2.0,3.0,2.0,7.0
distributions,Nature,legend_entries,numeric,22,4.0,3.0,4.0,2.0,13.0
distributions,Science,legend_entries,numeric,20,3.0,2.0,5.5,1.0,8.0
distributions,Cell,n_categorical_colours,numeric,106,2.0,2.0,3.0,0.0,8.0
distributions,Nature,n_categorical_colours,numeric,95,3.0,2.0,4.0,0.0,13.0
distributions,Science,n_categorical_colours,numeric,69,2.0,2.0,3.0,0.0,14.0
distributions,Cell,spines,categorical,106,,,,LB,0.66
distributions,Nature,spines,categorical,95,,,,LB,0.747
distributions,Science,spines,categorical,69,,,,LB,0.841
distributions,Cell,tick_direction,categorical,106,,,,out,1.0
distributions,Nature,tick_direction,categorical,73,,,,out,0.959
distributions,Science,tick_direction,categorical,69,,,,out,0.986
distributions,Cell,grid,categorical,105,,,,none,0.981
distributions,Nature,grid,categorical,94,,,,none,0.936
distributions,Science,grid,categorical,69,,,,none,0.928
distributions,Cell,background,categorical,106,,,,white,0.991
distributions,Nature,background,categorical,95,,,,white,1.0
distributions,Science,background,categorical,69,,,,white,1.0
distributions,Cell,error_bar_style,categorical,104,,,,box_whisker,0.548
distributions,Nature,error_bar_style,categorical,94,,,,none,0.543
distributions,Science,error_bar_style,categorical,68,,,,none,0.662
distributions,Cell,points_overlaid,categorical,77,,,,yes,0.753
distributions,Nature,points_overlaid,categorical,47,,,,yes,0.574
distributions,Science,points_overlaid,categorical,34,,,,yes,0.941
distributions,Cell,marker_fill,categorical,78,,,,filled,0.833
distributions,Nature,marker_fill,categorical,70,,,,filled,0.871
distributions,Science,marker_fill,categorical,56,,,,filled,0.661
distributions,Cell,marker_size_class,categorical,78,,,,small,0.808
distributions,Nature,marker_size_class,categorical,70,,,,small,0.886
distributions,Science,marker_size_class,categorical,56,,,,medium,0.589
distributions,Cell,line_weight_class,categorical,5,,,,hairline,1.0
distributions,Nature,line_weight_class,categorical,16,,,,regular,0.625
distributions,Science,line_weight_class,categorical,18,,,,hairline,0.722
distributions,Cell,axis_line_weight_class,categorical,11,,,,heavy,0.727
distributions,Nature,axis_line_weight_class,categorical,3,,,,regular,1.0
distributions,Science,axis_line_weight_class,categorical,33,,,,regular,1.0
distributions,Cell,legend_position,categorical,106,,,,none,0.613
distributions,Nature,legend_position,categorical,94,,,,none,0.777
distributions,Science,legend_position,categorical,69,,,,none,0.71
distributions,Cell,legend_frame,categorical,41,,,,no,0.927
distributions,Nature,legend_frame,categorical,24,,,,no,1.0
distributions,Science,legend_frame,categorical,20,,,,no,0.7
distributions,Cell,palette_class,categorical,106,,,,mixed,0.33
distributions,Nature,palette_class,categorical,95,,,,saturated,0.358
distributions,Science,palette_class,categorical,69,,,,mixed,0.58
distributions,Cell,sequential_cmap_class,categorical,1,,,,greys,1.0
distributions,Cell,colourbar_position,categorical,1,,,,inside,1.0
distributions,Nature,colourbar_position,categorical,1,,,,none,1.0
distributions,Cell,panel_label_case,categorical,106,,,,upper,0.925
distributions,Nature,panel_label_case,categorical,95,,,,lower,0.916
distributions,Science,panel_label_case,categorical,69,,,,upper,1.0
distributions,Cell,panel_label_weight,categorical,98,,,,bold,1.0
distributions,Nature,panel_label_weight,categorical,94,,,,bold,0.957
distributions,Science,panel_label_weight,categorical,69,,,,bold,1.0
distributions,Cell,panel_label_size_class,categorical,98,,,,larger,1.0
distributions,Nature,panel_label_size_class,categorical,94,,,,larger,0.904
distributions,Science,panel_label_size_class,categorical,69,,,,much_larger,1.0
distributions,Cell,font_class,categorical,106,,,,sans,1.0
distributions,Nature,font_class,categorical,95,,,,sans,1.0
distributions,Science,font_class,categorical,69,,,,sans,1.0
distributions,Cell,axis_label_weight,categorical,106,,,,regular,0.953
distributions,Nature,axis_label_weight,categorical,95,,,,regular,0.916
distributions,Science,axis_label_weight,categorical,69,,,,regular,1.0
distributions,Cell,title_present,categorical,106,,,,yes,0.538
distributions,Nature,title_present,categorical,95,,,,no,0.684
distributions,Science,title_present,categorical,69,,,,yes,0.522
distributions,Cell,significance_style,categorical,106,,,,stars,0.443
distributions,Nature,significance_style,categorical,86,,,,p_values,0.43
distributions,Science,significance_style,categorical,69,,,,stars,0.551
distributions,Cell,brackets,categorical,106,,,,yes,0.651
distributions,Nature,brackets,categorical,85,,,,no,0.635
distributions,Science,brackets,categorical,65,,,,yes,0.6
distributions,Cell,n_stated_in_panel,categorical,106,,,,no,0.915
distributions,Nature,n_stated_in_panel,categorical,95,,,,no,0.884
distributions,Science,n_stated_in_panel,categorical,69,,,,no,0.942
distributions,Cell,tick_label_density,categorical,106,,,,normal,0.736
distributions,Nature,tick_label_density,categorical,95,,,,normal,0.8
distributions,Science,tick_label_density,categorical,69,,,,normal,0.913
distributions,Cell,x_tick_rotation,categorical,98,,,,0,0.786
distributions,Nature,x_tick_rotation,categorical,93,,,,0,0.667
distributions,Science,x_tick_rotation,categorical,62,,,,0,0.661
distributions,Cell,panel_aspect_class,categorical,106,,,,square,0.377
distributions,Nature,panel_aspect_class,categorical,95,,,,wide,0.4
distributions,Science,panel_aspect_class,categorical,69,,,,wide,0.435
heatmaps,Nature,typeset_width_mm,numeric,49,173.32,154.57,184.64,135.25,187.3
heatmaps,Nature,smallest_cluster_pt,numeric,48,4.48,4.268,5.113,2.18,6.7
heatmaps,Nature,dominant_cluster_pt,numeric,48,5.445,5.02,6.113,2.18,9.04
heatmaps,Nature,largest_cluster_pt,numeric,48,6.53,6.03,7.04,5.02,21.77
heatmaps,Nature,stroke_pt_inferred,numeric,31,3.84,2.88,4.44,0.24,6.48
heatmaps,Cell,coloured_fraction,numeric,43,0.107,0.066,0.135,0.032,0.294
heatmaps,Nature,coloured_fraction,numeric,55,0.124,0.06,0.19,0.031,0.348
heatmaps,Science,coloured_fraction,numeric,18,0.096,0.055,0.116,0.035,0.265
heatmaps,Cell,n_hue_clusters,numeric,43,3.0,3.0,4.0,1.0,6.0
heatmaps,Nature,n_hue_clusters,numeric,55,3.0,2.0,4.0,1.0,7.0
heatmaps,Science,n_hue_clusters,numeric,18,2.0,2.0,3.0,1.0,4.0
heatmaps,Cell,mean_saturation,numeric,43,0.584,0.471,0.627,0.42,0.812
heatmaps,Nature,mean_saturation,numeric,55,0.621,0.544,0.712,0.416,0.798
heatmaps,Science,mean_saturation,numeric,18,0.545,0.445,0.674,0.383,0.765
heatmaps,Cell,figure_aspect,numeric,43,1.066,0.788,1.274,0.667,4.36
heatmaps,Nature,figure_aspect,numeric,55,1.017,0.835,1.166,0.727,2.001
heatmaps,Science,figure_aspect,numeric,18,0.885,0.816,0.915,0.705,1.905
heatmaps,Cell,n_panels_detected,numeric,43,3.0,1.0,6.0,1.0,16.0
heatmaps,Nature,n_panels_detected,numeric,55,8.0,3.5,10.0,1.0,22.0
heatmaps,Science,n_panels_detected,numeric,18,2.0,1.25,3.0,1.0,9.0
heatmaps,Cell,legend_entries,numeric,8,2.5,2.0,6.0,2.0,7.0
heatmaps,Nature,legend_entries,numeric,4,2.0,2.0,2.0,2.0,2.0
heatmaps,Science,legend_entries,numeric,2,4.0,4.0,4.0,4.0,4.0
heatmaps,Cell,n_categorical_colours,numeric,45,0.0,0.0,0.0,0.0,6.0
heatmaps,Nature,n_categorical_colours,numeric,58,0.0,0.0,0.0,0.0,12.0
heatmaps,Science,n_categorical_colours,numeric,18,0.0,0.0,0.0,0.0,0.0
heatmaps,Cell,spines,categorical,45,,,,box,0.6
heatmaps,Nature,spines,categorical,57,,,,none,0.509
heatmaps,Science,spines,categorical,18,,,,none,0.556
heatmaps,Cell,tick_direction,categorical,41,,,,none,0.78
heatmaps,Nature,tick_direction,categorical,41,,,,none,0.732
heatmaps,Science,tick_direction,categorical,18,,,,none,0.833
heatmaps,Cell,grid,categorical,45,,,,none,1.0
heatmaps,Nature,grid,categorical,58,,,,none,0.966
heatmaps,Science,grid,categorical,18,,,,none,0.889
heatmaps,Cell,background,categorical,45,,,,white,0.933
heatmaps,Nature,background,categorical,58,,,,white,0.948
heatmaps,Science,background,categorical,18,,,,white,0.778
heatmaps,Cell,error_bar_style,categorical,6,,,,none,1.0
heatmaps,Nature,error_bar_style,categorical,4,,,,none,1.0
heatmaps,Science,error_bar_style,categorical,9,,,,none,1.0
heatmaps,Cell,line_weight_class,categorical,2,,,,heavy,1.0
heatmaps,Nature,line_weight_class,categorical,1,,,,regular,1.0
heatmaps,Science,axis_line_weight_class,categorical,1,,,,regular,1.0
heatmaps,Cell,legend_position,categorical,32,,,,none,0.75
heatmaps,Nature,legend_position,categorical,54,,,,none,0.5
heatmaps,Science,legend_position,categorical,18,,,,none,0.389
heatmaps,Cell,legend_frame,categorical,8,,,,no,1.0
heatmaps,Nature,legend_frame,categorical,37,,,,no,1.0
heatmaps,Science,legend_frame,categorical,11,,,,no,0.909
heatmaps,Cell,palette_class,categorical,45,,,,diverging,0.6
heatmaps,Nature,palette_class,categorical,58,,,,sequential,0.621
heatmaps,Science,palette_class,categorical,18,,,,sequential,0.611
heatmaps,Cell,sequential_cmap_class,categorical,45,,,,other,0.467
heatmaps,Nature,sequential_cmap_class,categorical,54,,,,other,0.481
heatmaps,Science,sequential_cmap_class,categorical,18,,,,other,0.5
heatmaps,Cell,colourbar_position,categorical,45,,,,right,0.4
heatmaps,Nature,colourbar_position,categorical,54,,,,right,0.667
heatmaps,Science,colourbar_position,categorical,18,,,,right,0.611
heatmaps,Cell,panel_label_case,categorical,45,,,,upper,1.0
heatmaps,Nature,panel_label_case,categorical,58,,,,lower,0.931
heatmaps,Science,panel_label_case,categorical,18,,,,upper,1.0
heatmaps,Cell,panel_label_weight,categorical,45,,,,bold,1.0
heatmaps,Nature,panel_label_weight,categorical,58,,,,bold,0.983
heatmaps,Science,panel_label_weight,categorical,18,,,,bold,1.0
heatmaps,Cell,panel_label_size_class,categorical,45,,,,larger,0.978
heatmaps,Nature,panel_label_size_class,categorical,58,,,,larger,0.862
heatmaps,Science,panel_label_size_class,categorical,18,,,,much_larger,1.0
heatmaps,Cell,font_class,categorical,45,,,,sans,1.0
heatmaps,Nature,font_class,categorical,58,,,,sans,1.0
heatmaps,Science,font_class,categorical,18,,,,sans,1.0
heatmaps,Cell,axis_label_weight,categorical,45,,,,regular,0.978
heatmaps,Nature,axis_label_weight,categorical,58,,,,regular,0.983
heatmaps,Science,axis_label_weight,categorical,18,,,,regular,1.0
heatmaps,Cell,title_present,categorical,45,,,,no,0.533
heatmaps,Nature,title_present,categorical,58,,,,no,0.517
heatmaps,Science,title_present,categorical,18,,,,no,0.5
heatmaps,Cell,significance_style,categorical,25,,,,none,0.8
heatmaps,Nature,significance_style,categorical,25,,,,none,0.96
heatmaps,Science,significance_style,categorical,18,,,,none,0.944
heatmaps,Cell,brackets,categorical,24,,,,no,1.0
heatmaps,Nature,brackets,categorical,31,,,,no,1.0
heatmaps,Science,brackets,categorical,9,,,,no,1.0
heatmaps,Cell,n_stated_in_panel,categorical,45,,,,no,0.911
heatmaps,Nature,n_stated_in_panel,categorical,58,,,,no,0.845
heatmaps,Science,n_stated_in_panel,categorical,18,,,,no,0.944
heatmaps,Cell,tick_label_density,categorical,45,,,,normal,0.422
heatmaps,Nature,tick_label_density,categorical,58,,,,normal,0.517
heatmaps,Science,tick_label_density,categorical,18,,,,dense,0.389
heatmaps,Cell,x_tick_rotation,categorical,41,,,,0,0.463
heatmaps,Nature,x_tick_rotation,categorical,46,,,,0,0.717
heatmaps,Science,x_tick_rotation,categorical,18,,,,0,0.944
heatmaps,Cell,panel_aspect_class,categorical,45,,,,wide,0.467
heatmaps,Nature,panel_aspect_class,categorical,58,,,,square,0.466
heatmaps,Science,panel_aspect_class,categorical,18,,,,square,0.389
