plot_type,preset_save,preset_load,style_roundtrip,full_config_roundtrip,color_roundtrip,typography_roundtrip,layout_roundtrip,legend_roundtrip,annotation_roundtrip,plot_specific_roundtrip,new_data_safe,png_export,pdf_export,svg_export,status,notes
hierarchical_dendrogram,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend
ma_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
manhattan_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
qq_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
bland_altman_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend
precision_recall_curve,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
confusion_matrix,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend
calibration_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
dose_response_curve,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
upset_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
swimmer_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
spider_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
sankey_plot,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | legend_roundtrip: N/A - this plot type draws no legend | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
embedding_scatter,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed | plot_specific_roundtrip: N/A - every option of this plot type is analytical (config scope); none belongs in a style preset
hierarchical_clustering,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
network_graph,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,new data: example with values perturbed
