plot_type,color_model,categorical_palette,continuous_colormap,palette_control_has_effect,declared_palette,colorbar,legend,marker_size,declared_marker_size,line_width,declared_line_width,mapping_color_keys,color_options_exposed,literal_colors,style_tokens_read
roc_curve,categorical palette,True,False,True,True,False,True,False,False,True,True,,,0.6,line_width_pt;spine_width_pt
forest_plot,categorical palette,True,False,True,True,False,False,False,False,True,True,,,0.5,line_width_pt;spine_width_pt
dot_strip_plot,categorical palette,True,False,True,True,False,True,True,True,True,True,color,,,errorbar_capsize;errorbar_line_width;line_width_pt;marker_alpha;marker_edge_width;marker_size;text_color
beeswarm_plot,categorical palette,True,False,True,True,False,True,True,True,True,True,color,,,errorbar_capsize;errorbar_line_width;line_width_pt;marker_alpha;marker_edge_width;marker_size;text_color
paired_slopegraph,categorical palette,True,False,True,True,False,True,True,True,True,True,color;line_color;point_color,line_color;point_color,,line_width_pt;marker_edge_width;marker_size
raincloud_plot,categorical palette,True,False,True,True,False,False,True,True,True,True,,,,line_width_pt;marker_alpha;marker_edge_width;marker_size;spine_width_pt;text_color
hierarchical_dendrogram,categorical palette,True,False,True,True,False,False,False,False,False,False,,,,tick_label_pt
ma_plot,categorical palette + significance classes,True,False,True,True,False,True,True,True,False,False,color_ns,color_ns,#B8B8B8;0.6,annotation_pt;marker_alpha;marker_edge_width;marker_size;spine_width_pt;text_color
manhattan_plot,categorical palette + threshold-line colour,True,False,True,True,False,True,True,True,True,True,cutoff_line_color,cutoff_line_color,#7F8C8D;#C0392B,line_width_pt;marker_alpha;marker_size;tick_label_pt
qq_plot,categorical palette,True,False,True,True,False,False,True,True,True,True,,,,annotation_pt;line_width_pt;marker_alpha;marker_edge_width;marker_size;text_color
bland_altman_plot,categorical palette,True,False,True,True,False,False,True,True,True,True,,,,annotation_pt;line_width_pt;marker_alpha;marker_edge_width;marker_size;text_color
precision_recall_curve,categorical palette,True,False,True,True,False,True,False,False,True,True,,,0.6,legend_pt;line_width_pt;spine_width_pt
confusion_matrix,continuous colormap,False,True,True,True,True,False,False,False,False,False,colorbar_fraction;colorbar_location;colorbar_pad;colorbar_shrink,,,axis_font_pt;sequential_cmap;text_color;tick_label_pt;tick_length;tick_width
calibration_plot,categorical palette,True,False,True,True,False,True,True,True,True,True,,,0.6,legend_pt;line_width_pt;marker_edge_width;marker_size;spine_width_pt
dose_response_curve,categorical palette,True,False,True,True,False,True,True,True,True,True,,,,line_width_pt;marker_alpha;marker_edge_width;marker_size
upset_plot,categorical palette,True,False,True,True,False,False,True,True,True,True,,,#D9D9D9,annotation_pt;bar_edge_width;line_width_pt;marker_size;text_color;tick_label_pt;title_font_pt
swimmer_plot,categorical palette,True,False,True,True,False,True,True,True,False,False,,,white,marker_edge_width;marker_size;spine_width_pt;text_color;tick_label_pt
spider_plot,categorical palette,True,False,True,True,False,True,True,True,True,True,,,0.5,line_width_pt;marker_edge_width;marker_size;spine_width_pt
sankey_plot,categorical palette,True,False,True,True,False,False,False,False,False,False,,,#8C8C8C,tick_label_pt;title_font_pt
embedding_scatter,categorical palette + continuous colormap,True,True,True,True,True,True,True,True,False,False,color,,,annotation_pt;axis_font_pt;legend_frameon;marker_alpha;marker_edge_width;marker_size;sequential_cmap;text_color;tick_label_pt
hierarchical_clustering,continuous colormap,False,True,True,True,True,True,False,False,False,False,colorbar_fraction;colorbar_location;colorbar_pad;colorbar_shrink;colormap,colorbar_location;colorbar_pad;colorbar_shrink;colormap,#333333,axis_font_pt;diverging_cmap;legend_pt;sequential_cmap;tick_label_pt;title_font_pt
network_graph,categorical palette + continuous colormap + node/edge mapping + annotation colour,True,True,True,True,True,True,False,False,False,False,color_by;color_label;edge_color;edge_color_by;edge_color_negative;edge_color_positive;label_color;node_cmap;node_color;node_color_map,color_by;edge_color;edge_color_by;edge_color_negative;edge_color_positive;label_color;node_cmap;node_color,#2166AC;#888888;#B2182B;#BBBBBB;0.6;black,annotation_pt;axis_font_pt;legend_pt;sequential_cmap;text_color;title_font_pt
chord_diagram,categorical palette,True,False,True,True,False,True,False,False,False,False,ribbon_color_by,ribbon_color_by,,annotation_pt;spine_width_pt;text_color;tick_label_pt;title_font_pt
