AveExpr	logFC	adj.P.Val	gene
13.428	-4.669	0.012772421367133401	GENE0380
9.756	-0.145	0.8783983630370287	GENE0381
1.536	-1.421	0.562708481075081	GENE0382
4.502	0.126	0.7600847001356408	GENE0383
12.174	-2.944	0.015146582099838999	GENE0384
2.101	0.085	0.26088165478851777	GENE0385
2.898	1.298	0.5490881414762352	GENE0386
9.937	0.034	0.3472518715217271	GENE0387
10.741	-0.441	0.8368155912344186	GENE0388
13.168	-1.973	0.6224124177617024	GENE0389
3.621	0.778	0.44274529440893184	GENE0390
9.247	0.393	0.8685505065862571	GENE0391
9.813	0.261	0.9839570706455578	GENE0392
1.775	-0.888	0.23954010246949622	GENE0393
5.45	-1.008	0.23005928471456294	GENE0394
13.663	-1.596	0.914091248434298	GENE0395
12.882	-0.025	0.8729847055856483	GENE0396
1.845	-0.305	0.5417544603999647	GENE0397
7.522	-0.167	0.6398347710684603	GENE0398
5.332	-1.39	0.3793095244900358	GENE0399
7.662	0.248	0.872209638273082	GENE0400
12.141	-4.105	0.013584199807547163	GENE0401
1.577	-1.076	0.3804363712122804	GENE0402
7.108	-0.075	0.23982482073191305	GENE0403
4.238	-0.08	0.9099514100073918	GENE0404
9.737	-0.562	0.3853526089895029	GENE0405
9.55	-2.67	0.014584720919913136	GENE0406
6.594	3.816	0.01991792042804604	GENE0407
8.089	0.783	0.981351601508405	GENE0408
13.906	0.019	0.5112237276373854	GENE0409
12.563	0.122	0.8176309838812876	GENE0410
2.544	-0.608	0.3964166385870904	GENE0411
1.93	0.342	0.20389205990953735	GENE0412
9.746	-0.549	0.9386375324549325	GENE0413
4.835	0.369	0.6659380693182056	GENE0414
4.22	1.543	0.4296102241944472	GENE0415
13.139	0.401	0.42002597664429947	GENE0416
6.371	0.712	0.48958325029206196	GENE0417
2.182	-0.565	0.3094522631874099	GENE0418
5.67	-0.018	0.27102144891929447	GENE0419
8.986	-0.616	0.9912860363615588	GENE0420
2.384	0.197	0.7965142593971153	GENE0421
10.901	1.238	0.6804416073006104	GENE0422
3.013	-0.709	0.4538411073115456	GENE0423
12.785	0.965	0.22473502657931752	GENE0424
5.659	0.044	0.49708843902836075	GENE0425
8.702	0.335	0.3307893745787227	GENE0426
3.276	1.759	0.6422493695356006	GENE0427
4.528	0.433	0.8568362493601682	GENE0428
3.489	-0.501	0.8861256569667868	GENE0429
8.772	-0.078	0.2579941313579043	GENE0430
4.687	-0.328	0.3366575841803572	GENE0431
5.971	1.486	0.8039010433984335	GENE0432
11.19	1.042	0.5168059026904156	GENE0433
6.788	1.028	0.5226762624616039	GENE0434
6.015	-3.009	0.01349385820314713	GENE0435
12.278	-0.647	0.5456282224501617	GENE0436
3.993	1.199	0.24151403012347628	GENE0437
6.483	-0.001	0.3632049785110658	GENE0438
10.804	-0.832	0.30673375503983985	GENE0439
6.661	3.484	0.01816275912677155	GENE0440
3.517	1.068	0.9501749254967613	GENE0441
3.091	-0.932	0.2017664406825455	GENE0442
6.699	0.335	0.7410790654245896	GENE0443
2.248	2.095	0.9253859020063173	GENE0444
6.551	-1.638	0.20767067206298853	GENE0445
5.605	1.176	0.7861692706379619	GENE0446
6.649	-0.898	0.28856499265287217	GENE0447
11.18	1.254	0.01745432816234486	GENE0448
10.075	0.332	0.45712598665516224	GENE0449
8.851	-0.936	0.7261647567594212	GENE0450
7.543	1.151	0.7075745384752119	GENE0451
2.164	2.689	0.0007171168787307121	GENE0452
6.541	0.794	0.6469308850851913	GENE0453
7.218	-3.557	0.016479492049892012	GENE0454
6.44	-0.468	0.5588282076225455	GENE0455
7.459	0.48	0.8247261227969942	GENE0456
3.147	-0.689	0.6305972072539063	GENE0457
9.779	-0.003	0.6825711829496317	GENE0458
9.895	-1.399	0.8633465787008461	GENE0459
12.996	0.337	0.9198235165115742	GENE0460
2.818	0.824	0.7083449669664159	GENE0461
13.238	-0.716	0.6613533086731184	GENE0462
9.814	-0.084	0.8749257530829604	GENE0463
1.516	-6.84	0.00662029051542312	GENE0464
1.187	0.446	0.5598898066983976	GENE0465
3.282	0.609	0.3220938810709087	GENE0466
8.741	3.084	0.007708042565927117	GENE0467
7.095	-0.537	0.5331853112446172	GENE0468
6.786	-0.542	0.9821102914845679	GENE0469
6.021	-1.209	0.39154145590252964	GENE0470
2.919	0.191	0.5103740004615398	GENE0471
7.137	0.637	0.7334195150503118	GENE0472
7.324	0.951	0.5038418277593988	GENE0473
1.304	1.013	0.2941250489387688	GENE0474
7.545	0.442	0.20049825516136066	GENE0475
7.581	0.211	0.9798453117223642	GENE0476
12.521	-0.051	0.3730096143836372	GENE0477
7.569	0.394	0.3410792625082586	GENE0478
3.681	1.417	0.5128364850277292	GENE0479
13.546	-0.846	0.8709116661097964	GENE0480
11.422	-0.425	0.3259217866490153	GENE0481
6.399	1.853	0.5145573889889833	GENE0482
1.217	0.356	0.6910780722580064	GENE0483
3.997	-0.945	0.5331791570066318	GENE0484
3.792	0.249	0.3508115025993818	GENE0485
12.862	-1.674	0.3048463883219367	GENE0486
10.085	0.55	0.7179602601538644	GENE0487
3.924	0.211	0.665919316796336	GENE0488
10.204	0.878	0.5756369834333819	GENE0489
5.067	0.77	0.4852504264881879	GENE0490
11.509	-0.051	0.7396671638226038	GENE0491
12.608	0.738	0.6746867686204198	GENE0492
7.699	-1.252	0.8573758695191775	GENE0493
6.197	1.441	0.8228638269415207	GENE0494
11.732	-1.155	0.7172208057683285	GENE0495
6.883	-1.17	0.39737757085579334	GENE0496
7.867	-1.704	0.3641110517468941	GENE0497
12.891	-2.8	0.015061874986327176	GENE0498
10.258	-0.499	0.42188806901629017	GENE0499
2.752	1.73	0.37686378040172974	GENE0500
3.05	0.591	0.7700045553988031	GENE0501
2.136	-0.339	0.8818444179731932	GENE0502
7.606	2.863	0.0099954197167316	GENE0503
11.142	-0.092	0.44912996375779574	GENE0504
11.771	0.212	0.9229875718802079	GENE0505
6.958	0.708	0.555293600376634	GENE0506
13.655	-0.203	0.20626879415182212	GENE0507
1.858	-0.893	0.9088439905570609	GENE0508
8.555	0.054	0.3966607860374068	GENE0509
13.705	0.053	0.8134714002286452	GENE0510
8.392	0.803	0.6831763438275555	GENE0511
11.917	0.724	0.2911005849024605	GENE0512
6.504	-0.461	0.24023277008136557	GENE0513
11.601	0.551	0.011998574982819477	GENE0514
2.408	-0.828	0.6878604935641315	GENE0515
8.08	1.044	0.2769499998845681	GENE0516
4.788	-0.761	0.39950332341605527	GENE0517
10.765	1.018	0.38542689783916145	GENE0518
5.238	-0.653	0.36960901711853134	GENE0519
8.368	0.545	0.6075164394715604	GENE0520
4.173	0.031	0.7866234062496518	GENE0521
4.601	-1.487	0.35044399325736963	GENE0522
8.289	0.842	0.6442664423334504	GENE0523
2.707	-0.115	0.37511263382917126	GENE0524
3.302	0.579	0.3790193726753761	GENE0525
1.741	-2.077	0.8272457070555181	GENE0526
1.633	0.032	0.8015885377716383	GENE0527
5.822	-4.143	0.005987706700758521	GENE0528
9.229	0.355	0.391609758277148	GENE0529
4.325	-1.783	0.45558140714055456	GENE0530
6.93	-0.144	0.7035240779137708	GENE0531
3.563	0.411	0.997011409811805	GENE0532
12.729	-0.958	0.9608367382641272	GENE0533
3.033	0.202	0.2660655090985043	GENE0534
6.742	-0.526	0.5955409628612047	GENE0535
5.23	-0.404	0.9349774001330642	GENE0536
3.006	-1.606	0.4159121796959099	GENE0537
5.771	1.404	0.0158711799848705	GENE0538
8.618	-1.428	0.5154328306785381	GENE0539
8.668	2.801	0.01175885054089097	GENE0540
1.704	1.107	0.8749901898856833	GENE0541
13.535	1.509	0.5319640101589285	GENE0542
1.041	-0.54	0.8427040110165807	GENE0543
1.728	0.226	0.3078208420086612	GENE0544
4.373	-0.172	0.26784809204382204	GENE0545
12.899	-0.521	0.5267656858134898	GENE0546
9.469	-0.938	0.3393356872525415	GENE0547
9.352	0.849	0.5184425914568767	GENE0548
10.523	-0.248	0.3775146365473777	GENE0549
9.537	-2.656	0.010299569420825999	GENE0550
9.292	-0.799	0.527023573776289	GENE0551
1.119	0.244	0.7659280504909749	GENE0552
3.812	-1.045	0.8830224130164361	GENE0553
5.368	-1.524	0.7411724095660861	GENE0554
10.902	0.246	0.8921021819409436	GENE0555
4.456	-0.561	0.5916778405776678	GENE0556
3.825	-0.179	0.5923867756285086	GENE0557
9.096	-0.554	0.8689567715305833	GENE0558
9.549	-3.683	0.00797135594450681	GENE0559
3.627	-0.622	0.40426612447724636	GENE0560
13.437	0.784	0.2742948175137421	GENE0561
3.677	0.088	0.8388797234490986	GENE0562
1.04	-1.227	0.9029729559203163	GENE0563
3.346	-2.06	0.0070666673947082535	GENE0564
13.445	-1.139	0.27176414658006665	GENE0565
11.057	-2.824	0.018921484141224663	GENE0566
12.762	1.72	0.5021824855023522	GENE0567
4.663	-0.049	0.7089621022143024	GENE0568
6.214	0.022	0.7678292968140148	GENE0569
4.751	-0.773	0.2666352487559757	GENE0570
2.982	2.861	0.009683436008692316	GENE0571
11.823	0.835	0.38059884829883234	GENE0572
13.239	0.659	0.9372430436329338	GENE0573
7.53	3.388	0.001483125375897724	GENE0574
13.416	-0.789	0.22355869783235402	GENE0575
1.503	0.301	0.43698882917886844	GENE0576
12.322	0.136	0.6780260884879393	GENE0577
8.589	-1.238	0.9486711220192532	GENE0578
12.1	3.494	0.0014898539524752792	GENE0579
12.647	0.716	0.9047604535741958	GENE0580
4.278	-0.211	0.20590777286049386	GENE0581
6.987	0.573	0.8985666414105924	GENE0582
10.158	0.024	0.43885007224992334	GENE0583
5.882	-1.413	0.655623772030067	GENE0584
2.38	-1.144	0.7577959614902212	GENE0585
9.272	-0.981	0.49893097877211234	GENE0586
5.107	4.537	0.013615547926873112	GENE0587
7.791	-0.86	0.42789979103800246	GENE0588
13.614	-0.442	0.718137524736574	GENE0589
4.39	-1.214	0.22189323661109184	GENE0590
12.016	1.256	0.7192669323240992	GENE0591
6.879	4.437	0.0037819393616625174	GENE0592
11.782	0.767	0.5246847419643685	GENE0593
