preset_id,dataset,width,plot_type,status,n_groups,n_per_group,n_points_drawn,summary,error,tests,p_values,overlapping_text_pairs,clipped_text,legend_overlaps_data,effective_min_font_pt,tight_width_mm,tight_height_mm,width_deviation_pct,warnings,issues,png
gc_bar_points_jittered,unequal_5_vs_8,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 5, ""Treatment"": 8}",13,mean,sem,welch_t,0.0097,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_5_vs_8__single_89mm.png
gc_bar_points_jittered,unequal_5_vs_8,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 5, ""Treatment"": 8}",13,mean,sem,welch_t,0.0097,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_5_vs_8__full_183mm.png
gc_bar_points_jittered,unequal_6_vs_17,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 17}",23,mean,sem,welch_t,0.0535,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_6_vs_17__single_89mm.png
gc_bar_points_jittered,unequal_6_vs_17,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 17}",23,mean,sem,welch_t,0.0535,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_6_vs_17__full_183mm.png
gc_bar_points_jittered,unequal_4_9_13,single_89mm,barplot_with_error_bar,PASS,3,"{""Control"": 4, ""High"": 13, ""Low"": 9}",26,mean,sem,one_way_anova;welch_t,0.0001;0.2981;0.0015;0.0001,0,0,False,6.07,80.6,63.3,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_4_9_13__single_89mm.png
gc_bar_points_jittered,unequal_4_9_13,full_183mm,barplot_with_error_bar,PASS,3,"{""Control"": 4, ""High"": 13, ""Low"": 9}",26,mean,sem,one_way_anova;welch_t,0.0001;0.2981;0.0015;0.0001,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__unequal_4_9_13__full_183mm.png
gc_bar_points_jittered,n3,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 3, ""Treatment"": 3}",6,mean,sem,welch_t,0.0278,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n3__single_89mm.png
gc_bar_points_jittered,n3,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 3, ""Treatment"": 3}",6,mean,sem,welch_t,0.0278,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n3__full_183mm.png
gc_bar_points_jittered,n4,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 4, ""Treatment"": 4}",8,mean,sem,welch_t,0.0178,0,0,False,6.07,80.6,62.6,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n4__single_89mm.png
gc_bar_points_jittered,n4,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 4, ""Treatment"": 4}",8,mean,sem,welch_t,0.0178,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n4__full_183mm.png
gc_bar_points_jittered,n6,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0061,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n6__single_89mm.png
gc_bar_points_jittered,n6,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0061,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n6__full_183mm.png
gc_bar_points_jittered,n10,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 10, ""Treatment"": 10}",20,mean,sem,welch_t,0.0006,0,0,False,6.16,79.4,62.8,-10.8,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n10__single_89mm.png
gc_bar_points_jittered,n10,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 10, ""Treatment"": 10}",20,mean,sem,welch_t,0.0006,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n10__full_183mm.png
gc_bar_points_jittered,n20,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 20, ""Treatment"": 20}",40,mean,sem,welch_t,0.0,0,0,False,6.07,80.6,62.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n20__single_89mm.png
gc_bar_points_jittered,n20,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 20, ""Treatment"": 20}",40,mean,sem,welch_t,0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n20__full_183mm.png
gc_bar_points_jittered,n50,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 50, ""Treatment"": 50}",100,mean,sem,welch_t,0.0,0,0,False,6.07,80.6,62.3,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n50__single_89mm.png
gc_bar_points_jittered,n50,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 50, ""Treatment"": 50}",100,mean,sem,welch_t,0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_jittered__n50__full_183mm.png
gc_bar_points_open,two_groups_n6,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0001,0,0,False,6.07,80.6,62.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__two_groups_n6__single_89mm.png
gc_bar_points_open,two_groups_n6,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0001,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__two_groups_n6__full_183mm.png
gc_bar_points_open,three_groups_unequal,single_89mm,barplot_with_error_bar,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__three_groups_unequal__single_89mm.png
gc_bar_points_open,three_groups_unequal,full_183mm,barplot_with_error_bar,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__three_groups_unequal__full_183mm.png
gc_bar_points_open,four_groups_n4,single_89mm,barplot_with_error_bar,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,5.98,81.8,62.8,-8.1,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__four_groups_n4__single_89mm.png
gc_bar_points_open,four_groups_n4,full_183mm,barplot_with_error_bar,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,mean,sem,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__four_groups_n4__full_183mm.png
gc_bar_points_open,two_groups_n30,single_89mm,barplot_with_error_bar,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,mean,sem,welch_t,0.0083,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__two_groups_n30__single_89mm.png
gc_bar_points_open,two_groups_n30,full_183mm,barplot_with_error_bar,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,mean,sem,welch_t,0.0083,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__two_groups_n30__full_183mm.png
gc_bar_points_open,one_extreme_observation,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 8, ""Treatment"": 8}",16,mean,sem,welch_t,0.011,0,0,False,6.07,80.6,63.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__one_extreme_observation__single_89mm.png
gc_bar_points_open,one_extreme_observation,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 8, ""Treatment"": 8}",16,mean,sem,welch_t,0.011,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__one_extreme_observation__full_183mm.png
gc_bar_points_open,overlapping_groups,single_89mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.9427;0.7151;0.8284;0.9044,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__overlapping_groups__single_89mm.png
gc_bar_points_open,overlapping_groups,full_183mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.9427;0.7151;0.8284;0.9044,0,0,False,5.73,175.8,138.0,-3.9,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__overlapping_groups__full_183mm.png
gc_bar_points_open,separated_groups,single_89mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.0;0.0;0.0;0.0,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__separated_groups__single_89mm.png
gc_bar_points_open,separated_groups,full_183mm,barplot_with_error_bar,PASS,3,"{""A"": 10, ""B"": 10, ""C"": 10}",30,mean,sem,one_way_anova;welch_t,0.0;0.0;0.0;0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__separated_groups__full_183mm.png
gc_bar_points_open,unequal_5_vs_8,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 5, ""Treatment"": 8}",13,mean,sem,welch_t,0.0097,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_5_vs_8__single_89mm.png
gc_bar_points_open,unequal_5_vs_8,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 5, ""Treatment"": 8}",13,mean,sem,welch_t,0.0097,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_5_vs_8__full_183mm.png
gc_bar_points_open,unequal_6_vs_17,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 17}",23,mean,sem,welch_t,0.0535,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_6_vs_17__single_89mm.png
gc_bar_points_open,unequal_6_vs_17,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 17}",23,mean,sem,welch_t,0.0535,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_6_vs_17__full_183mm.png
gc_bar_points_open,unequal_4_9_13,single_89mm,barplot_with_error_bar,PASS,3,"{""Control"": 4, ""High"": 13, ""Low"": 9}",26,mean,sem,one_way_anova;welch_t,0.0001;0.2981;0.0015;0.0001,0,0,False,6.07,80.6,63.3,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_4_9_13__single_89mm.png
gc_bar_points_open,unequal_4_9_13,full_183mm,barplot_with_error_bar,PASS,3,"{""Control"": 4, ""High"": 13, ""Low"": 9}",26,mean,sem,one_way_anova;welch_t,0.0001;0.2981;0.0015;0.0001,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__unequal_4_9_13__full_183mm.png
gc_bar_points_open,n3,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 3, ""Treatment"": 3}",6,mean,sem,welch_t,0.0278,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n3__single_89mm.png
gc_bar_points_open,n3,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 3, ""Treatment"": 3}",6,mean,sem,welch_t,0.0278,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n3__full_183mm.png
gc_bar_points_open,n4,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 4, ""Treatment"": 4}",8,mean,sem,welch_t,0.0178,0,0,False,6.07,80.6,62.6,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n4__single_89mm.png
gc_bar_points_open,n4,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 4, ""Treatment"": 4}",8,mean,sem,welch_t,0.0178,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n4__full_183mm.png
gc_bar_points_open,n6,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0061,0,0,False,6.07,80.6,62.8,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n6__single_89mm.png
gc_bar_points_open,n6,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,mean,sem,welch_t,0.0061,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n6__full_183mm.png
gc_bar_points_open,n10,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 10, ""Treatment"": 10}",20,mean,sem,welch_t,0.0006,0,0,False,6.16,79.4,62.8,-10.8,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n10__single_89mm.png
gc_bar_points_open,n10,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 10, ""Treatment"": 10}",20,mean,sem,welch_t,0.0006,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n10__full_183mm.png
gc_bar_points_open,n20,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 20, ""Treatment"": 20}",40,mean,sem,welch_t,0.0,0,0,False,6.07,80.6,62.4,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n20__single_89mm.png
gc_bar_points_open,n20,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 20, ""Treatment"": 20}",40,mean,sem,welch_t,0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n20__full_183mm.png
gc_bar_points_open,n50,single_89mm,barplot_with_error_bar,PASS,2,"{""Control"": 50, ""Treatment"": 50}",100,mean,sem,welch_t,0.0,0,0,False,6.07,80.6,62.3,-9.4,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n50__single_89mm.png
gc_bar_points_open,n50,full_183mm,barplot_with_error_bar,PASS,2,"{""Control"": 50, ""Treatment"": 50}",100,mean,sem,welch_t,0.0,0,0,False,5.76,174.6,138.0,-4.6,Style control 'line_width_pt' bars have no markers or data lines; erro,,reports/journal_presets/group_comparison_acceptance/gc_bar_points_open__n50__full_183mm.png
gc_box_points_light,two_groups_n6,single_89mm,boxplot_or_violin_with_points,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,welch_t,0.0001,0,0,False,6.07,80.6,62.8,-9.4,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__two_groups_n6__single_89mm.png
gc_box_points_light,two_groups_n6,full_183mm,boxplot_or_violin_with_points,PASS,2,"{""Control"": 6, ""Treatment"": 6}",12,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,welch_t,0.0001,0,0,False,5.76,174.6,138.0,-4.6,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__two_groups_n6__full_183mm.png
gc_box_points_light,three_groups_unequal,single_89mm,boxplot_or_violin_with_points,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,6.16,79.4,63.3,-10.8,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__three_groups_unequal__single_89mm.png
gc_box_points_light,three_groups_unequal,full_183mm,boxplot_or_violin_with_points,PASS,3,"{""Control"": 5, ""High dose"": 11, ""Low dose"": 8}",24,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,one_way_anova;welch_t,0.0;0.0001;0.0;0.0363,0,0,False,5.8,173.4,138.0,-5.2,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__three_groups_unequal__full_183mm.png
gc_box_points_light,four_groups_n4,single_89mm,boxplot_or_violin_with_points,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,6.07,80.6,62.8,-9.4,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__four_groups_n4__single_89mm.png
gc_box_points_light,four_groups_n4,full_183mm,boxplot_or_violin_with_points,PASS,4,"{""KO-1"": 4, ""KO-2"": 4, ""Rescue"": 4, ""WT"": 4}",16,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,one_way_anova;welch_t,0.0;0.0001;0.001;0.1859;0.0979;0.0008;0.006,0,0,False,5.76,174.6,138.0,-4.6,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__four_groups_n4__full_183mm.png
gc_box_points_light,two_groups_n30,single_89mm,boxplot_or_violin_with_points,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,welch_t,0.0083,0,0,False,5.98,81.8,62.8,-8.1,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__two_groups_n30__single_89mm.png
gc_box_points_light,two_groups_n30,full_183mm,boxplot_or_violin_with_points,PASS,2,"{""Drug"": 30, ""Vehicle"": 30}",60,"{'center': 'median', 'box': 'interquartile range', 'whiskers': '1.5 x IQR (Tukey)', 'violin': None}",,welch_t,0.0083,0,0,False,5.76,174.6,138.0,-4.6,,,reports/journal_presets/group_comparison_acceptance/gc_box_points_light__two_groups_n30__full_183mm.png
