feature,name,mean_expr,effect_measure,lfcSE,p_raw,p_adjusted,call,annotation
GENE00023,G23,1430.35,-1.6173,0.1901,1.7752836887626852e-17,4.438209221906713e-16,Down,protein_coding
GENE00024,G24,239.27,-0.7478,0.4657,0.10832780036301515,0.24573192471445385,NS,protein_coding
GENE00025,G25,128.81,-0.9253,0.3186,0.0036811211490236748,0.01781187652753391,NS,protein_coding
GENE00026,G26,3509.43,-0.7101,0.3893,0.06814554838571305,0.17713855048090132,NS,lncRNA
GENE00027,G27,43.91,-0.9207,0.427,0.03106757630452703,0.09583828165920937,NS,protein_coding
GENE00028,G28,127.98,-0.9322,0.3527,0.00821654709297686,0.03435490073718548,NS,protein_coding
GENE00029,G29,282.52,-0.071,0.164,0.6650679281911231,0.798155765544193,NS,lncRNA
GENE00030,G30,51.1,-0.2022,0.2311,0.3816033368426517,0.5671091681421535,NS,protein_coding
GENE00031,G31,168.84,0.2729,0.1665,0.101205129552326,0.23310202584029022,NS,lncRNA
GENE00032,G32,8.24,-0.7483,0.2527,0.003064241298949607,0.015321206494748035,NS,protein_coding
GENE00033,G33,453.17,1.761,0.4187,2.6007357997287315e-05,0.00020668099070691906,Up,lncRNA
GENE00034,G34,186.65,-0.9581,0.2721,0.00042970875396410935,0.002617515252573255,NS,protein_coding
GENE00035,G35,9.87,0.6585,0.3433,0.05509232453410371,0.15197882630097576,NS,protein_coding
GENE00036,G36,234.65,0.0252,0.4682,0.957076063226411,0.9809196119302948,NS,protein_coding
GENE00037,G37,484.69,-0.4573,0.4325,0.2903559693183648,0.4772974838110107,NS,protein_coding
GENE00038,G38,62.27,0.481,0.2896,0.09673120173532869,0.22624306312514267,NS,protein_coding
GENE00039,G39,68.93,0.904,0.4077,0.026601460603802963,0.08467308415003595,NS,lncRNA
GENE00040,G40,497.43,-0.362,0.1745,0.03803303167491483,0.11237492066706121,NS,protein_coding
GENE00041,G41,37.36,0.525,0.4883,0.28230367618271246,0.4679066456067057,NS,lncRNA
GENE00042,G42,2706.52,-0.0805,0.2872,0.7792531204268258,0.8731393118559336,NS,protein_coding
GENE00043,G43,3712.68,0.4092,0.4022,0.30896114846815426,0.49528432659170557,NS,protein_coding
GENE00044,G44,114.92,0.8219,0.4726,0.08201667601868315,0.20251031115724233,NS,lncRNA
GENE00045,G45,32.41,0.5154,0.3219,0.10935070649793197,0.24573192471445385,NS,protein_coding
GENE00046,G46,1731.55,1.1393,0.4258,0.007458018841700405,0.03162410816268723,Up,protein_coding
GENE00047,G47,186.17,0.3717,0.3258,0.2539182077091433,0.43281512677694883,NS,protein_coding
GENE00048,G48,205.38,0.4938,0.4282,0.24882853353072698,0.4271734481214197,NS,protein_coding
GENE00049,G49,216.34,-0.8968,0.4032,0.026134564075071764,0.08385421628365272,NS,protein_coding
GENE00050,G50,376.62,0.4614,0.2952,0.1180506825568362,0.2580342788127567,NS,protein_coding
GENE00051,G51,74.17,1.971,0.3649,6.609336165594347e-08,7.412339624965622e-07,Up,protein_coding
GENE00052,G52,12359.04,0.0615,0.3467,0.8592045830409097,0.9255345598286281,NS,lncRNA
GENE00053,G53,37.07,0.2317,0.2796,0.40728333575198106,0.5902657039883784,NS,protein_coding
GENE00054,G54,112.3,0.7562,0.4718,0.10897930367326651,0.24573192471445385,NS,lncRNA
GENE00055,G55,86.21,-3.4556,0.3982,4.026076919165618e-18,1.0502809354345091e-16,Down,protein_coding
GENE00056,G56,2002.73,-0.5507,0.3243,0.0894852994042965,0.21443433957896182,NS,protein_coding
GENE00057,G57,269.62,-0.1405,0.4942,0.7761821297274489,0.8721147525027516,NS,protein_coding
GENE00058,G58,206.71,-0.0338,0.2966,0.9092709347483279,0.957127299735082,NS,protein_coding
GENE00059,G59,185.28,0.0779,0.238,0.7434327306549515,0.8537026572114276,NS,protein_coding
GENE00060,G60,567.61,0.4478,0.3028,0.1391766835577194,0.28745614504176126,NS,protein_coding
GENE00061,G61,74.52,-0.3484,0.249,0.16175397977710648,0.3212704457487827,NS,protein_coding
GENE00062,G62,8.82,2.1227,0.355,2.2391065903164773e-09,3.1243347771857826e-08,Up,protein_coding
GENE00063,G63,166.33,-1.2288,0.4662,0.008394447438779162,0.0347356445742586,Down,protein_coding
GENE00064,G64,79.17,0.5993,0.2123,0.004759258096641977,0.02239650869007989,NS,protein_coding
GENE00065,G65,41.16,-0.3061,0.3344,0.359996995236769,0.5476557262109151,NS,lncRNA
GENE00066,G66,122.66,0.7583,0.4845,0.11755508455562626,0.25789049628290955,NS,protein_coding
GENE00067,G67,182.17,0.5755,0.347,0.09721629693118786,0.22624306312514267,NS,protein_coding
GENE00068,G68,94.25,-0.7385,0.3169,0.019785646301072324,0.0684229843264749,NS,protein_coding
GENE00069,G69,268.7,-0.1539,0.2474,0.5338961540733607,0.6993321683089396,NS,protein_coding
GENE00070,G70,108.61,0.4196,0.1787,0.018871005324156847,0.06557997234336706,NS,protein_coding
GENE00071,G71,483.28,-0.0095,0.21,0.9639175297095425,0.9850207076012476,NS,protein_coding
GENE00072,G72,50.46,-0.7529,0.455,0.09798023774352944,0.22737726663932195,NS,protein_coding
GENE00073,G73,149.52,1.0827,0.1648,5.0389130276859434e-11,8.062260844297509e-10,Up,protein_coding
GENE00074,G74,93.28,-4.499,0.3117,3.1734512981550193e-47,1.9040707788930117e-45,Down,lncRNA
GENE00075,G75,389.61,0.4487,0.3331,0.17796640673119224,0.34279243672139753,NS,protein_coding
GENE00076,G76,142.28,1.0073,0.4244,0.017621899608727006,0.062367286812170374,NS,lncRNA
GENE00077,G77,81.57,0.3458,0.4236,0.4143078948384553,0.5982785485031845,NS,protein_coding
GENE00078,G78,130.46,0.1147,0.4135,0.781482079745921,0.8731643349116436,NS,protein_coding
GENE00079,G79,93.86,0.2647,0.4451,0.5520454788297544,0.713356641741221,NS,pseudogene
GENE00080,G80,4604.5,-0.7381,0.3102,0.017339312492812724,0.06155968932359547,NS,protein_coding
GENE00081,G81,296.98,0.0474,0.4572,0.9174276313491908,0.9598329544972123,NS,protein_coding
GENE00082,G82,70.88,1.1509,0.1836,3.644992804370752e-10,5.467489206556128e-09,Up,lncRNA
GENE00083,G83,23.67,-0.1132,0.218,0.6035752213196162,0.7490075135300304,NS,protein_coding
GENE00084,G84,27.73,0.7809,0.4645,0.09273134738595604,0.2203517165606876,NS,lncRNA
GENE00085,G85,213.89,1.7825,0.3249,4.104315527207165e-08,4.828606502596664e-07,Up,protein_coding
GENE00086,G86,347.55,0.3644,0.3444,0.2900226143407678,0.4772974838110107,NS,protein_coding
GENE00087,G87,242.26,0.2766,0.3163,0.38185350654905004,0.5671091681421535,NS,lncRNA
GENE00088,G88,14.6,1.1371,0.2198,2.2994677398598384e-07,2.399444598114614e-06,Up,protein_coding
GENE00089,G89,178.59,0.1744,0.3218,0.5878519018702321,0.7385159532324072,NS,lncRNA
GENE00090,G90,139.29,-0.1189,0.2785,0.6694303269362024,0.7993197933566596,NS,protein_coding
GENE00091,G91,311.49,0.3957,0.3636,0.2764698274372335,0.4614239122735468,NS,protein_coding
GENE00092,G92,168.0,-0.1556,0.3704,0.6744223425007405,0.8036810436950235,NS,protein_coding
GENE00093,G93,310.29,-0.2237,0.3088,0.4688097057683447,0.6407421946719973,NS,protein_coding
GENE00094,G94,76.79,-0.2028,0.2678,0.44888119995516884,0.6270750173995374,NS,protein_coding
GENE00095,G95,254.25,0.7072,0.4444,0.11152877525194517,0.24922631341216797,NS,protein_coding
GENE00096,G96,503.69,-0.0216,0.2318,0.9257575607015772,0.9660078894277326,NS,protein_coding
GENE00097,G97,62.17,0.4771,0.2177,0.02841216007113598,0.08923942299056879,NS,protein_coding
GENE00098,G98,544.62,0.3797,0.3917,0.3323634531595875,0.5175740441762264,NS,protein_coding
GENE00099,G99,55.51,0.6513,0.4467,0.1448335087773805,0.29593410763187794,NS,protein_coding
GENE00100,G100,25.86,-0.6814,0.412,0.09815118676597398,0.22737726663932195,NS,protein_coding
GENE00101,G101,1151.19,-0.343,0.2375,0.14867976481602008,0.300363161244485,NS,protein_coding
GENE00102,G102,28.36,-5.0339,0.3251,4.4383039736349815e-54,3.1329204519776336e-52,Down,protein_coding
GENE00103,G103,13.41,-1.1188,0.2041,4.2143285554577707e-08,4.909897346164393e-07,Down,protein_coding
GENE00104,G104,81.0,0.3727,0.3129,0.23360829589156062,0.4098391155992292,NS,protein_coding
GENE00105,G105,21.2,-0.2732,0.3168,0.3884818877395544,0.5723549769531563,NS,protein_coding
GENE00106,G106,52.94,0.4458,0.309,0.14909980067782677,0.3007054803586422,NS,protein_coding
GENE00107,G107,414.51,-2.9872,0.4384,9.500848247601641e-12,1.605777168608728e-10,Down,protein_coding
GENE00108,G108,89.86,0.3251,0.2259,0.15011302525261896,0.3015452101744645,NS,lncRNA
GENE00109,G109,317.19,0.1826,0.2088,0.3818345493829901,0.5671091681421535,NS,protein_coding
GENE00110,G110,98.87,-4.3633,0.4777,6.6029104551586e-20,2.0316647554334155e-18,Down,protein_coding
GENE00111,G111,32.97,0.1934,0.4337,0.6556475461903146,0.7899368026389333,NS,lncRNA
GENE00112,G112,90.67,0.5311,0.4504,0.23832887002920078,0.41587486537615836,NS,protein_coding
GENE00113,G113,934.17,-0.4066,0.2079,0.05049485246379759,0.14124434255607718,NS,protein_coding
GENE00114,G114,59.82,-3.2317,0.4465,4.558533829803647e-13,8.164538202633396e-12,Down,protein_coding
GENE00115,G115,48.33,1.2059,0.3398,0.00038691408940656763,0.0023932830272571193,Up,lncRNA
GENE00116,G116,13.77,0.2362,0.1943,0.2241198379059589,0.40381952775848456,NS,protein_coding
GENE00117,G117,305.78,-1.1177,0.4494,0.012879139922831392,0.04844817525829991,Down,pseudogene
GENE00118,G118,110.7,-1.2036,0.2843,2.300247647347935e-05,0.0001840198117878348,Down,protein_coding
GENE00119,G119,17.36,0.4131,0.491,0.40015513829442584,0.5827502013996493,NS,protein_coding
GENE00120,G120,899.34,0.1813,0.3714,0.6254415187453034,0.7674129064359552,NS,protein_coding
GENE00121,G121,8.59,-0.0392,0.154,0.7990741925265065,0.8848768508348229,NS,protein_coding
GENE00122,G122,463.39,0.2525,0.3252,0.4374861272680257,0.6154552786888989,NS,protein_coding
GENE00123,G123,211.25,0.3183,0.4829,0.5098041510963282,0.6767311740216746,NS,protein_coding
GENE00124,G124,258.13,0.3182,0.3567,0.37235747066660974,0.5585362059999146,NS,protein_coding
GENE00125,G125,22.66,2.496,0.3284,2.950179207973089e-14,6.000364490792724e-13,Up,protein_coding
GENE00126,G126,1130.19,-0.5619,0.2427,0.020601772895817192,0.07043341160963143,NS,lncRNA
GENE00127,G127,155.85,0.7268,0.3074,0.018061928650811902,0.06356103924039379,NS,protein_coding
GENE00128,G128,442.68,-0.1702,0.2511,0.49788734878945695,0.6659969055152755,NS,protein_coding
GENE00129,G129,13.46,0.8897,0.3252,0.0062218461928799694,0.027550610448176988,NS,protein_coding
GENE00130,G130,28.23,-0.6936,0.4074,0.0886609888614316,0.21321279886516617,NS,protein_coding
GENE00131,G131,7699.15,2.3053,0.1866,4.6213902459826964e-35,2.132949344299706e-33,Up,protein_coding
GENE00132,G132,468.7,-3.7242,0.1873,5.64251827360949e-88,8.463777410414235e-86,Down,pseudogene
GENE00133,G133,1270.58,0.6064,0.4531,0.18078696139811723,0.34540592474428644,NS,lncRNA
GENE00134,G134,350.71,0.0928,0.2814,0.7415664475011934,0.8537026572114276,NS,protein_coding
GENE00135,G135,66.95,-0.8744,0.2334,0.00017942035896582176,0.0012233206293124211,NS,protein_coding
GENE00136,G136,795.35,0.002,0.2418,0.993400533803971,0.9976167724007221,NS,protein_coding
GENE00137,G137,272.01,-0.0347,0.471,0.9412705545470139,0.9720522077938181,NS,protein_coding
GENE00138,G138,405.15,0.6279,0.2317,0.006728933698058436,0.02946978261923403,NS,protein_coding
GENE00139,G139,13.32,-0.1752,0.4006,0.6618619016086348,0.7958259337979576,NS,protein_coding
GENE00140,G140,478.78,-4.2394,0.1933,1.2946274152315603e-106,3.883882245694681e-104,Down,protein_coding
GENE00141,G141,1304.65,-0.3449,0.249,0.1660094910456158,0.3260415536084107,NS,protein_coding
GENE00142,G142,67.52,-0.9016,0.2853,0.0015767047206658976,0.008485479185212667,NS,protein_coding
GENE00143,G143,1087.92,-0.2946,0.4848,0.5434041965141123,0.7060978726921135,NS,protein_coding
GENE00144,G144,79.36,-0.062,0.3003,0.8364314457259318,0.9090469246379799,NS,protein_coding
GENE00145,G145,48.04,-0.2998,0.4335,0.48920102370649277,0.6581179691118737,NS,protein_coding
GENE00146,G146,102.78,-0.344,0.3406,0.3125037299683622,0.4973534163952714,NS,protein_coding
GENE00147,G147,398.15,0.4892,0.3816,0.199852942289655,0.372975942064675,NS,protein_coding
GENE00148,G148,34.97,0.4853,0.195,0.012820462974142764,0.04840065561770151,NS,protein_coding
GENE00149,G149,1207.49,0.732,0.2744,0.007638640181711572,0.032162695501943464,NS,protein_coding
GENE00150,G150,93.55,1.3628,0.2802,1.1522966216397247e-06,1.097425353942595e-05,Up,protein_coding
GENE00151,G151,201.43,-0.2957,0.2981,0.32122239943013975,0.5054377326663608,NS,protein_coding
GENE00152,G152,168.61,-0.8652,0.2391,0.00029623579326728096,0.0018908667655358358,NS,lncRNA
GENE00153,G153,126.96,-0.3981,0.3135,0.20413576509891518,0.3780291946276207,NS,protein_coding
GENE00154,G154,68.03,-0.2937,0.3657,0.4219069339791581,0.604162673955835,NS,protein_coding
GENE00155,G155,217.62,0.5505,0.4729,0.24438596497892395,0.422569391894393,NS,lncRNA
GENE00156,G156,295.8,-0.5316,0.1886,0.004822399310886345,0.022430240922887854,NS,protein_coding
GENE00157,G157,114.02,0.6927,0.4531,0.12631363833918596,0.2682767539947312,NS,protein_coding
GENE00158,G158,155.91,-0.332,0.2377,0.162498222854483,0.3213742018629125,NS,lncRNA
GENE00159,G159,19.1,-3.6567,0.3402,6.011753427576452e-27,2.404701371030581e-25,Down,lncRNA
GENE00160,G160,28.4,0.7506,0.3729,0.044128088101955724,0.1260802517198735,NS,protein_coding
GENE00161,G161,3197.48,0.0342,0.4455,0.9388083650336281,0.9720522077938181,NS,protein_coding
GENE00162,G162,10.08,-0.1097,0.1813,0.5451295217988482,0.7071950553066139,NS,protein_coding
GENE00163,G163,171.47,0.2198,0.1687,0.19260734548428804,0.3605753737615377,NS,protein_coding
GENE00164,G164,61.36,0.3946,0.1642,0.01625376863511219,0.058748561331730814,NS,protein_coding
GENE00165,G165,188.71,0.9485,0.1906,6.478094632471802e-07,6.3718963598083294e-06,NS,protein_coding
GENE00166,G166,22.23,-1.0001,0.3837,0.009148260489662484,0.03696266864510094,Down,protein_coding
GENE00167,G167,340.53,0.8455,0.4092,0.03880707095354406,0.11413844398101194,NS,protein_coding
GENE00168,G168,323.38,0.6934,0.1807,0.0001243947794650511,0.0008832765405802445,NS,protein_coding
GENE00169,G169,232.9,-0.0353,0.3933,0.928483204766187,0.9680102916763026,NS,lncRNA
GENE00170,G170,74.41,0.581,0.4961,0.2415445768802036,0.41886342811595995,NS,protein_coding
GENE00171,G171,30.41,1.6317,0.3043,8.224056429445921e-08,8.971697923031914e-07,Up,protein_coding
GENE00172,G172,9.73,0.6124,0.2286,0.007386111103495524,0.031430260014874575,NS,lncRNA
GENE00173,G173,60.39,-0.9356,0.1673,2.240178602044442e-08,2.743075839238092e-07,NS,lncRNA
GENE00174,G174,147.75,-1.334,0.1503,6.956855124005649e-19,1.9876728925730423e-17,Down,lncRNA
GENE00175,G175,44.22,0.7843,0.3111,0.011700378738819326,0.044857682065761,NS,protein_coding
GENE00176,G176,74.72,0.6847,0.3189,0.03178786472963445,0.09755866413187043,NS,protein_coding
GENE00177,G177,120.53,0.6959,0.1948,0.0003537489877581496,0.0022225067293705734,NS,lncRNA
GENE00178,G178,189.81,-4.1044,0.3212,2.166684615916362e-37,1.0833423079581811e-35,Down,protein_coding
GENE00179,G179,418.59,-4.8803,0.2374,6.623403166038975e-94,1.1354405427495385e-91,Down,protein_coding
GENE00180,G180,172.06,-0.5048,0.2139,0.018275856307067198,0.06412581160374456,NS,lncRNA
GENE00181,G181,23.16,-0.0624,0.2823,0.8250601623538997,0.900455665029477,NS,protein_coding
GENE00182,G182,101.92,-0.3321,0.4149,0.42345948152459034,0.6045098562225824,NS,protein_coding
GENE00183,G183,97.13,-0.1478,0.1619,0.36129029681422054,0.5487953875659046,NS,protein_coding
GENE00184,G184,1.71,-0.4878,0.3493,0.16256178377565655,0.3213742018629125,NS,protein_coding
GENE00185,G185,79.62,-0.6592,0.374,0.07797357310297014,0.19574955590703802,NS,protein_coding
GENE00186,G186,118.04,0.4938,0.4208,0.2406037383052818,0.41871017768033353,NS,protein_coding
GENE00187,G187,183.45,0.064,0.3953,0.8713827501220701,0.9319601605583637,NS,protein_coding
GENE00188,G188,235.54,0.1855,0.2383,0.4363152346823761,0.6149143785486324,NS,protein_coding
GENE00189,G189,1127.17,1.1852,0.3055,0.00010465344456325752,0.000747524604023268,Up,pseudogene
GENE00190,G190,316.16,0.4338,0.4853,0.37138605999093255,0.5577763103743668,NS,protein_coding
GENE00191,G191,76.85,3.1348,0.359,2.501342707580408e-18,6.98049127696858e-17,Up,protein_coding
GENE00192,G192,317.83,0.303,0.3628,0.4036214955499293,0.586375054067694,NS,protein_coding
GENE00193,G193,841.06,0.0487,0.3917,0.9010541183116907,0.9533171983013073,NS,protein_coding
GENE00194,G194,23.03,0.1742,0.3397,0.6080874404683776,0.753827405539311,NS,protein_coding
GENE00195,G195,377.71,0.6587,0.4556,0.14823729660064694,0.300363161244485,NS,lncRNA
GENE00196,G196,1666.14,0.0694,0.3391,0.8378382488746715,0.9090469246379799,NS,lncRNA
GENE00197,G197,121.84,0.4509,0.177,0.01085110301792869,0.042277024745176715,NS,protein_coding
GENE00198,G198,1325.83,-0.3377,0.1732,0.05120365166530255,0.14223236573695153,NS,protein_coding
GENE00199,G199,18.22,3.7754,0.2979,8.305656793833621e-37,3.9867152610401383e-35,Up,protein_coding
GENE00200,G200,42.62,-3.6449,0.1571,4.433553576818984e-119,2.1968535645042268e-116,Down,protein_coding
GENE00201,G201,46.14,-0.233,0.365,0.5232418591201066,0.6892318671175938,NS,protein_coding
GENE00202,G202,47.94,0.2794,0.4047,0.48995025770989387,0.6583878043134073,NS,protein_coding
GENE00203,G203,377.35,-2.3139,0.3848,1.8183619012948591e-09,2.597659858992656e-08,Down,lncRNA
GENE00204,G204,944.56,-0.338,0.3117,0.27819811934021477,0.46284850654556087,NS,protein_coding
GENE00205,G205,127.11,0.0731,0.3242,0.8216073604613852,0.900455665029477,NS,protein_coding
GENE00206,G206,154.4,0.0529,0.4282,0.9016791833933199,0.9533171983013073,NS,protein_coding
GENE00207,G207,222.53,0.2999,0.3977,0.4507975866691636,0.6277223184857271,NS,pseudogene
GENE00208,G208,269.33,-0.4331,0.4974,0.38390280401884924,0.5680436064397276,NS,protein_coding
GENE00209,G209,43.9,-0.3508,0.2055,0.08781165149215872,0.21159434094496077,NS,protein_coding
GENE00210,G210,40.92,-0.0689,0.2834,0.807913006743527,0.8910805221435959,NS,lncRNA
GENE00211,G211,32.77,-0.1928,0.1514,0.20285917742343873,0.3767919560109387,NS,lncRNA
GENE00212,G212,378.93,0.2832,0.1991,0.15490992998608513,0.3087905581117976,NS,protein_coding
GENE00213,G213,564.54,-0.3746,0.4059,0.35606588193799193,0.5455165904171013,NS,protein_coding
GENE00214,G214,68.69,1.5829,0.2211,8.114686698454583e-13,1.411249860600797e-11,Up,protein_coding
GENE00215,G215,254.76,0.1668,0.3329,0.616334972560154,0.7616910062535375,NS,protein_coding
GENE00216,G216,308.91,0.3369,0.4001,0.39976584940487014,0.5827502013996493,NS,protein_coding
GENE00217,G217,1033.65,0.1777,0.3581,0.6197320743364225,0.7651013263412624,NS,protein_coding
GENE00218,G218,200.94,-3.8069,0.1802,4.590886495061169e-99,1.1018127588146804e-96,Down,protein_coding
GENE00219,G219,55.36,-0.0799,0.1695,0.637364804239996,0.7773741513452802,NS,protein_coding
GENE00220,G220,504.76,0.9302,0.2583,0.00031670442329040165,0.0020108217351771534,NS,protein_coding
GENE00221,G221,46.55,-0.416,0.307,0.17540199053507877,0.3389410445122295,NS,protein_coding
GENE00222,G222,1832.42,0.0189,0.4316,0.9650713624160617,0.9850207076012476,NS,protein_coding
GENE00223,G223,53.52,-1.1512,0.2335,8.214853608282384e-07,7.949858330595856e-06,Down,protein_coding
GENE00224,G224,114.72,0.0366,0.4926,0.9407719677829705,0.9720522077938181,NS,protein_coding
GENE00225,G225,1063.85,-0.2264,0.1932,0.24126023571115063,0.41886342811595995,NS,lncRNA
GENE00226,G226,167.77,0.607,0.4181,0.14655561406946138,0.2985852918223322,NS,protein_coding
GENE00227,G227,63.78,0.4337,0.4807,0.36693686817663396,0.553866970832655,NS,protein_coding
GENE00228,G228,443.95,2.2061,0.4923,7.422081105597225e-06,6.454958978526692e-05,Up,protein_coding
GENE00229,G229,78.38,-0.5661,0.4647,0.2231459684850564,0.40381952775848456,NS,lncRNA
GENE00230,G230,23.41,0.9237,0.4478,0.03913626998674505,0.11454518044900991,NS,protein_coding
GENE00231,G231,111.84,0.1902,0.4397,0.6653288884097955,0.798155765544193,NS,protein_coding
GENE00232,G232,28.33,-0.4591,0.3388,0.17539310810981434,0.3389410445122295,NS,pseudogene
GENE00233,G233,14.81,0.1066,0.4747,0.8223193433804108,0.900455665029477,NS,protein_coding
GENE00234,G234,124.17,0.2582,0.2079,0.21425750410724675,0.3920053147774369,NS,protein_coding
GENE00235,G235,13.41,0.4587,0.2484,0.0648024717094205,0.17075936934314773,NS,protein_coding
GENE00236,G236,13.07,0.7247,0.3273,0.026816633151169174,0.08513216873387039,NS,protein_coding
GENE00237,G237,65.55,-0.2847,0.2372,0.23004111620185708,0.40835701100921373,NS,protein_coding
GENE00238,G238,1008.63,0.6131,0.3873,0.11341905156407432,0.2525099478235421,NS,pseudogene
GENE00239,G239,113.23,0.4134,0.4493,0.35752158593982664,0.5463071598957537,NS,lncRNA
GENE00240,G240,223.29,-0.1695,0.4321,0.6948585000780858,0.818671804249672,NS,protein_coding
GENE00241,G241,161.15,1.0745,0.3206,0.0008036679987812986,0.00461436171549071,Up,lncRNA
GENE00242,G242,55.53,0.0452,0.3,0.8802386691550079,0.937621470125094,NS,protein_coding
GENE00243,G243,1463.79,0.1131,0.416,0.7857181345363382,0.8765725707281946,NS,protein_coding
GENE00244,G244,1582.56,-0.0108,0.2641,0.9673807189169754,0.9855506196616358,NS,protein_coding
GENE00245,G245,1.82,-0.1526,0.4138,0.7122938101365084,0.8306633354361614,NS,protein_coding
GENE00246,G246,919.65,0.2135,0.3366,0.5258954855524198,0.6919677441479208,NS,lncRNA
GENE00247,G247,1.02,3.1425,0.4861,1.0148709019614836e-10,1.5816169900698446e-09,Up,lncRNA
GENE00248,G248,152.65,0.9087,0.1738,1.7096156819839474e-07,1.7995954547199447e-06,NS,protein_coding
GENE00249,G249,47.83,-0.0952,0.2893,0.7421026510987756,0.8537026572114276,NS,protein_coding
GENE00250,G250,200.89,0.4816,0.3111,0.12160898586609799,0.2615247007873075,NS,protein_coding
GENE00251,G251,245.92,-0.688,0.3477,0.047847845748333215,0.1354184313632072,NS,lncRNA
GENE00252,G252,1034.82,0.5648,0.468,0.22749468998393552,0.4053531067351244,NS,protein_coding
GENE00253,G253,166.83,1.2431,0.3326,0.00018584242708931438,0.00125994865823264,Up,protein_coding
GENE00254,G254,789.19,-1.4424,0.2124,1.1138946048446752e-11,1.8564910080744586e-10,Down,protein_coding
GENE00255,G255,89.53,0.2561,0.464,0.5809896981480662,0.7308046517585739,NS,lncRNA
GENE00256,G256,20.98,0.5762,0.3182,0.07017014227843649,0.1810842381379006,NS,protein_coding
GENE00257,G257,2815.15,-0.1637,0.3331,0.6231124428321553,0.7665004483327191,NS,lncRNA
GENE00258,G258,2270.88,0.9659,0.4317,0.025258027437469244,0.08213992662591624,NS,protein_coding
GENE00259,G259,17.03,1.1224,0.1929,5.935716577850182e-09,7.742239014587194e-08,Up,protein_coding
GENE00260,G260,112.09,0.0785,0.4801,0.870118787710252,0.9314384881822502,NS,protein_coding
GENE00261,G261,166.53,-0.1143,0.2656,0.666943689694657,0.798155765544193,NS,protein_coding
GENE00262,G262,1278.15,-0.3108,0.3443,0.3666845351171798,0.553866970832655,NS,protein_coding
GENE00263,G263,69.26,-0.2069,0.3056,0.4983876842939312,0.6659969055152755,NS,protein_coding
GENE00264,G264,18.94,-0.1761,0.315,0.576129221886182,0.7289942191891539,NS,protein_coding
GENE00265,G265,58.44,0.9476,0.2434,9.89387047574752e-05,0.0007109368006525164,NS,protein_coding
GENE00266,G266,1628.33,0.6119,0.2874,0.03324694908421813,0.10125974340371004,NS,protein_coding
GENE00267,G267,1541.55,0.3542,0.3399,0.2973786710776789,0.4848565289309982,NS,lncRNA
GENE00268,G268,62.34,1.1028,0.1522,4.3011840745587856e-13,7.820334681015973e-12,Up,protein_coding
GENE00269,G269,21.77,0.0228,0.3019,0.9397996359759796,0.9720522077938181,NS,protein_coding
GENE00270,G270,352.71,-0.8596,0.3513,0.014408622518232559,0.053201067759627914,NS,protein_coding
GENE00271,G271,130.51,-0.4058,0.1678,0.015590850041820446,0.05686632234098643,NS,protein_coding
GENE00272,G272,495.38,0.8105,0.4584,0.07704310815329084,0.19393016025240384,NS,protein_coding
