gene_id,gene_symbol,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
GENE00078,G78,9.183,9.617,9.395,9.747,9.143,10.024,9.428,9.288,9.735,9.388,9.474,9.426
GENE00079,G79,7.974,8.171,7.55,8.155,8.398,7.932,8.143,8.138,8.466,8.046,7.938,8.129
GENE00080,G80,9.682,9.499,9.258,9.484,9.605,9.292,9.628,9.699,9.559,8.763,9.11,9.185
GENE00081,G81,10.42,11.026,10.99,10.546,10.703,11.134,10.865,10.549,11.076,11.262,10.933,10.837
GENE00082,G82,5.188,6.322,5.953,6.074,6.091,5.903,5.425,5.753,5.839,5.487,6.79,6.153
GENE00083,G83,9.957,9.968,9.798,8.977,9.974,9.409,8.059,8.01,8.277,8.501,7.908,8.061
GENE00084,G84,7.991,8.554,8.532,8.618,7.596,8.606,8.395,8.68,8.618,8.229,7.702,7.528
GENE00085,G85,8.625,9.271,9.043,9.037,8.509,8.597,8.671,9.724,8.89,9.124,8.497,8.924
GENE00086,G86,7.253,7.461,7.911,7.748,7.595,7.501,7.99,7.988,7.113,7.471,7.586,8.067
GENE00087,G87,9.773,9.057,9.632,9.322,9.661,8.795,6.963,7.214,7.681,7.023,6.825,7.035
GENE00088,G88,7.46,8.029,7.212,7.092,7.691,8.358,5.958,6.459,6.391,6.514,6.023,6.401
GENE00089,G89,9.225,10.486,9.737,9.432,9.492,10.012,10.507,9.318,9.804,10.098,10.024,9.47
GENE00090,G90,10.051,9.484,9.648,9.466,10.081,9.628,9.99,9.865,9.928,9.988,9.516,9.092
GENE00091,G91,6.929,6.916,7.913,7.065,7.473,7.018,7.27,7.029,7.249,7.178,7.43,7.695
GENE00092,G92,9.063,8.184,8.548,9.059,8.696,9.009,8.053,7.585,7.355,7.296,7.048,6.728
GENE00093,G93,9.47,10.254,10.086,10.257,10.348,9.933,7.702,7.941,8.084,8.278,7.946,8.52
GENE00094,G94,8.178,7.969,8.038,8.338,8.177,7.792,7.787,7.974,8.16,7.375,7.724,7.65
GENE00095,G95,7.789,7.54,7.577,7.283,8.397,7.605,5.991,5.968,6.222,6.048,5.759,6.225
GENE00096,G96,9.156,9.387,8.574,8.283,8.492,8.516,8.614,8.394,9.312,9.118,8.962,9.19
GENE00097,G97,11.123,10.031,10.656,10.494,10.853,10.356,10.601,10.669,10.821,11.046,10.519,10.946
GENE00098,G98,11.188,11.675,11.882,11.581,11.375,11.607,11.564,11.452,11.276,11.575,10.64,11.215
GENE00099,G99,4.575,4.14,4.289,4.364,4.344,3.689,4.685,4.449,4.286,4.358,4.168,4.098
GENE00100,G100,9.113,8.906,8.063,8.908,9.181,9.235,8.761,8.67,9.441,8.487,9.018,9.163
GENE00101,G101,6.531,6.896,6.672,6.399,6.326,6.106,6.798,6.133,6.572,6.286,6.726,6.916
GENE00102,G102,3.971,4.268,3.935,3.755,3.764,4.363,3.948,3.754,4.297,3.972,3.891,4.005
GENE00103,G103,7.725,7.854,7.73,8.049,8.276,7.853,7.796,7.732,8.0,7.869,8.264,8.025
GENE00104,G104,8.133,7.719,7.88,7.996,8.052,7.732,8.491,7.919,7.645,7.652,8.173,8.515
GENE00105,G105,7.119,8.15,7.81,7.565,7.414,7.579,7.504,7.615,7.909,7.918,7.686,7.712
GENE00106,G106,7.603,8.25,7.418,8.02,7.507,7.651,7.859,7.99,7.821,7.811,7.559,7.468
GENE00107,G107,7.181,7.228,7.223,7.961,7.452,7.305,10.212,10.186,10.034,9.903,9.93,10.218
GENE00108,G108,7.513,7.463,7.585,7.379,8.098,7.539,7.12,7.927,7.855,7.328,7.557,7.229
GENE00109,G109,9.247,8.925,9.026,9.197,9.282,9.058,9.413,8.573,8.744,9.458,8.472,8.819
GENE00110,G110,8.57,8.104,9.434,8.635,8.678,8.654,9.012,9.303,8.643,8.785,8.497,8.645
GENE00111,G111,8.253,8.266,8.282,8.139,8.285,7.855,8.165,7.835,8.645,8.338,8.449,7.194
GENE00112,G112,7.331,6.724,6.651,6.513,6.584,6.416,8.283,8.691,8.514,8.844,9.133,8.463
GENE00113,G113,7.244,8.296,7.621,8.099,8.143,8.099,7.735,7.823,7.289,7.965,7.664,8.111
GENE00114,G114,7.317,7.822,7.626,7.211,7.689,8.023,7.212,7.832,7.502,7.497,7.565,7.955
GENE00115,G115,7.636,8.129,8.426,8.079,8.133,8.262,7.807,7.796,7.742,7.824,7.715,7.514
GENE00116,G116,7.392,7.181,7.461,7.224,7.519,7.61,7.441,7.791,6.972,6.797,7.321,7.14
GENE00117,G117,8.3,8.893,8.65,8.839,8.427,8.416,8.36,8.329,8.525,8.399,8.114,8.757
GENE00118,G118,5.229,4.927,5.553,5.531,4.653,5.014,6.086,5.895,5.446,5.779,5.213,5.661
GENE00119,G119,5.695,5.501,4.441,5.098,5.373,5.644,5.752,5.729,5.44,5.488,6.031,5.633
GENE00120,G120,10.765,10.086,10.335,10.96,10.001,10.371,10.821,10.265,10.623,10.138,10.574,10.397
GENE00121,G121,6.271,6.854,6.744,6.814,6.423,6.184,6.695,6.727,6.332,6.787,6.402,6.538
GENE00122,G122,5.103,4.934,5.555,5.14,4.747,6.212,6.945,7.064,6.238,6.506,6.417,6.587
GENE00123,G123,9.318,9.311,9.4,9.531,9.671,9.165,10.59,10.763,11.105,10.79,10.878,10.373
GENE00124,G124,5.356,5.54,6.122,5.488,5.295,5.915,6.172,6.157,5.879,5.723,6.214,6.075
GENE00125,G125,6.439,7.009,6.65,6.367,7.145,6.158,7.198,6.559,5.895,6.642,7.141,6.639
GENE00126,G126,8.293,7.569,7.219,7.958,8.148,7.951,8.363,7.317,7.573,7.996,7.892,8.428
GENE00127,G127,10.768,10.556,10.816,10.759,10.677,10.814,10.919,10.849,10.41,10.068,11.096,10.323
GENE00128,G128,8.929,9.068,8.726,8.675,8.969,9.218,9.626,9.336,9.004,9.387,9.796,9.304
GENE00129,G129,5.726,5.961,5.548,5.124,5.973,6.102,5.851,5.517,6.358,5.541,5.567,5.244
GENE00130,G130,3.987,4.28,3.986,4.73,3.957,3.99,4.274,4.408,4.44,4.353,4.31,4.877
GENE00131,G131,8.198,9.364,8.27,8.584,8.266,8.621,10.851,9.977,10.717,10.845,10.295,10.493
GENE00132,G132,10.13,10.239,10.375,10.605,10.38,10.384,10.481,10.368,10.107,9.762,9.982,9.837
GENE00133,G133,8.021,7.523,7.803,7.875,8.214,7.544,8.016,7.222,8.051,7.496,8.214,7.182
GENE00134,G134,6.866,5.583,6.567,6.282,6.003,5.837,6.642,6.22,6.356,6.051,6.231,5.885
GENE00135,G135,6.505,7.458,6.83,6.736,7.428,6.591,6.958,6.939,7.185,6.902,7.337,7.059
GENE00136,G136,10.624,9.946,10.952,10.377,10.424,9.982,10.902,10.182,9.911,10.111,10.647,10.573
GENE00137,G137,6.041,5.752,5.373,6.095,6.033,6.305,5.87,5.834,6.158,5.76,6.527,5.227
GENE00138,G138,4.637,5.571,5.878,4.898,4.727,4.643,4.984,5.053,4.945,4.832,4.945,5.06
GENE00139,G139,7.026,7.799,7.192,6.861,7.523,6.978,7.876,7.753,7.317,7.752,7.27,6.945
GENE00140,G140,7.165,7.648,7.357,6.932,7.548,8.072,6.955,7.36,6.435,6.946,6.937,7.315
GENE00141,G141,6.981,7.572,7.017,6.867,7.749,7.285,7.507,7.456,7.733,7.304,6.676,7.156
GENE00142,G142,8.196,8.043,7.766,8.181,8.008,8.108,7.792,7.674,7.826,7.47,8.245,7.855
GENE00143,G143,10.208,10.982,10.725,10.211,9.724,10.821,10.809,10.562,10.537,10.971,10.864,10.501
GENE00144,G144,8.23,7.755,6.951,7.584,7.92,7.382,7.28,8.028,7.235,7.799,7.863,7.703
GENE00145,G145,10.298,10.321,9.854,9.825,10.501,10.314,9.743,10.243,10.525,9.896,10.49,11.126
GENE00146,G146,8.482,8.87,8.972,9.537,9.121,9.368,9.385,9.918,10.242,9.794,9.91,10.18
GENE00147,G147,7.998,8.08,7.751,7.867,7.585,7.409,7.782,7.418,7.08,7.819,7.306,8.049
GENE00148,G148,6.6,7.067,6.773,6.206,6.986,6.833,6.574,6.174,6.287,6.483,6.63,6.941
GENE00149,G149,5.801,6.562,6.311,6.807,6.243,5.795,5.695,5.951,6.209,6.359,5.947,6.746
GENE00150,G150,9.426,8.72,8.075,8.974,8.903,8.761,11.16,11.036,10.864,11.208,11.044,10.611
GENE00151,G151,8.288,8.451,8.633,7.818,8.271,8.067,8.485,9.188,8.31,9.042,8.199,8.491
GENE00152,G152,12.247,11.389,10.8,11.992,11.664,10.827,11.923,11.097,11.43,11.443,11.435,11.251
GENE00153,G153,8.232,8.339,7.91,8.283,8.36,7.435,8.723,8.545,7.567,8.14,8.579,7.637
GENE00154,G154,5.898,5.767,6.592,5.829,6.019,5.936,6.347,6.139,5.503,5.337,6.018,5.768
GENE00155,G155,7.305,6.952,7.228,6.807,7.153,7.177,7.666,7.218,7.002,7.609,6.734,7.415
GENE00156,G156,5.926,5.647,6.596,5.313,5.684,5.64,7.366,6.582,7.416,7.061,6.639,6.967
GENE00157,G157,7.968,8.492,7.74,8.402,8.445,8.432,8.369,8.715,8.636,7.92,8.491,7.813
GENE00158,G158,8.194,8.175,8.278,8.565,7.934,7.27,7.927,8.068,8.247,7.537,8.171,8.233
GENE00159,G159,9.368,9.429,9.551,8.794,8.95,9.027,8.85,8.961,9.76,9.44,9.05,8.383
GENE00160,G160,9.075,8.848,8.474,8.809,8.784,8.806,8.466,8.486,8.167,9.052,8.58,8.744
GENE00161,G161,10.876,11.802,10.779,10.896,10.646,10.856,11.064,10.87,11.525,11.26,10.536,11.125
GENE00162,G162,8.03,7.828,8.306,7.819,7.285,7.748,7.881,8.546,7.481,7.777,7.515,8.203
GENE00163,G163,10.286,10.643,11.005,10.359,10.369,10.485,12.912,12.854,12.99,13.1,13.326,12.822
GENE00164,G164,8.23,8.611,7.995,8.16,8.005,8.301,8.095,8.069,7.904,8.119,8.435,8.009
GENE00165,G165,8.316,9.023,8.934,9.009,8.398,8.819,9.493,9.024,8.919,8.397,8.583,8.493
GENE00166,G166,8.641,9.017,8.808,8.259,8.401,8.943,8.662,9.273,8.368,8.651,8.39,8.719
GENE00167,G167,8.925,9.566,9.68,9.422,9.663,9.327,9.665,8.727,9.639,9.382,9.101,9.281
GENE00168,G168,8.846,8.686,9.179,9.372,8.08,8.723,8.344,8.529,8.46,8.443,8.636,8.44
GENE00169,G169,7.574,7.058,7.552,7.036,7.538,7.873,6.847,7.937,7.983,7.606,7.648,8.034
GENE00170,G170,6.333,6.037,7.074,6.679,6.437,6.803,6.521,6.922,6.991,6.846,7.144,6.25
GENE00171,G171,8.776,8.251,8.253,8.577,8.783,8.213,6.192,7.436,5.977,6.003,6.706,5.912
GENE00172,G172,9.313,9.564,9.616,9.313,9.333,9.336,9.615,9.574,9.323,9.219,9.378,9.569
GENE00173,G173,9.484,9.706,9.153,9.257,9.548,9.007,9.506,9.742,9.858,9.453,9.761,9.715
GENE00174,G174,8.198,8.641,8.397,8.087,8.602,8.174,8.081,8.45,9.22,8.577,8.888,8.695
GENE00175,G175,9.749,10.213,9.699,9.743,10.708,9.319,9.294,9.496,9.704,9.382,9.966,9.698
GENE00176,G176,8.109,7.697,8.388,8.743,8.218,8.134,7.901,7.755,7.394,7.902,8.579,7.65
GENE00177,G177,9.259,8.87,8.499,8.625,9.224,8.404,8.955,8.923,8.908,8.666,8.92,8.89
GENE00178,G178,8.741,8.404,8.93,8.311,8.773,8.576,9.25,9.14,8.259,8.978,9.044,8.857
GENE00179,G179,5.779,5.468,5.358,6.237,6.132,5.301,5.587,5.823,6.304,6.306,6.217,5.636
GENE00180,G180,8.404,8.843,8.562,8.219,8.532,8.542,9.058,8.903,9.2,8.921,8.422,8.768
GENE00181,G181,7.753,7.676,7.464,7.987,7.366,7.246,5.404,5.485,4.881,5.474,4.693,5.131
GENE00182,G182,6.612,6.425,6.772,7.273,6.585,6.734,6.686,6.65,7.573,6.683,6.452,6.947
GENE00183,G183,8.443,8.264,7.736,8.509,8.972,8.425,8.832,8.389,8.502,8.405,8.194,8.265
GENE00184,G184,6.96,6.719,7.13,7.24,7.091,6.992,7.077,7.099,7.304,6.218,7.453,6.866
GENE00185,G185,8.03,7.802,7.347,7.351,7.099,7.511,7.2,7.598,7.045,6.528,7.059,7.619
GENE00186,G186,7.203,7.338,6.91,7.251,7.434,8.179,7.288,7.2,7.308,7.44,7.487,8.005
GENE00187,G187,8.416,8.82,8.726,8.843,8.51,8.504,9.252,8.728,8.59,9.297,8.763,8.141
GENE00188,G188,8.602,8.614,8.819,9.119,8.848,8.708,9.494,8.749,9.218,9.085,8.223,8.604
GENE00189,G189,7.685,8.204,8.284,8.248,8.23,8.089,7.903,8.355,7.255,8.326,7.346,7.525
GENE00190,G190,9.901,11.171,10.753,10.385,10.65,10.114,10.428,10.186,9.842,10.911,10.088,10.696
GENE00191,G191,7.975,8.233,8.695,8.133,8.733,8.526,9.348,7.892,8.437,8.153,8.107,8.104
GENE00192,G192,8.016,8.836,9.317,8.681,7.567,7.837,8.141,8.498,8.305,8.218,8.689,8.821
GENE00193,G193,7.194,6.339,6.365,6.553,6.133,6.551,6.083,6.373,6.937,7.028,6.711,6.139
GENE00194,G194,5.963,5.517,5.963,5.854,5.492,5.435,5.106,5.557,6.042,5.566,6.125,5.588
GENE00195,G195,8.905,8.384,8.384,8.605,8.942,8.539,8.619,8.703,9.224,8.984,8.843,8.574
GENE00196,G196,8.55,7.877,7.238,7.958,8.041,8.343,8.548,8.52,8.0,7.721,7.872,7.688
GENE00197,G197,7.353,7.581,7.081,7.035,7.178,7.216,6.973,6.599,7.431,7.278,7.17,6.286
GENE00198,G198,7.684,7.656,7.676,7.527,7.523,7.746,9.63,9.201,9.837,9.215,9.517,8.622
GENE00199,G199,8.124,8.206,7.424,8.201,8.029,8.287,8.565,8.082,7.561,7.91,7.921,8.742
GENE00200,G200,7.991,7.957,8.081,7.891,8.363,7.784,7.133,7.68,8.317,8.001,8.431,7.716
