cell_id,sample_id,condition,pseudotime,score
C0104,Con_S2,Control,0.4005,4.647
C0105,Con_S1,Control,0.329,5.173
C0106,Con_S2,Control,0.2321,3.124
C0107,Con_S1,Control,0.4606,4.114
C0108,Con_S3,Control,0.444,4.636
C0109,Con_S1,Control,0.3481,4.948
C0110,Con_S2,Control,0.3266,3.236
C0111,Con_S2,Control,0.4561,4.212
C0112,Con_S1,Control,0.0535,3.3
C0113,Con_S1,Control,0.1515,2.489
C0114,Con_S1,Control,0.4797,3.837
C0115,Con_S3,Control,0.2738,2.507
C0116,Con_S2,Control,0.7962,4.543
C0117,Con_S2,Control,0.2523,4.0
C0118,Con_S1,Control,0.3573,3.916
C0119,Con_S3,Control,0.4898,3.7
C0120,Con_S3,Control,0.4287,3.904
C0121,Con_S1,Control,0.3976,3.97
C0122,Con_S2,Control,0.2794,4.642
C0123,Con_S2,Control,0.5414,5.627
C0124,Con_S1,Control,0.0625,2.704
C0125,Con_S1,Control,0.4338,3.286
C0126,Con_S2,Control,0.252,2.815
C0127,Con_S3,Control,0.6178,3.709
C0128,Con_S3,Control,0.1937,3.025
C0129,Con_S2,Control,0.2625,3.847
C0130,Con_S3,Control,0.3646,2.413
C0131,Con_S3,Control,0.1374,3.385
C0132,Con_S2,Control,0.3886,2.084
C0133,Con_S2,Control,0.4354,5.292
C0134,Con_S1,Control,0.4801,3.253
C0135,Con_S3,Control,0.5888,4.044
C0136,Con_S1,Control,0.0317,3.152
C0137,Con_S2,Control,0.4366,2.97
C0138,Con_S3,Control,0.4371,4.388
C0139,Con_S3,Control,0.6426,3.542
C0140,Con_S1,Control,0.5253,3.912
C0141,Con_S3,Control,0.3651,3.536
C0142,Con_S2,Control,0.594,4.312
C0143,Con_S1,Control,0.4879,4.495
C0144,Con_S3,Control,0.1469,4.048
C0145,Con_S3,Control,0.2104,4.763
C0146,Con_S2,Control,0.358,3.189
C0147,Con_S2,Control,0.4358,3.564
C0148,Con_S1,Control,0.3147,4.143
C0149,Con_S1,Control,0.2079,3.295
C0150,Con_S2,Control,0.7865,5.262
C0151,Con_S1,Control,0.4055,3.683
C0152,Con_S1,Control,0.2783,4.78
C0153,Con_S1,Control,0.6767,4.422
C0154,Con_S1,Control,0.2883,4.247
C0155,Con_S2,Control,0.2588,3.422
C0156,Con_S1,Control,0.1308,3.449
C0157,Con_S1,Control,0.4292,3.647
C0158,Con_S3,Control,0.7364,3.289
C0159,Con_S2,Control,0.0993,2.025
C0160,Con_S1,Control,0.2093,3.39
C0161,Con_S2,Control,0.3687,4.301
C0162,Con_S3,Control,0.2258,3.717
C0163,Con_S3,Control,0.2725,5.18
C0164,Con_S3,Control,0.2587,2.832
C0165,Con_S2,Control,0.0,3.494
C0166,Con_S3,Control,0.3102,3.89
C0167,Con_S3,Control,0.4166,4.903
C0168,Con_S2,Control,0.4814,4.161
C0169,Con_S3,Control,0.5341,5.096
C0170,Con_S2,Control,0.3121,3.507
C0171,Con_S3,Control,0.1347,2.817
C0172,Con_S3,Control,0.386,3.75
C0173,Con_S3,Control,0.2255,3.996
C0174,Con_S2,Control,0.4171,4.248
C0175,Con_S2,Control,0.0912,4.061
C0176,Con_S2,Control,0.2997,2.626
C0177,Con_S2,Control,0.19,2.674
C0178,Con_S3,Control,0.3663,3.371
C0179,Con_S1,Control,0.2876,5.06
C0180,Con_S2,Control,0.574,3.044
C0181,Con_S3,Control,0.1125,3.403
C0182,Con_S3,Control,0.5452,5.337
C0183,Con_S1,Control,0.4745,4.461
C0184,Con_S1,Control,0.5024,3.764
C0185,Con_S3,Control,0.025,3.438
C0186,Con_S1,Control,0.6001,3.908
C0187,Con_S2,Control,0.2277,3.216
C0188,Con_S2,Control,0.417,3.77
C0189,Con_S1,Control,0.1004,4.021
C0190,Con_S2,Control,0.1972,5.083
C0191,Con_S1,Control,0.2534,3.309
C0192,Con_S2,Control,0.3349,3.899
C0193,Con_S2,Control,0.6857,4.653
C0194,Con_S2,Control,0.3164,4.563
C0195,Con_S3,Control,0.5509,4.175
C0196,Con_S2,Control,0.3875,3.982
C0197,Con_S1,Control,0.3745,3.676
C0198,Con_S1,Control,0.4757,3.618
C0199,Con_S3,Control,0.3677,3.742
C0200,Con_S3,Control,0.2548,4.031
C0201,Con_S3,Control,0.3336,2.148
C0202,Con_S2,Control,0.519,2.68
C0203,Con_S3,Control,0.2385,3.297
C0204,Con_S1,Control,0.3987,5.064
C0205,Con_S2,Control,0.1994,3.739
C0206,Con_S1,Control,0.2899,2.216
C0207,Con_S3,Control,0.4689,3.379
C0208,Con_S2,Control,0.3063,3.239
C0209,Con_S2,Control,0.4661,3.064
C0210,Con_S2,Control,0.3635,4.413
C0211,Con_S1,Control,0.5434,2.495
C0212,Con_S2,Control,0.5514,3.225
C0213,Con_S2,Control,0.3137,4.507
C0214,Con_S2,Control,0.1656,1.575
C0215,Con_S2,Control,0.1843,4.058
C0216,Con_S1,Control,0.0,3.115
C0217,Con_S3,Control,0.3345,3.007
C0218,Con_S1,Control,0.4236,4.051
C0219,Con_S1,Control,0.0,3.385
C0220,Con_S1,Control,0.6254,3.912
C0221,Con_S2,Control,0.7278,4.468
C0222,Con_S3,Control,0.2165,3.493
C0223,Con_S1,Control,0.3625,2.626
C0224,Con_S2,Control,0.3537,3.478
C0225,Con_S3,Control,0.4183,3.762
C0226,Con_S1,Control,0.0802,4.297
C0227,Con_S3,Control,0.3796,4.208
C0228,Con_S3,Control,0.3728,3.835
C0229,Con_S1,Control,0.519,4.883
C0230,Con_S2,Control,0.288,4.035
C0231,Con_S1,Control,0.0,3.882
C0232,Con_S1,Control,0.0881,3.683
C0233,Con_S2,Control,0.565,3.659
C0234,Con_S1,Control,0.3143,4.027
C0235,Con_S1,Control,0.3712,4.346
C0236,Con_S3,Control,0.3294,4.373
C0237,Con_S1,Control,0.3695,3.925
C0238,Con_S1,Control,0.0873,3.382
C0239,Con_S2,Control,0.5139,4.211
C0240,Con_S2,Control,0.2969,4.18
C0241,Con_S1,Control,0.5188,4.974
C0242,Con_S3,Control,0.2808,2.899
C0243,Con_S1,Control,0.0912,2.588
C0244,Con_S1,Control,0.3234,4.099
C0245,Con_S1,Control,0.4244,3.694
C0246,Con_S2,Control,0.0011,4.192
C0247,Con_S2,Control,0.3918,4.919
C0248,Con_S3,Control,0.2575,2.451
C0249,Con_S2,Control,0.6617,4.163
C0250,Con_S1,Control,0.251,3.534
C0251,Con_S2,Control,0.1832,2.337
C0252,Con_S1,Control,0.1753,3.223
C0253,Con_S1,Control,0.775,5.283
C0254,Con_S2,Control,0.5605,4.387
C0255,Con_S2,Control,0.0187,2.258
C0256,Con_S2,Control,0.4028,4.12
C0257,Con_S3,Control,0.4407,3.362
C0258,Con_S1,Control,0.3652,3.176
C0259,Con_S1,Control,0.6385,4.677
C0260,Con_S3,Control,0.0751,3.236
C0261,Con_S1,Control,0.5246,3.968
C0262,Con_S3,Control,0.2968,4.678
C0263,Con_S3,Control,0.4182,3.359
C0264,Con_S2,Control,0.4318,2.978
C0265,Con_S2,Control,0.2261,3.406
C0266,Con_S2,Control,0.2811,4.131
C0267,Con_S3,Control,0.2168,3.461
C0268,Con_S2,Control,0.2074,3.039
C0269,Con_S1,Control,0.5642,4.673
C0270,Con_S1,Control,0.5282,3.435
C0271,Con_S2,Control,0.2452,2.848
C0272,Con_S1,Control,0.4108,3.727
C0273,Con_S1,Control,0.5275,4.923
C0274,Con_S3,Control,0.2399,2.811
C0275,Con_S3,Control,0.6106,3.333
C0276,Con_S2,Control,0.0,3.204
C0277,Con_S2,Control,0.2134,3.453
C0278,Con_S3,Control,0.4163,4.407
C0279,Con_S3,Control,0.2781,3.1
C0280,Con_S3,Control,0.311,4.619
C0281,Con_S3,Control,0.1324,3.491
C0282,Con_S3,Control,0.2809,4.476
C0283,Con_S3,Control,0.6053,4.761
C0284,Con_S2,Control,0.5269,4.344
C0285,Con_S1,Control,0.1212,2.265
C0286,Con_S3,Control,0.3648,3.265
C0287,Con_S2,Control,0.3091,3.021
C0288,Con_S3,Control,0.4425,4.609
C0289,Con_S2,Control,0.2309,2.182
C0290,Con_S3,Control,0.3223,3.306
C0291,Con_S2,Control,0.0166,2.013
C0292,Con_S2,Control,0.346,3.73
C0293,Con_S1,Control,0.3978,4.988
C0294,Con_S3,Control,0.0537,2.906
C0295,Con_S3,Control,0.3104,4.268
C0296,Con_S3,Control,0.4686,4.731
C0297,Con_S1,Control,0.2159,2.471
C0298,Con_S1,Control,0.4143,5.05
C0299,Con_S3,Control,0.6164,3.83
C0300,Con_S2,Control,0.7578,5.11
C0301,Con_S3,Control,0.6064,4.044
C0302,Con_S1,Control,0.5062,4.535
C0303,Con_S3,Control,0.594,3.987
C0304,Con_S1,Control,0.4178,3.775
C0305,Con_S2,Control,0.5465,5.454
C0306,Con_S2,Control,0.2018,3.207
C0307,Con_S1,Control,0.2772,3.277
C0308,Con_S1,Control,0.3683,4.712
C0309,Con_S1,Control,0.3279,3.839
C0310,Con_S1,Control,0.2688,3.603
C0311,Con_S1,Control,0.1804,3.443
C0312,Con_S2,Control,0.3787,3.105
C0313,Con_S2,Control,0.7686,5.093
C0314,Con_S1,Control,0.1552,4.28
C0315,Con_S1,Control,0.344,3.246
C0316,Con_S3,Control,0.2385,3.542
C0317,Con_S1,Control,0.1294,3.353
C0318,Con_S3,Control,0.298,2.91
C0319,Con_S3,Control,0.3569,4.195
C0320,Con_S1,Control,0.1074,3.349
C0321,Con_S3,Control,0.5443,4.023
C0322,Con_S3,Control,0.6231,3.038
C0323,Con_S1,Control,0.5806,4.173
C0324,Con_S1,Control,0.1386,3.389
C0325,Con_S3,Control,0.4251,4.0
C0326,Con_S1,Control,0.3171,4.167
C0327,Con_S3,Control,0.6399,5.303
C0328,Con_S3,Control,0.5593,3.226
C0329,Con_S3,Control,0.4971,3.894
C0330,Con_S2,Control,0.0954,4.381
C0331,Con_S2,Control,0.5403,4.466
C0332,Con_S3,Control,0.2337,3.888
C0333,Con_S3,Control,0.1392,4.084
C0334,Con_S1,Control,0.6167,4.29
C0335,Con_S3,Control,0.3429,3.59
C0336,Con_S1,Control,0.3832,3.719
C0337,Con_S3,Control,0.3724,2.797
C0338,Con_S3,Control,0.1023,1.948
C0339,Con_S2,Control,0.327,4.159
C0340,Con_S2,Control,0.1428,3.075
C0341,Con_S1,Control,0.1744,5.25
C0342,Con_S1,Control,0.2305,3.65
C0343,Con_S3,Control,0.5603,4.388
C0344,Con_S3,Control,0.0,3.362
C0345,Con_S2,Control,0.3718,4.255
C0346,Con_S1,Control,0.2866,4.246
C0347,Con_S1,Control,0.0,2.857
C0348,Con_S2,Control,0.3765,3.921
C0349,Con_S1,Control,0.3367,3.112
C0350,Con_S3,Control,0.039,2.224
C0351,Sti_S2,Stimulated,0.5364,3.893
C0352,Sti_S3,Stimulated,0.57,2.826
C0353,Sti_S2,Stimulated,0.7898,4.134
C0354,Sti_S1,Stimulated,0.5196,4.329
C0355,Sti_S1,Stimulated,0.3572,4.961
C0356,Sti_S3,Stimulated,0.9504,4.428
C0357,Sti_S1,Stimulated,0.7105,5.096
C0358,Sti_S3,Stimulated,0.8435,5.691
C0359,Sti_S1,Stimulated,0.6532,4.583
C0360,Sti_S2,Stimulated,0.8163,5.182
C0361,Sti_S2,Stimulated,0.5916,3.528
C0362,Sti_S2,Stimulated,0.4962,2.885
C0363,Sti_S3,Stimulated,0.4348,4.148
C0364,Sti_S3,Stimulated,0.3153,3.276
C0365,Sti_S2,Stimulated,0.4973,4.277
C0366,Sti_S3,Stimulated,0.4914,3.721
C0367,Sti_S2,Stimulated,0.5386,3.766
C0368,Sti_S2,Stimulated,0.3905,4.752
C0369,Sti_S1,Stimulated,0.857,2.98
C0370,Sti_S1,Stimulated,0.6515,4.586
C0371,Sti_S2,Stimulated,0.7397,4.228
C0372,Sti_S2,Stimulated,0.4241,4.105
C0373,Sti_S1,Stimulated,0.7265,4.559
C0374,Sti_S1,Stimulated,0.5127,3.755
C0375,Sti_S3,Stimulated,0.6446,4.41
C0376,Sti_S3,Stimulated,0.3666,3.051
C0377,Sti_S2,Stimulated,0.5019,3.72
C0378,Sti_S2,Stimulated,0.6746,4.74
C0379,Sti_S2,Stimulated,0.7167,5.121
C0380,Sti_S2,Stimulated,0.5806,4.734
C0381,Sti_S1,Stimulated,0.8267,5.088
C0382,Sti_S3,Stimulated,1.0,4.956
C0383,Sti_S3,Stimulated,0.6448,3.643
C0384,Sti_S3,Stimulated,0.8643,3.86
C0385,Sti_S1,Stimulated,0.6024,3.696
C0386,Sti_S2,Stimulated,0.5276,3.828
C0387,Sti_S1,Stimulated,0.5369,3.735
C0388,Sti_S3,Stimulated,0.8732,3.851
C0389,Sti_S1,Stimulated,0.4819,3.487
C0390,Sti_S1,Stimulated,0.4444,3.684
C0391,Sti_S2,Stimulated,0.4632,2.271
C0392,Sti_S2,Stimulated,0.4623,5.545
C0393,Sti_S1,Stimulated,0.6418,4.985
C0394,Sti_S3,Stimulated,0.3278,4.378
C0395,Sti_S1,Stimulated,0.4984,3.516
C0396,Sti_S1,Stimulated,0.5231,3.939
C0397,Sti_S2,Stimulated,0.3563,3.469
C0398,Sti_S2,Stimulated,0.5036,4.032
C0399,Sti_S1,Stimulated,0.3136,3.391
C0400,Sti_S1,Stimulated,0.4777,4.868
C0401,Sti_S1,Stimulated,0.6083,3.902
C0402,Sti_S3,Stimulated,0.6102,4.118
C0403,Sti_S2,Stimulated,0.7011,3.47
C0404,Sti_S1,Stimulated,0.6735,3.503
C0405,Sti_S3,Stimulated,0.236,2.936
C0406,Sti_S3,Stimulated,0.7894,5.493
C0407,Sti_S2,Stimulated,0.4091,2.112
C0408,Sti_S1,Stimulated,0.7648,4.817
C0409,Sti_S3,Stimulated,0.3683,4.446
C0410,Sti_S2,Stimulated,0.457,4.507
C0411,Sti_S1,Stimulated,0.5469,4.251
C0412,Sti_S1,Stimulated,0.5233,4.24
C0413,Sti_S2,Stimulated,0.6584,5.026
C0414,Sti_S2,Stimulated,0.8053,4.675
C0415,Sti_S2,Stimulated,0.702,4.45
C0416,Sti_S2,Stimulated,0.705,3.53
C0417,Sti_S1,Stimulated,0.3415,3.119
C0418,Sti_S2,Stimulated,0.6183,4.583
C0419,Sti_S2,Stimulated,0.5933,4.584
C0420,Sti_S1,Stimulated,0.5713,3.877
C0421,Sti_S1,Stimulated,1.0,4.426
C0422,Sti_S1,Stimulated,0.8136,4.022
C0423,Sti_S1,Stimulated,0.4749,3.938
C0424,Sti_S3,Stimulated,0.7611,4.646
C0425,Sti_S1,Stimulated,0.3295,3.427
C0426,Sti_S2,Stimulated,0.4625,3.897
C0427,Sti_S3,Stimulated,0.8271,3.471
C0428,Sti_S1,Stimulated,0.3913,3.351
C0429,Sti_S2,Stimulated,0.3718,4.272
C0430,Sti_S3,Stimulated,0.6223,3.633
C0431,Sti_S3,Stimulated,0.805,4.956
C0432,Sti_S3,Stimulated,0.8204,5.217
C0433,Sti_S3,Stimulated,0.5807,4.435
C0434,Sti_S2,Stimulated,0.209,2.965
C0435,Sti_S3,Stimulated,0.3104,3.359
C0436,Sti_S2,Stimulated,0.5397,3.414
C0437,Sti_S2,Stimulated,0.427,2.525
C0438,Sti_S1,Stimulated,0.6566,3.094
C0439,Sti_S1,Stimulated,0.5136,3.384
C0440,Sti_S2,Stimulated,0.4823,4.023
C0441,Sti_S1,Stimulated,0.5936,4.462
C0442,Sti_S3,Stimulated,0.6866,5.186
C0443,Sti_S1,Stimulated,0.3846,3.409
C0444,Sti_S1,Stimulated,0.8556,4.722
C0445,Sti_S3,Stimulated,0.5302,4.159
C0446,Sti_S1,Stimulated,0.5783,4.995
C0447,Sti_S3,Stimulated,0.3021,4.725
C0448,Sti_S3,Stimulated,0.6931,4.493
C0449,Sti_S3,Stimulated,0.3826,3.579
C0450,Sti_S3,Stimulated,0.5951,4.334
C0451,Sti_S1,Stimulated,0.6849,4.6
C0452,Sti_S3,Stimulated,0.4286,4.352
C0453,Sti_S2,Stimulated,0.6866,4.384
C0454,Sti_S3,Stimulated,0.5944,4.552
C0455,Sti_S3,Stimulated,0.5537,4.105
C0456,Sti_S1,Stimulated,0.4747,4.155
C0457,Sti_S1,Stimulated,0.5132,3.685
C0458,Sti_S1,Stimulated,0.7539,3.558
C0459,Sti_S2,Stimulated,0.6772,3.058
C0460,Sti_S3,Stimulated,0.4488,3.032
C0461,Sti_S3,Stimulated,0.7256,4.656
C0462,Sti_S3,Stimulated,0.7384,4.877
C0463,Sti_S1,Stimulated,0.5741,4.424
C0464,Sti_S1,Stimulated,0.8535,4.979
C0465,Sti_S3,Stimulated,0.3105,3.275
C0466,Sti_S2,Stimulated,0.6162,3.512
C0467,Sti_S2,Stimulated,0.8306,4.106
C0468,Sti_S2,Stimulated,0.4899,3.816
C0469,Sti_S2,Stimulated,0.4183,2.078
C0470,Sti_S1,Stimulated,0.4855,2.799
C0471,Sti_S3,Stimulated,0.6609,4.008
C0472,Sti_S1,Stimulated,0.7667,3.653
C0473,Sti_S1,Stimulated,0.3342,3.685
C0474,Sti_S1,Stimulated,0.4492,4.706
C0475,Sti_S3,Stimulated,0.8625,4.753
C0476,Sti_S3,Stimulated,0.8167,4.89
C0477,Sti_S2,Stimulated,0.434,5.033
C0478,Sti_S3,Stimulated,0.4733,5.463
C0479,Sti_S1,Stimulated,1.0,5.022
C0480,Sti_S3,Stimulated,0.641,4.748
C0481,Sti_S1,Stimulated,0.6574,5.011
C0482,Sti_S1,Stimulated,0.499,5.532
C0483,Sti_S2,Stimulated,0.5614,4.667
C0484,Sti_S3,Stimulated,0.6799,5.326
C0485,Sti_S3,Stimulated,0.6662,3.92
C0486,Sti_S3,Stimulated,0.6362,4.403
C0487,Sti_S1,Stimulated,0.7599,4.061
C0488,Sti_S3,Stimulated,0.8309,4.809
C0489,Sti_S2,Stimulated,0.9227,5.404
C0490,Sti_S1,Stimulated,0.5422,3.773
C0491,Sti_S2,Stimulated,0.4155,3.638
C0492,Sti_S1,Stimulated,0.6196,4.665
C0493,Sti_S3,Stimulated,0.3502,4.259
C0494,Sti_S1,Stimulated,0.5413,3.414
C0495,Sti_S1,Stimulated,0.6549,3.947
C0496,Sti_S2,Stimulated,0.5189,3.443
C0497,Sti_S2,Stimulated,0.7535,5.721
C0498,Sti_S2,Stimulated,0.2799,3.923
C0499,Sti_S3,Stimulated,0.4519,4.137
C0500,Sti_S2,Stimulated,0.3956,3.698
C0501,Sti_S2,Stimulated,0.874,5.22
C0502,Sti_S1,Stimulated,0.9062,3.804
C0503,Sti_S1,Stimulated,0.6427,5.234
C0504,Sti_S3,Stimulated,0.4236,4.145
C0505,Sti_S3,Stimulated,0.6894,4.925
C0506,Sti_S3,Stimulated,0.9024,5.311
C0507,Sti_S3,Stimulated,0.4349,3.503
C0508,Sti_S1,Stimulated,0.6419,4.316
C0509,Sti_S1,Stimulated,0.4467,3.3
C0510,Sti_S3,Stimulated,0.9294,5.238
C0511,Sti_S1,Stimulated,0.6914,3.54
C0512,Sti_S2,Stimulated,0.1927,2.937
C0513,Sti_S1,Stimulated,0.6235,4.397
C0514,Sti_S1,Stimulated,0.5496,3.266
C0515,Sti_S2,Stimulated,0.5596,4.777
C0516,Sti_S1,Stimulated,0.6107,3.551
C0517,Sti_S1,Stimulated,0.9912,5.438
C0518,Sti_S2,Stimulated,0.7243,3.42
C0519,Sti_S3,Stimulated,0.2778,3.358
C0520,Sti_S3,Stimulated,1.0,4.398
C0521,Sti_S3,Stimulated,0.8995,4.714
C0522,Sti_S2,Stimulated,0.8169,4.611
C0523,Sti_S1,Stimulated,0.2077,3.196
C0524,Sti_S1,Stimulated,0.6657,3.967
C0525,Sti_S1,Stimulated,0.8134,4.861
C0526,Sti_S2,Stimulated,0.7952,2.862
C0527,Sti_S1,Stimulated,0.7196,4.486
C0528,Sti_S3,Stimulated,0.4803,3.712
C0529,Sti_S1,Stimulated,0.3438,4.507
C0530,Sti_S1,Stimulated,0.7383,3.872
C0531,Sti_S2,Stimulated,0.8138,3.749
C0532,Sti_S1,Stimulated,0.4514,4.183
C0533,Sti_S1,Stimulated,0.5765,4.206
C0534,Sti_S3,Stimulated,0.6967,3.967
C0535,Sti_S1,Stimulated,0.6307,3.204
C0536,Sti_S3,Stimulated,0.6059,3.329
C0537,Sti_S2,Stimulated,0.639,3.592
C0538,Sti_S2,Stimulated,0.6484,3.582
C0539,Sti_S2,Stimulated,0.6672,3.654
C0540,Sti_S3,Stimulated,0.3282,3.361
C0541,Sti_S1,Stimulated,0.7247,4.852
C0542,Sti_S2,Stimulated,0.5145,4.591
C0543,Sti_S2,Stimulated,0.5028,2.693
C0544,Sti_S2,Stimulated,0.7458,3.886
C0545,Sti_S3,Stimulated,0.6008,4.31
C0546,Sti_S2,Stimulated,0.8092,4.466
C0547,Sti_S3,Stimulated,0.4696,4.164
C0548,Sti_S2,Stimulated,0.7265,4.521
C0549,Sti_S2,Stimulated,0.744,4.2
C0550,Sti_S1,Stimulated,0.4834,5.196
C0551,Sti_S1,Stimulated,0.7432,5.019
C0552,Sti_S3,Stimulated,0.7447,5.625
C0553,Sti_S3,Stimulated,0.5685,3.57
C0554,Sti_S3,Stimulated,0.5974,4.093
C0555,Sti_S3,Stimulated,0.605,3.442
C0556,Sti_S2,Stimulated,0.2731,2.928
C0557,Sti_S2,Stimulated,0.7432,3.728
C0558,Sti_S3,Stimulated,0.7604,5.374
C0559,Sti_S1,Stimulated,0.6502,4.498
C0560,Sti_S3,Stimulated,0.8288,3.725
C0561,Sti_S3,Stimulated,0.6215,4.152
C0562,Sti_S1,Stimulated,0.6462,4.507
C0563,Sti_S3,Stimulated,0.6123,3.864
C0564,Sti_S3,Stimulated,0.5842,4.67
C0565,Sti_S3,Stimulated,0.6932,5.275
C0566,Sti_S1,Stimulated,0.7771,6.045
C0567,Sti_S2,Stimulated,0.448,3.714
C0568,Sti_S3,Stimulated,0.6339,4.216
C0569,Sti_S1,Stimulated,0.5316,4.481
C0570,Sti_S2,Stimulated,0.5113,3.729
C0571,Sti_S1,Stimulated,0.7431,5.345
C0572,Sti_S3,Stimulated,0.6837,4.555
C0573,Sti_S3,Stimulated,0.8661,6.487
C0574,Sti_S3,Stimulated,0.6528,4.561
C0575,Sti_S1,Stimulated,0.5655,3.495
C0576,Sti_S1,Stimulated,0.6722,4.106
C0577,Sti_S2,Stimulated,0.5962,5.151
C0578,Sti_S2,Stimulated,0.6292,5.138
C0579,Sti_S1,Stimulated,1.0,4.556
C0580,Sti_S2,Stimulated,0.6932,4.294
C0581,Sti_S3,Stimulated,0.4387,4.964
C0582,Sti_S2,Stimulated,0.3943,4.733
C0583,Sti_S2,Stimulated,0.6858,3.365
C0584,Sti_S1,Stimulated,0.7289,3.855
C0585,Sti_S1,Stimulated,0.3492,3.881
C0586,Sti_S3,Stimulated,0.6699,4.583
C0587,Sti_S3,Stimulated,0.5404,4.85
C0588,Sti_S3,Stimulated,0.6144,2.898
C0589,Sti_S1,Stimulated,0.5409,4.119
C0590,Sti_S2,Stimulated,0.5999,4.804
C0591,Sti_S1,Stimulated,0.3841,4.785
C0592,Sti_S2,Stimulated,0.3827,4.019
C0593,Sti_S1,Stimulated,0.6232,5.431
